accuracy,condition,historical_capacity,stage,task
96.61017060279846,behavior_h2048,2048,1,1
92.37288236618042,behavior_h2048,2048,2,1
86.92307472229004,behavior_h2048,2048,2,2
87.28813529014587,behavior_h2048,2048,3,1
86.92307472229004,behavior_h2048,2048,3,2
78.76712083816528,behavior_h2048,2048,3,3
88.98305296897888,behavior_h2048,2048,4,1
80.7692289352417,behavior_h2048,2048,4,2
82.87671208381653,behavior_h2048,2048,4,3
88.63636255264282,behavior_h2048,2048,4,4
83.89830589294434,behavior_h2048,2048,5,1
80.7692289352417,behavior_h2048,2048,5,2
82.19178318977356,behavior_h2048,2048,5,3
87.5,behavior_h2048,2048,5,4
82.03125,behavior_h2048,2048,5,5
84.74576473236084,behavior_h2048,2048,6,1
77.69230604171753,behavior_h2048,2048,6,2
79.45205569267273,behavior_h2048,2048,6,3
87.5,behavior_h2048,2048,6,4
82.8125,behavior_h2048,2048,6,5
80.83333373069763,behavior_h2048,2048,6,6
83.89830589294434,behavior_h2048,2048,7,1
76.15384459495544,behavior_h2048,2048,7,2
76.02739930152893,behavior_h2048,2048,7,3
82.38636255264282,behavior_h2048,2048,7,4
80.46875,behavior_h2048,2048,7,5
75.83333253860474,behavior_h2048,2048,7,6
78.2608687877655,behavior_h2048,2048,7,7
88.98305296897888,behavior_h2048,2048,8,1
83.84615182876587,behavior_h2048,2048,8,2
81.50684833526611,behavior_h2048,2048,8,3
88.63636255264282,behavior_h2048,2048,8,4
84.375,behavior_h2048,2048,8,5
82.4999988079071,behavior_h2048,2048,8,6
78.2608687877655,behavior_h2048,2048,8,7
89.47368264198303,behavior_h2048,2048,8,8
82.20338821411133,behavior_h2048,2048,9,1
81.53846263885498,behavior_h2048,2048,9,2
78.76712083816528,behavior_h2048,2048,9,3
86.36363744735718,behavior_h2048,2048,9,4
81.25,behavior_h2048,2048,9,5
74.16666746139526,behavior_h2048,2048,9,6
72.1739113330841,behavior_h2048,2048,9,7
87.21804618835449,behavior_h2048,2048,9,8
79.85074520111084,behavior_h2048,2048,9,9
87.28813529014587,behavior_h2048,2048,10,1
80.7692289352417,behavior_h2048,2048,10,2
78.76712083816528,behavior_h2048,2048,10,3
84.65909361839294,behavior_h2048,2048,10,4
77.34375,behavior_h2048,2048,10,5
78.33333611488342,behavior_h2048,2048,10,6
72.1739113330841,behavior_h2048,2048,10,7
84.96240377426147,behavior_h2048,2048,10,8
67.16417670249939,behavior_h2048,2048,10,9
81.15941882133484,behavior_h2048,2048,10,10
84.74576473236084,behavior_h2048,2048,11,1
82.30769038200378,behavior_h2048,2048,11,2
77.39726305007935,behavior_h2048,2048,11,3
85.22727489471436,behavior_h2048,2048,11,4
79.6875,behavior_h2048,2048,11,5
78.33333611488342,behavior_h2048,2048,11,6
73.9130437374115,behavior_h2048,2048,11,7
82.70676732063293,behavior_h2048,2048,11,8
67.16417670249939,behavior_h2048,2048,11,9
71.7391312122345,behavior_h2048,2048,11,10
75.0,behavior_h2048,2048,11,11
83.89830589294434,behavior_h2048,2048,12,1
81.53846263885498,behavior_h2048,2048,12,2
74.65753555297852,behavior_h2048,2048,12,3
82.38636255264282,behavior_h2048,2048,12,4
83.59375,behavior_h2048,2048,12,5
78.33333611488342,behavior_h2048,2048,12,6
73.0434775352478,behavior_h2048,2048,12,7
84.21052694320679,behavior_h2048,2048,12,8
67.91045069694519,behavior_h2048,2048,12,9
73.9130437374115,behavior_h2048,2048,12,10
75.0,behavior_h2048,2048,12,11
83.62069129943848,behavior_h2048,2048,12,12
83.89830589294434,behavior_h2048,2048,13,1
80.7692289352417,behavior_h2048,2048,13,2
73.2876718044281,behavior_h2048,2048,13,3
80.68181872367859,behavior_h2048,2048,13,4
77.34375,behavior_h2048,2048,13,5
77.49999761581421,behavior_h2048,2048,13,6
75.65217614173889,behavior_h2048,2048,13,7
80.45112490653992,behavior_h2048,2048,13,8
66.41790866851807,behavior_h2048,2048,13,9
71.01449370384216,behavior_h2048,2048,13,10
74.00000095367432,behavior_h2048,2048,13,11
75.0,behavior_h2048,2048,13,12
