adapt_lora,condition,epoch,format,gradient_norm_mean,historical_capacity,image_presentations,lora_learning_rate,macro_learning_rate,optimizer_steps,previous_sha256,result_sha256,schema_version,sequence,train_objective_accuracy,train_objective_nll,validation_accuracy,validation_examples,validation_nll,wall_seconds
True,"Single-layer pre-classifier integrator, adaptive LoRAs (full fit)",1,imagenetr50-frontier-adaptation-epoch-v1,8.732874126334465,11827,12194,0.0001997907949790795,1.1987447698744771e-05,191,0000000000000000000000000000000000000000000000000000000000000000,445c5f668e1cd8c7f70dc9ee640edfab14a1395a22ffd9b22b1315fcca5f8779,imagenetr50-frontier-adaptation-epoch-v1,0,74.37264228309004,1.0724894273509857,75.95933092817317,3049,1.0205043155899123,128.94225170835853
True,"Single-layer pre-classifier integrator, adaptive LoRAs (full fit)",2,imagenetr50-frontier-adaptation-epoch-v1,7.145442413409967,11827,24388,0.000399581589958159,2.3974895397489543e-05,382,445c5f668e1cd8c7f70dc9ee640edfab14a1395a22ffd9b22b1315fcca5f8779,0fcda808ec7400f103b100c84afb235707ba7652de04a564d1e0a0db78350b94,imagenetr50-frontier-adaptation-epoch-v1,1,78.56322781695916,0.8694633363758479,77.63201049524434,3049,0.9510268939835551,271.5284851267934
True,"Single-layer pre-classifier integrator, adaptive LoRAs (full fit)",3,imagenetr50-frontier-adaptation-epoch-v1,6.768542222327587,11827,36582,0.000499868854930181,2.9992131295810863e-05,573,0fcda808ec7400f103b100c84afb235707ba7652de04a564d1e0a0db78350b94,62cc7e6c2c00d0b6f1941b95c0aeb06f3a0e3daf2cbdb3edaae7734dc1e46673,imagenetr50-frontier-adaptation-epoch-v1,2,80.69542397900607,0.7841464421661912,79.23909478517547,3049,0.8907181616883545,419.06388382054865
True,"Single-layer pre-classifier integrator, adaptive LoRAs (full fit)",4,imagenetr50-frontier-adaptation-epoch-v1,6.388232840293365,11827,48776,0.0004987953199714215,2.992771919828529e-05,764,62cc7e6c2c00d0b6f1941b95c0aeb06f3a0e3daf2cbdb3edaae7734dc1e46673,64359008a23e52aba90143f0e6cfedaaa9b86f5c59fa5a55dbaa6ebf9ea3ad51,imagenetr50-frontier-adaptation-epoch-v1,3,83.04904051172709,0.6784687229936702,78.7143325680551,3049,0.9480714532108375,574.9743329174817
True,"Single-layer pre-classifier integrator, adaptive LoRAs (full fit)",5,imagenetr50-frontier-adaptation-epoch-v1,6.034946168280396,11827,60970,0.0004966444421599779,2.9798666529598673e-05,955,64359008a23e52aba90143f0e6cfedaaa9b86f5c59fa5a55dbaa6ebf9ea3ad51,4ccfdc4d502b07cdd3f9712bee88255ec5b8ee2da9c665fe76d6b17909704f42,imagenetr50-frontier-adaptation-epoch-v1,4,84.86140724946695,0.6100742915858788,78.64873729091505,3049,0.9560297374531417,726.5701647605747
True,"Single-layer pre-classifier integrator, adaptive LoRAs (full fit)",6,imagenetr50-frontier-adaptation-epoch-v1,5.916765267936347,11827,73164,0.0004934256298469198,2.960553779081519e-05,1146,4ccfdc4d502b07cdd3f9712bee88255ec5b8ee2da9c665fe76d6b17909704f42,701b36648b65fc63a850bdccb957ee1871d25c5ad5dde8431edcf6a38bc9be19,imagenetr50-frontier-adaptation-epoch-v1,5,86.17352796457274,0.5515319469308626,79.10790423089537,3049,0.9818204665191841,885.839593315497
True,"Single-layer pre-classifier integrator, adaptive LoRAs (full fit)",7,imagenetr50-frontier-adaptation-epoch-v1,5.631389250305935,11827,85358,0.0004891529627331528,2.934917776398917e-05,1337,701b36648b65fc63a850bdccb957ee1871d25c5ad5dde8431edcf6a38bc9be19,d7787267b94e4afe1d9d01ecbd06dadd6bd6aa4b0f953dc31b1c18e893750ce8,imagenetr50-frontier-adaptation-epoch-v1,6,87.14941774643268,0.5200626634468265,79.56707117087569,3049,0.9765163983388508,1040.138113796711
True,"Single-layer pre-classifier integrator, adaptive LoRAs (full fit)",8,imagenetr50-frontier-adaptation-epoch-v1,5.590323992424611,11827,97552,0.0004838451302821123,2.903070781692674e-05,1528,d7787267b94e4afe1d9d01ecbd06dadd6bd6aa4b0f953dc31b1c18e893750ce8,60200c3c669491ba074dd9d3fd177866f10c2499a36ef62b296993d4e74bc1bd,imagenetr50-frontier-adaptation-epoch-v1,7,87.43644415286207,0.502624452397611,78.97671367661529,3049,1.0315374197354665,1186.3611181359738
True,"Single-layer pre-classifier integrator, adaptive LoRAs (full fit)",9,imagenetr50-frontier-adaptation-epoch-v1,5.524445185486559,11827,109746,0.00047752534996847463,2.865152099810848e-05,1719,60200c3c669491ba074dd9d3fd177866f10c2499a36ef62b296993d4e74bc1bd,28d218a8f7be1799274b76c745c807d316bfd5ffe6cec7ef7985096c62d46558,imagenetr50-frontier-adaptation-epoch-v1,8,88.19091356404789,0.4756351611409712,79.23909478517547,3049,1.0245949834946846,1335.7240217737854
True,"Single-layer pre-classifier integrator, adaptive LoRAs (full fit)",10,imagenetr50-frontier-adaptation-epoch-v1,5.309684236636336,11827,121940,0.0004702212657204812,2.821327594322887e-05,1910,28d218a8f7be1799274b76c745c807d316bfd5ffe6cec7ef7985096c62d46558,d0c0c760c7d7813a59dd856733927fb65266f6da8f3c96cd37ac77ced1466bf8,imagenetr50-frontier-adaptation-epoch-v1,9,89.08479580121372,0.4464995122374287,78.68153492948508,3049,1.014372829688733,1480.5191343724728
True,"Single-layer pre-classifier integrator, adaptive LoRAs (full fit)",11,imagenetr50-frontier-adaptation-epoch-v1,5.102992185123304,11827,134134,0.0004619648270001065,2.771788962000639e-05,2101,d0c0c760c7d7813a59dd856733927fb65266f6da8f3c96cd37ac77ced1466bf8,d96acdcfa98c9b32eb334b1f0352f16456a292e5eaf5b22e032fd09f210dcb20,imagenetr50-frontier-adaptation-epoch-v1,10,89.84746596686895,0.41442380624852143,78.81272548376516,3049,1.0672880831449765,1624.8461981844157
True,"Single-layer pre-classifier integrator, adaptive LoRAs (full fit)",12,imagenetr50-frontier-adaptation-epoch-v1,4.99611433887981,11827,146328,0.00045279214904999954,2.7167528942999975e-05,2292,d96acdcfa98c9b32eb334b1f0352f16456a292e5eaf5b22e032fd09f210dcb20,8423cd92141711d4fd4645b42dd356d9be107664dd1188fd3c9e4d03de7c4a73,imagenetr50-frontier-adaptation-epoch-v1,11,89.79826144005249,0.4198566856434331,78.87832076090521,3049,1.0593530173847503,1769.7269858364016
True,"Single-layer pre-classifier integrator, adaptive LoRAs (full fit)",13,imagenetr50-frontier-adaptation-epoch-v1,5.035130866535047,11827,158522,0.00044274335491850176,2.6564601295110107e-05,2483,8423cd92141711d4fd4645b42dd356d9be107664dd1188fd3c9e4d03de7c4a73,423f09b21b0192cf43e11422b9d0ca085c1f31ca0b8d38a425ae3cec866db220,imagenetr50-frontier-adaptation-epoch-v1,12,90.13449237329834,0.4040324696365176,78.94391603804526,3049,1.0708247328946223,1920.1363346278667
True,"Single-layer pre-classifier integrator, adaptive LoRAs (full fit)",14,imagenetr50-frontier-adaptation-epoch-v1,4.858058765920669,11827,170716,0.0004318623999537575,2.591174399722545e-05,2674,423f09b21b0192cf43e11422b9d0ca085c1f31ca0b8d38a425ae3cec866db220,c92ff55fb0d150c8894df44a84b70754f96a63437f53f35795e731330a42b85c,imagenetr50-frontier-adaptation-epoch-v1,13,90.93816631130063,0.35703582362462327,78.45195145949492,3049,1.0858205568207877,2071.532172029838
True,"Single-layer pre-classifier integrator, adaptive LoRAs (full fit)",15,imagenetr50-frontier-adaptation-epoch-v1,4.863443584342278,11827,182910,0.00042019687953461117,2.521181277207667e-05,2865,c92ff55fb0d150c8894df44a84b70754f96a63437f53f35795e731330a42b85c,01d8860fc411bbe7373a998d7805ed3b573959bb369c9309d5552351e312cec7,imagenetr50-frontier-adaptation-epoch-v1,14,91.20879120879121,0.3525209444770075,79.89504755657593,3049,1.0568113843117748,2222.3534852359444
True,"Single-layer pre-classifier integrator, adaptive LoRAs (full fit)",16,imagenetr50-frontier-adaptation-epoch-v1,4.75460830096799,11827,195104,0.00040779782087931396,2.4467869252758838e-05,3056,01d8860fc411bbe7373a998d7805ed3b573959bb369c9309d5552351e312cec7,8a1b6f61467bac6953582b335066db19ce3891268d8225e38a99fc304c43fbf4,imagenetr50-frontier-adaptation-epoch-v1,15,91.18418894538297,0.3597363443360556,79.43588061659561,3049,1.0847623292717163,2373.461021564901
True,"Single-layer pre-classifier integrator, adaptive LoRAs (full fit)",17,imagenetr50-frontier-adaptation-epoch-v1,4.783054777464941,11827,207298,0.000394719459842708,2.368316759056248e-05,3247,8a1b6f61467bac6953582b335066db19ce3891268d8225e38a99fc304c43fbf4,4cc4cd1ba89b30816f6c92f170c8c71cfc957061bbcbdfc67fe41bc40296e4de,imagenetr50-frontier-adaptation-epoch-v1,16,91.44661308840413,0.3452423973828041,78.77992784519515,3049,1.0949413991435781,2522.229167211801
True,"Single-layer pre-classifier integrator, adaptive LoRAs (full fit)",18,imagenetr50-frontier-adaptation-epoch-v1,4.566668330062746,11827,219492,0.000381019003678221,2.2861140220693262e-05,3438,4cc4cd1ba89b30816f6c92f170c8c71cfc957061bbcbdfc67fe41bc40296e4de,b6a9e2c60ad272eb0183b624340769eec6caebc008221305b5a3e306ea969761,imagenetr50-frontier-adaptation-epoch-v1,17,92.3076923076923,0.31290265018869196,78.68153492948508,3049,1.1109328127642388,2673.848810436204
