base_example_forwards,cache_bytes,cache_hits,cache_misses,classifier_union_scalar_copies,condition,evaluation_forward_example_passes,hierarchy_training_image_presentations,integrator_backward_example_passes,integrator_forward_example_passes,live_adapter_bytes,live_classifier_bytes,live_nodes,node_example_forward_bound,node_example_forwards,optimizer_steps,peak_vram_bytes,replay_identity_bytes
,,,,695176,hierarchy:full_union:fit,,532280,,,15942648,616568,3,,,8550,4146465792,1228800
,,,,695176,hierarchy:full_union:all_train,,665325,,,15942648,616568,3,,,10645,4145036800,1536000
,,,,,integrator:75d54abc0555939fd1087e49a740de3864c3578ff97db98f8c2ddb111e8eab98_scores_history2048_fit_seed1993,125486,,462492,578115,,,3,322910,,964,89402880,131072
,,,,,integrator:a0eb0c952b8061b8534fbfcb08f172b8a7702144a51eb58422e04afada20ce03_scores_history2048_all_train_seed1993,157149,,484988,606235,,,3,337123,,1024,89438720,131072
,,,,,fresh:clean_fresh:31b06f39e7cf4a85b07cc6f0164a552ed448ec885f03ff875b1d3e6c37c26a8a,,,15860,20769,,,,,,40,139895296,
,,,,,fresh:clean_fresh:4441fcf79df90f8d2d128bfed94ec43ae9b303be035c2eb28213148ed659631e,,,36540,47859,,,,,,80,139571712,
,,,,,fresh:clean_fresh:4b656329a6abca3f9483fa58fb178ddaab6268e1b5d058870efdf9b84437577a,,,131880,172956,,,,,,260,139654656,
,,,,,fresh:clean_fresh:50dd6999d74c4acf90e858b29fb9b5c6b4954bb8a5b327d847a2d71775780abb,,,384000,504000,,,,,,760,139469312,
,,,,,fresh:clean_fresh:729d1e7e749e1ff73f3075f418b700340cbb465d994f04625aae77dae4cbfb89,,,36540,47859,,,,,,80,139895296,
,,,,,fresh:clean_fresh:75261357ff558df63bcff167d0337a51239938c0c7a38d3c592056d831382657,,,15860,20769,,,,,,40,88031744,
,,,,,fresh:clean_fresh:7a5de48ba3739e0547c750224be7cc8b8b65061dbfa9e328fe8f1967ae17c75e,,,36540,47859,,,,,,80,139395584,
,,,,,fresh:clean_fresh:9688456cf3e9d9674da1e7e5b2242dcf61aa87b09351edce067e968ebce7eac7,,,15860,20769,,,,,,40,140021248,
,,,,,fresh:clean_fresh:9b535e6dda456d90fcbcddc2624dc1de3340ce468651ed577980541185ef1659,,,68480,89733,,,,,,140,138969600,
,,,,,fresh:clean_fresh:b15e63d1bc69c0c8f1872fa0f3475bb362dd9a067198091b5fcec6acaa3af897,,,131880,172956,,,,,,260,140558848,
,,,,,fresh:clean_fresh:b20210792e4b8a3e105db79fd79df2b852e33e66724e9bbd9f9260116fca6e63,,,384000,504000,,,,,,760,191332864,
,,,,,fresh:clean_fresh:c1523572ea55661a8d3e88b2194d591ec2609c6c4ace3deef3c8c26eaffcdebe,,,68480,89733,,,,,,140,138969600,
,,,,,fresh:clean_fresh:deca4d0f27c1d067a3db0317d526f01bd6930f6af9d57c54ef8eb73ea186110d,,,131880,172956,,,,,,260,140304896,
,,,,,fresh:clean_fresh:ec682464cdacd640c95a493228912da4a5be063a29ea5cf301f451efeb863877,,,68480,89733,,,,,,140,138760704,
,,,,,fresh:clean_fresh:f3b45c65d237abd6bbf96a3a5773c59b978a52421c52e700e4a7b2b684335522,,,384000,504000,,,,,,760,190599680,
,,,,,fresh:sealed_diagnostic:1923c8b743d945cbaf6cf09ff56ba9812a326ead9a2dea6b30c6a5e9b73af7cd,,,384000,504000,,,,,,760,105292288,
,,,,,fresh:sealed_diagnostic:354337c25846e88b174be424c2dac24050dff576c689534fc635004365ec160c,,,384000,504000,,,,,,760,169841152,
,,,,,fresh:sealed_diagnostic:60930840a43c1051e7c5dcb9ee621a10d41f63a1a4a10e69a8bc79e1fea67767,,,384000,504000,,,,,,760,471065088,
,,,,,fresh:sealed_diagnostic:66efa248c2ece28a08c9dee49feb717b6422da94cb5bea57545b4b0ab221be79,,,384000,504000,,,,,,760,169239040,
,,,,,fresh:sealed_diagnostic:6c1b6aec78fbe0c13a9cba6175bc54b2501f54b48720650c262695a1d3aed491,,,384000,504000,,,,,,760,541549056,
,,,,,fresh:sealed_diagnostic:7a8f3effadf0d5b819982604623fe9e8b232c763e5046e1b30b313e1673efdc9,,,384000,504000,,,,,,760,512233984,
,,,,,fresh:sealed_diagnostic:7b9344884db9379786ec8967f14749492b2eacba8b56665cd74ada85d8f94657,,,384000,504000,,,,,,760,471147008,
,,,,,fresh:sealed_diagnostic:b2939a5b1bdb559e0db7da37a77a1cfc6b77e3e3d8b6fb6e8e1c0e7c4adecb4c,,,384000,504000,,,,,,760,542376448,
,,,,,fresh:sealed_diagnostic:b62fa06539b83f8e70bd7a84c645766924273ddb9a043755e84399b54ac6c3e4,,,384000,504000,,,,,,760,344269312,
30000,,1682082,936760,,all_behavior_requests,,,,,,,,,906760,,,
,1592441079,,,,shared_behavior_cache,,,,,,,,,,,,
