accuracy,stage,task
95.76271176338196,1,1
92.37288236618042,2,1
87.69230842590332,2,2
88.98305296897888,3,1
80.0000011920929,3,2
80.82191944122314,3,3
88.13559412956238,4,1
83.84615182876587,4,2
84.93150472640991,4,3
86.93181872367859,4,4
83.05084705352783,5,1
78.46153974533081,5,2
80.1369845867157,5,3
86.36363744735718,5,4
70.3125,5,5
82.20338821411133,6,1
74.61538314819336,6,2
78.76712083816528,6,3
82.95454382896423,6,4
82.03125,6,5
83.33333134651184,6,6
83.89830589294434,7,1
73.84615540504456,7,2
75.34246444702148,7,3
84.09090638160706,7,4
78.125,7,5
80.0000011920929,7,6
74.7826099395752,7,7
85.59321761131287,8,1
77.69230604171753,8,2
79.45205569267273,8,3
88.06818127632141,8,4
79.6875,8,5
81.66666626930237,8,6
79.1304349899292,8,7
89.47368264198303,8,8
82.20338821411133,9,1
76.92307829856873,9,2
76.02739930152893,9,3
87.5,9,4
78.125,9,5
74.16666746139526,9,6
75.65217614173889,9,7
84.21052694320679,9,8
81.34328126907349,9,9
81.35592937469482,10,1
76.92307829856873,10,2
73.97260069847107,10,3
85.22727489471436,10,4
78.125,10,5
75.0,10,6
76.52173638343811,10,7
84.21052694320679,10,8
73.88059496879578,10,9
80.4347813129425,10,10
82.20338821411133,11,1
79.23076748847961,11,2
76.7123281955719,11,3
84.09090638160706,11,4
78.90625,11,5
75.83333253860474,11,6
78.2608687877655,11,7
81.95488452911377,11,8
69.40298676490784,11,9
68.11594367027283,11,10
79.00000214576721,11,11
77.96609997749329,12,1
76.92307829856873,12,2
71.91780805587769,12,3
81.81818127632141,12,4
75.0,12,5
77.49999761581421,12,6
75.65217614173889,12,7
81.95488452911377,12,8
70.89552283287048,12,9
71.7391312122345,12,10
75.99999904632568,12,11
81.03448152542114,12,12
79.6610176563263,13,1
76.15384459495544,13,2
73.97260069847107,13,3
78.97727489471436,13,4
78.90625,13,5
75.83333253860474,13,6
76.52173638343811,13,7
83.45864415168762,13,8
67.91045069694519,13,9
71.7391312122345,13,10
70.99999785423279,13,11
74.13793206214905,13,12
87.4015748500824,13,13
77.96609997749329,14,1
73.84615540504456,14,2
69.8630154132843,14,3
78.40909361839294,14,4
74.21875,14,5
74.16666746139526,14,6
69.5652186870575,14,7
77.44361162185669,14,8
65.67164063453674,14,9
72.46376872062683,14,10
75.0,14,11
69.82758641242981,14,12
78.7401556968689,14,13
80.30303120613098,14,14
77.96609997749329,15,1
75.38461685180664,15,2
67.80821681022644,15,3
76.13636255264282,15,4
72.65625,15,5
71.66666388511658,15,6
70.43478488922119,15,7
78.94737124443054,15,8
62.68656849861145,15,9
69.5652186870575,15,10
72.00000286102295,15,11
74.13793206214905,15,12
73.22834730148315,15,13
68.18181872367859,15,14
67.24137663841248,15,15
82.20338821411133,16,1
78.46153974533081,16,2
77.39726305007935,16,3
82.95454382896423,16,4
75.0,16,5
78.33333611488342,16,6
77.3913025856018,16,7
84.21052694320679,16,8
73.13432693481445,16,9
72.46376872062683,16,10
77.99999713897705,16,11
75.0,16,12
82.67716765403748,16,13
78.03030014038086,16,14
65.51724076271057,16,15
80.45112490653992,16,16
79.6610176563263,17,1
78.46153974533081,17,2
70.54794430732727,17,3
78.40909361839294,17,4
75.0,17,5
80.0000011920929,17,6
74.7826099395752,17,7
82.70676732063293,17,8
67.91045069694519,17,9
72.46376872062683,17,10
72.00000286102295,17,11
75.0,17,12
80.31495809555054,17,13
76.51515007019043,17,14
62.068963050842285,17,15
66.16541147232056,17,16
80.15872836112976,17,17
80.5084764957428,18,1
77.69230604171753,18,2
71.23287916183472,18,3
78.97727489471436,18,4
73.4375,18,5
76.66666507720947,18,6
71.30434513092041,18,7
81.20300769805908,18,8
70.14925479888916,18,9
71.01449370384216,18,10
74.00000095367432,18,11
78.44827771186829,18,12
80.31495809555054,18,13
79.54545617103577,18,14
63.79310488700867,18,15
68.42105388641357,18,16
66.66666865348816,18,17
84.9056601524353,18,18
79.6610176563263,19,1
71.53846025466919,19,2
72.60273694992065,19,3
81.25,19,4
73.4375,19,5
75.0,19,6
75.65217614173889,19,7
81.20300769805908,19,8
71.6417908668518,19,9
69.5652186870575,19,10
70.99999785423279,19,11
71.55172228813171,19,12
80.31495809555054,19,13
77.27272510528564,19,14
64.65517282485962,19,15
69.92481350898743,19,16
65.8730149269104,19,17
74.52830076217651,19,18
79.81651425361633,19,19
77.11864113807678,20,1
75.38461685180664,20,2
74.65753555297852,20,3
81.25,20,4
72.65625,20,5
78.33333611488342,20,6
73.9130437374115,20,7
80.45112490653992,20,8
72.38805890083313,20,9
67.3913061618805,20,10
70.99999785423279,20,11
75.86206793785095,20,12
78.7401556968689,20,13
77.27272510528564,20,14
64.65517282485962,20,15
70.67669034004211,20,16
70.63491940498352,20,17
68.86792182922363,20,18
72.47706651687622,20,19
76.23762488365173,20,20
77.96609997749329,21,1
69.2307710647583,21,2
67.80821681022644,21,3
77.27272510528564,21,4
67.96875,21,5
74.16666746139526,21,6
68.6956524848938,21,7
84.21052694320679,21,8
66.41790866851807,21,9
68.84058117866516,21,10
73.00000190734863,21,11
74.13793206214905,21,12
77.95275449752808,21,13
69.69696879386902,21,14
65.51724076271057,21,15
68.42105388641357,21,16
69.04761791229248,21,17
70.75471878051758,21,18
70.64220309257507,21,19
61.38613820075989,21,20
84.72222089767456,21,21
77.96609997749329,22,1
71.53846025466919,22,2
67.80821681022644,22,3
82.95454382896423,22,4
72.65625,22,5
76.66666507720947,22,6
73.0434775352478,22,7
77.44361162185669,22,8
64.92537260055542,22,9
66.66666865348816,22,10
70.99999785423279,22,11
76.7241358757019,22,12
78.7401556968689,22,13
75.0,22,14
62.068963050842285,22,15
67.66917109489441,22,16
66.66666865348816,22,17
67.92452931404114,22,18
74.31192398071289,22,19
65.34653306007385,22,20
80.55555820465088,22,21
78.33333611488342,22,22
76.27118825912476,23,1
72.30769395828247,23,2
65.75342416763306,23,3
81.25,23,4
71.09375,23,5
75.0,23,6
69.5652186870575,23,7
79.69924807548523,23,8
61.94030046463013,23,9
64.49275612831116,23,10
66.00000262260437,23,11
74.13793206214905,23,12
74.01574850082397,23,13
70.45454382896423,23,14
61.20689511299133,23,15
63.90977501869202,23,16
67.46031641960144,23,17
70.75471878051758,23,18
69.72476840019226,23,19
65.34653306007385,23,20
77.08333134651184,23,21
55.83333373069763,23,22
79.48718070983887,23,23
77.96609997749329,24,1
72.30769395828247,24,2
71.91780805587769,24,3
80.11363744735718,24,4
71.09375,24,5
77.49999761581421,24,6
71.30434513092041,24,7
81.20300769805908,24,8
70.14925479888916,24,9
70.28985619544983,24,10
66.00000262260437,24,11
72.41379022598267,24,12
80.31495809555054,24,13
76.51515007019043,24,14
63.79310488700867,24,15
66.91729426383972,24,16
71.42857313156128,24,17
69.8113203048706,24,18
73.39449524879456,24,19
64.35643434524536,24,20
77.08333134651184,24,21
63.333332538604736,24,22
70.08547186851501,24,23
80.23256063461304,24,24
76.27118825912476,25,1
72.30769395828247,25,2
69.8630154132843,25,3
80.11363744735718,25,4
71.875,25,5
76.66666507720947,25,6
68.6956524848938,25,7
79.69924807548523,25,8
64.92537260055542,25,9
71.01449370384216,25,10
61.000001430511475,25,11
69.82758641242981,25,12
76.37795209884644,25,13
71.21211886405945,25,14
57.758623361587524,25,15
64.6616518497467,25,16
73.01587462425232,25,17
68.86792182922363,25,18
67.88991093635559,25,19
62.37623691558838,25,20
73.61111044883728,25,21
57.499998807907104,25,22
66.66666865348816,25,23
70.9302306175232,25,24
75.38461685180664,25,25
77.11864113807678,26,1
73.84615540504456,26,2
65.75342416763306,26,3
78.40909361839294,26,4
72.65625,26,5
71.66666388511658,26,6
66.9565200805664,26,7
78.94737124443054,26,8
67.16417670249939,26,9
65.94203114509583,26,10
62.00000047683716,26,11
68.1034505367279,26,12
79.52755689620972,26,13
69.69696879386902,26,14
58.62069129943848,26,15
65.41353464126587,26,16
72.22222089767456,26,17
70.75471878051758,26,18
65.13761281967163,26,19
62.37623691558838,26,20
72.22222089767456,26,21
62.5,26,22
62.39316463470459,26,23
61.62790656089783,26,24
67.69230961799622,26,25
79.67479825019836,26,26
79.6610176563263,27,1
74.61538314819336,27,2
64.38356041908264,27,3
78.40909361839294,27,4
71.09375,27,5
70.83333134651184,27,6
58.2608699798584,27,7
78.94737124443054,27,8
63.43283653259277,27,9
65.94203114509583,27,10
61.000001430511475,27,11
66.37930870056152,27,12
75.59055089950562,27,13
68.18181872367859,27,14
55.17241358757019,27,15
61.654132604599,27,16
67.46031641960144,27,17
70.75471878051758,27,18
61.46789193153381,27,19
58.415842056274414,27,20
71.52777910232544,27,21
58.33333134651184,27,22
58.11966061592102,27,23
65.11628031730652,27,24
64.61538672447205,27,25
65.04064798355103,27,26
75.2212405204773,27,27
77.96609997749329,28,1
76.15384459495544,28,2
66.4383590221405,28,3
77.84090638160706,28,4
68.75,28,5
70.83333134651184,28,6
65.21739363670349,28,7
77.44361162185669,28,8
67.91045069694519,28,9
67.3913061618805,28,10
61.000001430511475,28,11
62.931036949157715,28,12
77.16535329818726,28,13
72.72727489471436,28,14
55.17241358757019,28,15
62.406015396118164,28,16
70.63491940498352,28,17
71.69811129570007,28,18
60.550457239151,28,19
57.42574334144592,28,20
69.44444179534912,28,21
59.16666388511658,28,22
58.11966061592102,28,23
67.44186282157898,28,24
67.69230961799622,28,25
60.16260385513306,28,26
68.14159154891968,28,27
81.3725471496582,28,28
72.03390002250671,29,1
70.76923251152039,29,2
66.4383590221405,29,3
74.43181872367859,29,4
66.40625,29,5
63.333332538604736,29,6
66.08695387840271,29,7
75.93985199928284,29,8
62.68656849861145,29,9
65.21739363670349,29,10
60.00000238418579,29,11
70.68965435028076,29,12
71.65354490280151,29,13
71.96969985961914,29,14
55.17241358757019,29,15
61.654132604599,29,16
62.69841194152832,29,17
