effective_batch_size,epoch,family,gradient_norm_mean,image_presentations,learning_rate,optimizer_steps,peak_learning_rate,role,schedule,seed,train_objective_accuracy,train_objective_nll,validation_accuracy,validation_nll,wall_seconds
512,1,macro,3.021480828523636,12194,0.0003,24,0.0003,legacy_control,legacy_constant,1993,51.32852222404461,2.289833906616992,69.72777959986881,1.2556053842236152,37.65996405109763
512,2,macro,1.851867139339447,24388,0.0003,48,0.0003,legacy_control,legacy_constant,1993,82.74561259635887,0.6893382295342925,73.76188914398163,1.0946637632495735,73.07004454359412
512,3,macro,1.3611015876134236,36582,0.0003,72,0.0003,legacy_control,legacy_constant,1993,93.45579793340987,0.29679742499963563,75.17218760249263,1.1000898842265778,109.60809369012713
512,4,macro,0.8827627574404081,48776,0.0003,96,0.0003,legacy_control,legacy_constant,1993,98.38445136952599,0.11572625653869269,73.56510331256149,1.1486880051264727,145.46596028283238
512,5,macro,0.567077757169803,60970,0.0003,120,0.0003,legacy_control,legacy_constant,1993,99.44234869608005,0.05262880085217321,75.59855690390292,1.1112113694903811,180.35712871700525
512,6,macro,0.287840203071634,73164,0.0003,144,0.0003,legacy_control,legacy_constant,1993,99.82778415614237,0.023866667031107798,75.5657592653329,1.1092414981070093,215.9693112410605
512,7,macro,0.19706474089374146,85358,0.0003,168,0.0003,legacy_control,legacy_constant,1993,99.82778415614237,0.014874126630785897,75.82814037389308,1.1116593355583573,252.77099402062595
512,8,macro,0.21835609463353953,97552,0.0003,192,0.0003,legacy_control,legacy_constant,1993,99.77037887485649,0.014294983149161392,75.82814037389308,1.1221042719384653,288.7670080251992
512,9,macro,0.14279245709379515,109746,0.0003,216,0.0003,legacy_control,legacy_constant,1993,99.8523864195506,0.009785140530484729,75.99212856674319,1.1173921161575293,324.2625360880047
512,10,macro,0.12967870756983757,121940,0.0003,240,0.0003,legacy_control,legacy_constant,1993,99.84418566508118,0.009629964544985438,76.4184978681535,1.117269610451573,360.4653716292232
512,11,macro,0.11014838051050901,134134,0.0003,264,0.0003,legacy_control,legacy_constant,1993,99.86878792848943,0.00804438871771894,76.54968842243359,1.121089823952109,395.6397609002888
512,12,macro,0.08446020710592468,146328,0.0003,288,0.0003,legacy_control,legacy_constant,1993,99.87698868295884,0.006670475827292651,76.81206953099377,1.1117580247417986,428.92109936475754
512,13,macro,0.10293789270023505,158522,0.0003,312,0.0003,legacy_control,legacy_constant,1993,99.86058717402001,0.00810444548576997,76.54968842243359,1.108245241559893,464.133492378518
512,14,macro,0.09124606257925431,170716,0.0003,336,0.0003,legacy_control,legacy_constant,1993,99.86058717402001,0.006763758523671065,76.74647425385372,1.1136651269018787,499.9624085724354
