artifact,artifact_sha256,best_epoch,depth,learning_rate,parameter_count,seed,stage,train_accuracy,train_nll,validation_accuracy,validation_nll,wall_seconds
models/clean_candidates/acd20146170e69dab5579b650662b8672071fa6bbf42fe1aa5f78a9ec831b2e6,818128538245a1f3298290450a7f5473bb953fddd4887164094e0fbc592ed73e,6,1,0.0001,12055496,1993,31,99.49975397736591,0.09785970922804513,74.31944899967202,1.0885851926669092,769.8251955285668
models/clean_candidates/3a5aa68087396475593a7b1a6e31311153aa1c0903e3e9a8a42de6315059a9fc,5de7ea189f6b96c4a27d665bd2c43c121762858312e5e115a47e5fe113fd274b,2,1,0.0003,12055496,1993,31,93.30818435296047,0.30376641066402454,73.76188914398163,1.0946637632495735,701.600932167843
models/clean_candidates/0afa7f2a179ae676db916204b22298de1d717dd3230179e6e37d676771ff3d20,7f678b7a9e9c9be5be26a00f37eef2aa6dd55b7e9ecd6e496cf75bf2bab2813d,2,1,0.001,12055496,1993,31,93.97244546498278,0.25347702730400007,73.04034109544112,1.1708988416151909,712.5321536287665
models/clean_candidates/800b95827d2c014be46f77a3b69ca4640f5f1bed2fb2891a373b2bc01bf8078e,fe7a9e701267f99df24ef834999f9c6e94b3d7f241a33353ed3f96beb8ed995b,5,2,0.0001,19143368,1993,31,99.45875020501886,0.0911725024541949,73.76188914398163,1.1055908203125,747.0135140120983
models/clean_candidates/0eccfe58d1e08958856f58a5cbf89e93bc243d03869053c4bfa2a6dcf9ac6be6,941893e88a597c2bc5d84806ea1ad3c31f9672811f37c43aa48fa1b9b1ea8500,2,2,0.0003,19143368,1993,31,93.89863867475808,0.27279652445672553,73.59790095113152,1.1204077688425476,748.1315418072045
models/clean_candidates/4a10015a169a09a8c58b02b2232d40ece566232b33dbdabcfb89e22989c6ff17,369d98d30a5983d71667a0edf955c8f99c62dcffa1594809706dec1a74a49311,2,2,0.001,19143368,1993,31,89.47023126127604,0.4099163925411155,69.95736306985897,1.2706640048979463,752.6386263351887
models/clean_candidates/a46e1a3d1784687e1ffd73082b5e8f77d4962c15e7ef5c9d56aa2a0ab3b3d819,468a3e71d13adddcdbfca21f64d9fd6d9984a9843c2e1213e188e1b5c1f7e62c,10,1,0.0001,12055496,1993,50,99.859375,0.017095015067607165,76.08333333333333,1.0931795239448547,620.0964249633253
models/clean_candidates/173b20e4592db9e7380f51c1f5ea4e5bc42a9788d56d7770757623a34f1e6935,712d20865cda3dac45af68bd6b7c78a4b5470dcf0a45e93c4928215dac9f6ce3,10,1,0.0003,12055496,1993,50,99.86458333333333,0.008140863397469124,77.16666666666667,1.0859641194343568,604.7607948351651
models/clean_candidates/bb062921665bb57ddf164e868df0ca9ccb5bb2fd034923c8eb185eccae304b2d,4004f1e07cedf5131c1a50a161207fece87ad5637d60ad233d1da0461f39d08b,2,1,0.001,12055496,1993,50,95.86979166666667,0.18431774778912466,73.89583333333333,1.1492477440834046,655.2476988192648
models/clean_candidates/621c09790f1255d208ffb64cf313c4f0c7319c3948ab1240da56d8afb985f678,240fa8178a5da3f1cf114c917d12c2db7ad33eb82bfef211774d0e8af3af5c10,4,2,0.0001,19143368,1993,50,97.95833333333333,0.17665533676743508,74.875,1.1075574072202046,747.3387122191489
models/clean_candidates/f998abebeb6f804494a8778e400055324e16871c41f97e6e77b7492ffd1478fb,29be35de696a528b36626296c96820b6fae155d6dc427fecca6be6a5393070c3,2,2,0.0003,19143368,1993,50,95.28645833333333,0.24091246947646142,74.20833333333333,1.1143410380681356,603.9356546103954
models/clean_candidates/cb6ced8e0d8ac7e28e30e203394365087734b86e91db97155d68a3e98ebef265,c822e89cfa2d4d4bc9f802d464730703d3693ef6efdcb9fdd80885fa2aa3f6f9,2,2,0.001,19143368,1993,50,92.77604166666667,0.28738751287261644,72.8125,1.194227413336436,623.4532663337886
