best_epoch,condition,epochs_run,image_presentations,optimizer_steps,parameter_count,peak_vram_bytes,phase,seed,stage,wall_seconds
2,Macro-token transformer (selected),20,243880,480,12055496,1339760128,clean_selection,1993,31,701.600932167843
2,Macro-token transformer (selected),20,243880,480,12055496,1387973120,clean_selection,1994,31,707.2793490812182
2,Macro-token transformer (selected),20,243880,480,12055496,1388043776,clean_selection,1995,31,705.3257102873176
6,v6 final-CLS behavior MLP,20,243880,480,9122760,272321536,clean_selection,1993,31,7.738404171541333
6,v6 final-CLS behavior MLP,20,243880,480,9122760,272321536,clean_selection,1994,31,7.737470908090472
6,v6 final-CLS behavior MLP,20,243880,480,9122760,272321536,clean_selection,1995,31,7.903831530362368
2,End-to-end owner model,20,243880,480,11906310,1385633280,clean_selection,1993,31,693.132560627535
33,Frozen linear owner probe,43,524342,1032,4614,892342784,clean_selection,1993,31,22.92076349630952
10,Macro-token transformer (selected),20,384000,760,12055496,1142467072,clean_selection,1993,50,604.7607948351651
2,Macro-token transformer (selected),20,384000,760,12055496,1191442944,clean_selection,1994,50,565.7526448387653
3,Macro-token transformer (selected),20,384000,760,12055496,1192206848,clean_selection,1995,50,589.0643249619752
7,v6 final-CLS behavior MLP,20,384000,760,9122760,267665920,clean_selection,1993,50,9.990727601572871
6,v6 final-CLS behavior MLP,20,384000,760,9122760,267665920,clean_selection,1994,50,9.619180049747229
6,v6 final-CLS behavior MLP,20,384000,760,9122760,267665920,clean_selection,1995,50,10.124854192137718
2,End-to-end owner model,20,384000,760,11906310,1189796352,clean_selection,1993,50,612.2950174603611
34,Frozen linear owner probe,44,844800,1672,4614,672151040,clean_selection,1993,50,20.482822250574827
2,Macro-token transformer (selected),2,30486,60,12055496,1339347456,all_train_refit,1993,31,91.51375175826252
2,Macro-token transformer (selected),2,30486,60,12055496,1437024768,all_train_refit,1994,31,88.54168064892292
2,Macro-token transformer (selected),2,30486,60,12055496,1434589696,all_train_refit,1995,31,88.54840994440019
6,v6 final-CLS behavior MLP,6,91458,180,9122760,318974976,all_train_refit,1993,31,2.9635973516851664
6,v6 final-CLS behavior MLP,6,91458,180,9122760,318974976,all_train_refit,1994,31,2.337890876457095
6,v6 final-CLS behavior MLP,6,91458,180,9122760,318974976,all_train_refit,1995,31,2.3482464011758566
2,End-to-end owner model,2,30486,60,11906310,1432179200,all_train_refit,1993,31,86.75721024721861
33,Frozen linear owner probe,33,503019,990,4614,939067904,all_train_refit,1993,31,20.834714388474822
10,Macro-token transformer (selected),10,240000,470,12055496,1139954176,all_train_refit,1993,50,302.1239688433707
2,Macro-token transformer (selected),2,48000,94,12055496,1238800896,all_train_refit,1994,50,73.7103845346719
3,Macro-token transformer (selected),3,72000,141,12055496,1237697024,all_train_refit,1995,50,98.90625385195017
7,v6 final-CLS behavior MLP,7,168000,329,9122760,322329600,all_train_refit,1993,50,3.6822179574519396
6,v6 final-CLS behavior MLP,6,144000,282,9122760,322329600,all_train_refit,1994,50,3.0287755765020847
6,v6 final-CLS behavior MLP,6,144000,282,9122760,322329600,all_train_refit,1995,50,2.9922239910811186
2,End-to-end owner model,2,48000,94,11906310,1235286528,all_train_refit,1993,50,73.19243244268
34,Frozen linear owner probe,34,816000,1598,4614,719924736,all_train_refit,1993,50,17.644751831889153
