condition,owner_accuracy,partition,routed_class_accuracy,stage
Frozen linear owner probe,81.46629489913072,fit,78.50582253567327,31
End-to-end owner model,90.09348860095129,fit,87.2396260455962,31
Frozen linear owner probe,74.22105608396195,validation,63.4306329944244,31
End-to-end owner model,79.50147589373564,validation,69.49819612987865,31
Frozen linear owner probe,89.265625,fit,85.890625,50
End-to-end owner model,94.11979166666667,fit,91.16145833333333,50
Frozen linear owner probe,81.0,validation,67.20833333333333,50
End-to-end owner model,85.125,validation,71.95833333333333,50
Frozen linear owner probe,74.16142557651992,test,65.06813417190776,31
End-to-end owner model,81.02725366876311,test,72.95597484276729,31
Frozen linear owner probe,84.45,test,72.06666666666666,50
End-to-end owner model,86.6,test,74.3,50
