accuracy,condition,seed,stage,task
77.11864406779661,macro_token,1993,31,1
75.38461538461539,macro_token,1993,31,2
69.86301369863014,macro_token,1993,31,3
75.0,macro_token,1993,31,4
77.34375,macro_token,1993,31,5
79.16666666666667,macro_token,1993,31,6
81.73913043478261,macro_token,1993,31,7
84.21052631578948,macro_token,1993,31,8
73.88059701492537,macro_token,1993,31,9
75.3623188405797,macro_token,1993,31,10
78.0,macro_token,1993,31,11
74.13793103448276,macro_token,1993,31,12
81.10236220472441,macro_token,1993,31,13
71.96969696969697,macro_token,1993,31,14
70.6896551724138,macro_token,1993,31,15
66.16541353383458,macro_token,1993,31,16
79.36507936507937,macro_token,1993,31,17
84.90566037735849,macro_token,1993,31,18
74.31192660550458,macro_token,1993,31,19
66.33663366336634,macro_token,1993,31,20
79.86111111111111,macro_token,1993,31,21
64.16666666666667,macro_token,1993,31,22
67.52136752136752,macro_token,1993,31,23
67.44186046511628,macro_token,1993,31,24
69.23076923076923,macro_token,1993,31,25
78.86178861788618,macro_token,1993,31,26
70.79646017699115,macro_token,1993,31,27
77.45098039215686,macro_token,1993,31,28
71.05263157894737,macro_token,1993,31,29
76.16822429906541,macro_token,1993,31,30
71.9298245614035,macro_token,1993,31,31
79.66101694915254,macro_token,1994,31,1
80.76923076923077,macro_token,1994,31,2
73.97260273972603,macro_token,1994,31,3
80.11363636363636,macro_token,1994,31,4
67.1875,macro_token,1994,31,5
80.0,macro_token,1994,31,6
71.30434782608695,macro_token,1994,31,7
87.96992481203007,macro_token,1994,31,8
75.3731343283582,macro_token,1994,31,9
75.3623188405797,macro_token,1994,31,10
77.0,macro_token,1994,31,11
75.0,macro_token,1994,31,12
79.5275590551181,macro_token,1994,31,13
78.03030303030303,macro_token,1994,31,14
68.96551724137932,macro_token,1994,31,15
66.16541353383458,macro_token,1994,31,16
77.77777777777777,macro_token,1994,31,17
83.9622641509434,macro_token,1994,31,18
69.72477064220183,macro_token,1994,31,19
67.32673267326733,macro_token,1994,31,20
81.94444444444444,macro_token,1994,31,21
74.16666666666667,macro_token,1994,31,22
70.94017094017094,macro_token,1994,31,23
68.6046511627907,macro_token,1994,31,24
64.61538461538461,macro_token,1994,31,25
75.60975609756098,macro_token,1994,31,26
68.14159292035399,macro_token,1994,31,27
76.47058823529412,macro_token,1994,31,28
65.78947368421052,macro_token,1994,31,29
73.83177570093459,macro_token,1994,31,30
79.82456140350877,macro_token,1994,31,31
80.50847457627118,macro_token,1995,31,1
87.6923076923077,macro_token,1995,31,2
70.54794520547945,macro_token,1995,31,3
81.81818181818181,macro_token,1995,31,4
