stage,slot,represented_task_capacity,node_hash,entry
1,0,1,88e0bc8a6df6654027d91eee97f6a3a29b96b3bbba06d219e6c7489b471692aa,source_reset
2,1,2,ac98cb96719619dbc727e7b6f01833844ceb71cbd7f905252d7f4294d3441b43,source_reset
3,0,1,0267f934808003200505c63c1a539f10b9ac6fd3fd3bb9ed46cb0c002e00b1a3,source_reset
3,1,2,ac98cb96719619dbc727e7b6f01833844ceb71cbd7f905252d7f4294d3441b43,continued
4,2,4,c917d54a726a4ceb9b349615fd170caf8b194fe1d9087381ed8145431126242d,source_reset
5,0,1,eca25b8b69ed5197baa48de0759550c762dd4a37a3657d01e67543f58e97332b,source_reset
5,2,4,c917d54a726a4ceb9b349615fd170caf8b194fe1d9087381ed8145431126242d,continued
6,1,2,874fbfe5807db6825804315c4256336d03c41b2463349e1e36f8e9166100d160,source_reset
6,2,4,c917d54a726a4ceb9b349615fd170caf8b194fe1d9087381ed8145431126242d,continued
7,0,1,ec17162850b656097a52c18a27ab3f21c00567faf86003cf8b86108801e39c59,source_reset
7,1,2,874fbfe5807db6825804315c4256336d03c41b2463349e1e36f8e9166100d160,continued
7,2,4,c917d54a726a4ceb9b349615fd170caf8b194fe1d9087381ed8145431126242d,continued
8,3,8,a26bd2a513405a6f062fc4aa433ea8891a79c90e1c765650248c8538eb64f6f9,source_reset
9,0,1,c555ac5c7ae0b52a99a05ef4493b83be15cea4a189a9c6e8642f0a14e9515fcb,source_reset
9,3,8,a26bd2a513405a6f062fc4aa433ea8891a79c90e1c765650248c8538eb64f6f9,continued
10,1,2,4eb0d084e3e848cf22bdbff061b687f21ddf8e8c3d6b75ee41b9f72c185042d5,source_reset
10,3,8,a26bd2a513405a6f062fc4aa433ea8891a79c90e1c765650248c8538eb64f6f9,continued
11,0,1,32ba54ab2d435061cd7e85a0ff962467333c151c8e75b26dd15c9239f5d2074a,source_reset
11,1,2,4eb0d084e3e848cf22bdbff061b687f21ddf8e8c3d6b75ee41b9f72c185042d5,continued
11,3,8,a26bd2a513405a6f062fc4aa433ea8891a79c90e1c765650248c8538eb64f6f9,continued
12,2,4,b3c41a731ff690fc2a30590506131beca51038a073bad2b6d2472030e8afd9ef,source_reset
12,3,8,a26bd2a513405a6f062fc4aa433ea8891a79c90e1c765650248c8538eb64f6f9,continued
13,0,1,48b703bd23f5f8ca925315df0e7f72819903101bf66938f85b28cb9452e3310e,source_reset
13,2,4,b3c41a731ff690fc2a30590506131beca51038a073bad2b6d2472030e8afd9ef,continued
13,3,8,a26bd2a513405a6f062fc4aa433ea8891a79c90e1c765650248c8538eb64f6f9,continued
14,1,2,21033209171da0d4bf5319d24bcd73adbc6297cfa8def7a0e4cdb8249605f389,source_reset
14,2,4,b3c41a731ff690fc2a30590506131beca51038a073bad2b6d2472030e8afd9ef,continued
14,3,8,a26bd2a513405a6f062fc4aa433ea8891a79c90e1c765650248c8538eb64f6f9,continued
15,0,1,42defe51937fc229ab08f59ef255eae46c4926cfbcd56bea8679a609afa6fe32,source_reset
15,1,2,21033209171da0d4bf5319d24bcd73adbc6297cfa8def7a0e4cdb8249605f389,continued
15,2,4,b3c41a731ff690fc2a30590506131beca51038a073bad2b6d2472030e8afd9ef,continued
15,3,8,a26bd2a513405a6f062fc4aa433ea8891a79c90e1c765650248c8538eb64f6f9,continued
16,4,16,b66fdc8bba5aa50841076ecd4967d77beb3a140203ce07430cf086c87bfcf625,source_reset
17,0,1,dbb3cd146e361d1bf1e79f458ea46e0a8e22f8eba6dd0c2ee9098824ad01be3e,source_reset
17,4,16,b66fdc8bba5aa50841076ecd4967d77beb3a140203ce07430cf086c87bfcf625,continued
18,1,2,c72e829e8e946541c17443f649a92307c3f7809ee1e0836edd3cc2b19a253264,source_reset
18,4,16,b66fdc8bba5aa50841076ecd4967d77beb3a140203ce07430cf086c87bfcf625,continued
19,0,1,f67effce9bf2bd8197b462a93938ab3a1bc49649556399ddbec353bbc3da7153,source_reset
19,1,2,c72e829e8e946541c17443f649a92307c3f7809ee1e0836edd3cc2b19a253264,continued
19,4,16,b66fdc8bba5aa50841076ecd4967d77beb3a140203ce07430cf086c87bfcf625,continued
20,2,4,f77a0edf5e1d6047ab5b7b6b83126efb03eb08858e794de45b3eff1c560020c0,source_reset
20,4,16,b66fdc8bba5aa50841076ecd4967d77beb3a140203ce07430cf086c87bfcf625,continued
21,0,1,fc864a8299d2b4ac871652f3e68399ff2c5ecbe9723470836680b004d981b87b,source_reset
21,2,4,f77a0edf5e1d6047ab5b7b6b83126efb03eb08858e794de45b3eff1c560020c0,continued
21,4,16,b66fdc8bba5aa50841076ecd4967d77beb3a140203ce07430cf086c87bfcf625,continued
22,1,2,890b2afdbf134cc7a796f520155aaef39c0e3bdd5aca2bbbb1150dbfee789e0a,source_reset
22,2,4,f77a0edf5e1d6047ab5b7b6b83126efb03eb08858e794de45b3eff1c560020c0,continued
22,4,16,b66fdc8bba5aa50841076ecd4967d77beb3a140203ce07430cf086c87bfcf625,continued
23,0,1,621509df829f4769dad4e5841252ba492cb96fbc5f77aca2703d4564269bb962,source_reset
23,1,2,890b2afdbf134cc7a796f520155aaef39c0e3bdd5aca2bbbb1150dbfee789e0a,continued
