condition_id,stage,training_forward_images,recompute_forward_images,training_backward_images,training_wall_seconds,hierarchy_forward_images,hierarchy_wall_seconds,adaptation_forward_images,adaptation_wall_seconds,evaluation_forward_images,evaluation_wall_seconds,training_forward_images_including_recompute,cumulative_training_forward_images,cumulative_recompute_forward_images,cumulative_training_backward_images,cumulative_training_wall_seconds,cumulative_hierarchy_forward_images,cumulative_hierarchy_wall_seconds,cumulative_adaptation_forward_images,cumulative_adaptation_wall_seconds,cumulative_evaluation_forward_images,cumulative_evaluation_wall_seconds,cumulative_training_forward_images_including_recompute
persistent_h4096,1,4275,1900,4275,14.152426920831203,2375,6.147591065615416,1900,8.004835855215788,118,0.8386616539210081,6175,4275,1900,4275,14.152426920831203,2375,6.147591065615416,1900,8.004835855215788,118,0.8386616539210081,6175
persistent_h4096,2,11471,3956,11471,29.17544141598046,7515,17.16941462829709,3956,12.006026787683368,248,0.9559630192816257,15427,15746,5856,15746,43.32786833681166,9890,23.317005693912506,5856,20.010862642899156,366,1.7946246732026339,21602
persistent_h4096,3,15530,12600,15530,36.485637644305825,2930,7.237926926463842,12600,29.247710717841983,788,1.4931346103549004,28130,31276,18456,31276,79.81350598111749,12820,30.55493262037635,18456,49.25857336074114,1154,3.287759283557534,49732
persistent_h4096,4,30481,9116,30481,64.14298410527408,21365,41.10980647802353,9116,23.033177627250552,570,1.301714600995183,39597,61757,27572,61757,143.95649008639157,34185,71.66473909839988,27572,72.29175098799169,1724,4.589473884552717,89329
persistent_h4096,5,24940,22360,24940,55.53412274830043,2580,6.615371564403176,22360,48.91875118389726,1396,1.8305958937853575,47300,86697,49932,86697,199.490612834692,36765,78.28011066280305,49932,121.21050217188895,3120,6.420069778338075,136629
persistent_h4096,6,33616,26216,33616,73.89788902178407,7400,16.907310189679265,26216,56.9905788321048,1636,2.005859475582838,59832,120313,76148,120313,273.38850185647607,44165,95.18742085248232,76148,178.20108100399375,4756,8.425929253920913,196461
persistent_h4096,7,47161,44856,47161,100.49577340297401,2305,6.5050413105636835,44856,93.99073209241033,2799,2.83922297693789,92017,167474,121004,167474,373.8842752594501,46470,101.692462163046,121004,272.1918130964041,7555,11.265152230858803,288478
persistent_h4096,8,56082,17092,56082,110.2223019786179,38990,70.39167669788003,17092,39.83062528073788,1066,1.8979551512748003,73174,223556,138096,223556,484.106577238068,85460,172.08413886092603,138096,312.02243837714195,8621,13.163107382133603,361652
persistent_h4096,9,39645,37000,39645,85.90728956274688,2645,6.975117042660713,37000,78.93217252008617,2400,2.5521558094769716,76645,263201,175096,263201,570.0138668008149,88105,179.05925590358675,175096,390.9546108972281,11021,15.715263191610575,438297
persistent_h4096,10,45259,37144,45259,97.0598214622587,8115,17.880290307104588,37144,79.17953115515411,2676,2.7185673601925373,82403,308460,212240,308460,667.0736882630736,96220,196.93954621069133,212240,470.13414205238223,13697,18.433830551803112,520700
persistent_h4096,11,55867,53892,55867,117.40461782552302,1975,5.516099153086543,53892,111.88851867243648,4314,3.7448480427265167,109759,364327,266132,364327,784.4783060885966,98195,202.45564536377788,266132,582.0226607248187,18011,22.17867859452963,630459
persistent_h4096,12,52701,36456,52701,110.71380163542926,16245,32.84047381207347,36456,77.8733278233558,3108,3.114931223914027,89157,417028,302588,417028,895.1921077240258,114440,235.29611917585135,302588,659.8959885481745,21119,25.293609818443656,719616
persistent_h4096,13,57839,55284,57839,120.61137207783759,2555,6.349926717579365,55284,114.26144536025822,5043,4.1153440568596125,113123,474867,357872,474867,1015.8034798018634,116995,241.6460458934307,357872,774.1574339084327,26162,29.40895387530327,832739
persistent_h4096,14,63279,55464,63279,132.12009559385478,7815,18.010477527976036,55464,114.10961806587875,5439,4.5145566165447235,118743,538146,413336,538146,1147.9235753957182,124810,259.65652342140675,413336,888.2670519743115,31601,33.92351049184799,951482
persistent_h4096,15,75301,72976,75301,154.65897261723876,2325,6.10677239112556,72976,148.5522002261132,7716,6.115490542724729,148277,613447,486312,613447,1302.582548012957,127135,265.7632958125323,486312,1036.8192522004247,39317,40.03900103457272,1099759
persistent_h4096,16,97265,18500,97265,174.95392851904035,78765,131.89561316370964,18500,43.058315355330706,2062,2.6160513442009687,115765,710712,504812,710712,1477.5364765319973,205900,397.65890897624195,504812,1079.8775675557554,41379,42.65505237877369,1215524
persistent_h4096,17,39242,36752,39242,84.82884464971721,2490,6.4516533352434635,36752,78.37719131447375,4376,4.2043008748441935,75994,749954,541564,749954,1562.3653211817145,208390,404.1105623114854,541564,1158.2547588702291,45755,46.85935325361788,1291518
persistent_h4096,18,42872,36152,42872,92.52522814832628,6720,15.659728227183223,36152,76.86549992114305,4588,4.14328227750957,79024,792826,577716,792826,1654.8905493300408,215110,419.77029053866863,577716,1235.1202587913722,50343,51.00263553112745,1370542
persistent_h4096,19,56513,54348,56513,118.5404121670872,2165,6.090247889980674,54348,112.45016427710652,7209,5.6936354245990515,110861,849339,632064,849339,1773.430961497128,217275,425.8605384286493,632064,1347.5704230684787,57552,56.696270955726504,1481403
persistent_h4096,20,51041,36016,51041,107.97524308040738,15025,31.37035453133285,36016,76.60488854907453,5008,4.347984302788973,87057,900380,668080,900380,1881.4062045775354,232300,457.23089295998216,668080,1424.1753116175532,62560,61.04425525851548,1568460
persistent_h4096,21,58995,56100,58995,123.22896832413971,2895,7.192554974928498,56100,116.03641334921122,7944,6.174414627254009,115095,959375,724180,959375,2004.635172901675,235195,464.42344793491066,724180,1540.2117249667645,70504,67.21866988576949,1683555
persistent_h4096,22,62607,54912,62607,129.96692865900695,7695,17.006753472611308,54912,112.96017518639565,8304,6.477624401450157,117519,1021982,779092,1021982,2134.602101560682,242890,481.43020140752196,779092,1653.17190015316,78808,73.69629428721964,1801074
persistent_h4096,23,75364,73024,75364,155.26782473362982,2340,6.676544876769185,73024,148.59127985686064,11540,8.558144649490714,148388,1097346,852116,1097346,2289.869926294312,245230,488.10674628429115,852116,1801.7631800100207,90348,82.25443893671036,1949462
persistent_h4096,24,68810,35520,68810,139.86642703972757,33290,64.01912063732743,35520,75.84730640240014,5942,5.095721984282136,104330,1166156,887636,1166156,2429.7363533340394,278520,552.1258669216186,887636,1877.6104864124209,96290,87.3501609209925,2053792
