condition,condition_label,current_task_test_accuracy,fit_population_accuracy,fit_to_validation_gap_pp,joint_iid_test_accuracy,kind,old_task_macro_test_accuracy,optimizer,raw_union_test_accuracy,sampler,selected_training_accuracy,stage,test_accuracy,true_node_oracle_test_accuracy,validation_accuracy,weighting
fresh_full_history,Fresh full-history integrator,71.05262875556946,90.29850959777832,3.31917405128479,80.2935004234314,offline_diagnostic,72.3187239964803,fresh,68.60587000846863,full_history,90.29850959777832,31,72.77253866195679,83.70020985603333,86.97933554649353,full_history
rotating__example_uniform__carry,Rotating replay / example loss / carry Adam,76.31579041481018,98.99130463600159,17.91554093360901,80.2935004234314,online,69.60681597391765,carry,68.60587000846863,rotating,99.68454241752625,31,70.23060917854309,83.70020985603333,81.07576370239258,example_uniform
rotating__example_uniform__reset_each_stage,Rotating replay / example loss / reset Adam,74.56140518188477,98.46645593643188,19.948911666870117,80.2935004234314,online,68.5178283850352,reset_each_stage,68.60587000846863,rotating,99.19382929801941,31,69.26100850105286,83.70020985603333,78.51754426956177,example_uniform
rotating__task_uniform__carry,Rotating replay / task-balanced / carry Adam,73.68420958518982,99.05691146850586,18.571507930755615,80.2935004234314,online,69.63604986667633,carry,68.60587000846863,rotating,99.67285990715027,31,70.17819881439209,83.70020985603333,80.48540353775024,task_uniform
rotating__task_uniform__reset_each_stage,Rotating replay / task-balanced / reset Adam,69.29824352264404,98.56486916542053,18.735414743423462,80.2935004234314,online,69.27801648775737,reset_each_stage,68.60587000846863,rotating,99.2405652999878,31,69.7064995765686,83.70020985603333,79.82945442199707,task_uniform
static__example_uniform__carry,Fixed replay / example loss / carry Adam,73.68420958518982,96.81810736656189,17.087048292160034,80.2935004234314,online,68.66787274678548,carry,68.60587000846863,static,99.75464344024658,31,69.33962106704712,83.70020985603333,79.73105907440186,example_uniform
static__example_uniform__reset_each_stage,Fixed replay / example loss / reset Adam,71.9298243522644,97.0887303352356,17.193681001663208,80.2935004234314,online,68.71120889981587,reset_each_stage,68.60587000846863,static,99.43918585777283,31,69.39203143119812,83.70020985603333,79.89504933357239,example_uniform
static__task_uniform__carry,Fixed replay / task-balanced / carry Adam,74.56140518188477,97.19533920288086,17.464280128479004,80.2935004234314,online,68.84129981199901,carry,68.60587000846863,static,99.8714804649353,31,69.57547068595886,83.70020985603333,79.73105907440186,task_uniform
static__task_uniform__reset_each_stage,Fixed replay / task-balanced / reset Adam,75.43859481811523,96.98212146759033,18.071001768112183,80.2935004234314,online,68.6611791451772,reset_each_stage,68.60587000846863,static,99.41582083702087,31,69.39203143119812,83.70020985603333,78.91111969947815,task_uniform
fresh_full_history,Fresh full-history integrator,78.18182110786438,91.57291650772095,0.4062473773956299,78.86666655540466,offline_diagnostic,75.30024148979966,fresh,72.79999852180481,full_history,91.57291650772095,50,75.86666941642761,81.11666440963745,91.16666913032532,full_history
rotating__example_uniform__carry,Rotating replay / example loss / carry Adam,86.36363744735718,96.92708253860474,11.010414361953735,78.86666655540466,online,72.99635592772036,carry,72.79999852180481,rotating,99.344801902771,50,73.69999885559082,81.11666440963745,85.916668176651,example_uniform
rotating__example_uniform__reset_each_stage,Rotating replay / example loss / reset Adam,83.63636136054993,97.14583158493042,11.45833134651184,78.86666655540466,online,73.2089457463245,reset_each_stage,72.79999852180481,rotating,98.94700050354004,50,73.91666769981384,81.11666440963745,85.68750023841858,example_uniform
rotating__task_uniform__carry,Rotating replay / task-balanced / carry Adam,80.90909123420715,96.98958396911621,11.010414361953735,78.86666655540466,online,73.5271839462981,carry,72.79999852180481,rotating,99.1225004196167,50,74.04999732971191,81.11666440963745,85.97916960716248,task_uniform
rotating__task_uniform__reset_each_stage,Rotating replay / task-balanced / reset Adam,84.54545736312866,96.96875214576721,11.114585399627686,78.86666655540466,online,72.9335008835306,reset_each_stage,72.79999852180481,rotating,98.5725998878479,50,73.54999780654907,81.11666440963745,85.85416674613953,task_uniform
static__example_uniform__carry,Fixed replay / example loss / carry Adam,86.36363744735718,92.32291579246521,9.093749523162842,78.86666655540466,online,71.20214396593522,carry,72.79999852180481,static,99.66070055961609,50,72.01666831970215,81.11666440963745,83.22916626930237,example_uniform
static__example_uniform__reset_each_stage,Fixed replay / example loss / reset Adam,88.1818175315857,91.40625,10.510414838790894,78.86666655540466,online,69.27630013349105,reset_each_stage,72.79999852180481,static,99.57879781723022,50,70.23333311080933,81.11666440963745,80.8958351612091,example_uniform
static__task_uniform__carry,Fixed replay / task-balanced / carry Adam,82.72727131843567,92.25000143051147,8.770835399627686,78.86666655540466,online,71.352988846448,carry,72.79999852180481,static,99.71920251846313,50,72.11666703224182,81.11666440963745,83.47916603088379,task_uniform
static__task_uniform__reset_each_stage,Fixed replay / task-balanced / reset Adam,85.45454740524292,92.41145849227905,9.328126907348633,78.86666655540466,online,70.60623631185415,reset_each_stage,72.79999852180481,static,99.5553970336914,50,71.36666774749756,81.11666440963745,83.08333158493042,task_uniform
