baseline,comparison,delta_pp,factor,metric,stage
static__example_uniform__carry,rotating__example_uniform__carry,1.3447046279907227,rotating_minus_fixed,validation_accuracy,31
static__example_uniform__reset_each_stage,rotating__example_uniform__reset_each_stage,-1.3775050640106201,rotating_minus_fixed,validation_accuracy,31
static__task_uniform__carry,rotating__task_uniform__carry,0.7543444633483887,rotating_minus_fixed,validation_accuracy,31
static__task_uniform__reset_each_stage,rotating__task_uniform__reset_each_stage,0.9183347225189209,rotating_minus_fixed,validation_accuracy,31
static__example_uniform__carry,static__task_uniform__carry,0.0,task_balanced_minus_example,validation_accuracy,31
static__example_uniform__reset_each_stage,static__task_uniform__reset_each_stage,-0.9839296340942383,task_balanced_minus_example,validation_accuracy,31
rotating__example_uniform__carry,rotating__task_uniform__carry,-0.590360164642334,task_balanced_minus_example,validation_accuracy,31
rotating__example_uniform__reset_each_stage,rotating__task_uniform__reset_each_stage,1.3119101524353027,task_balanced_minus_example,validation_accuracy,31
static__example_uniform__carry,static__example_uniform__reset_each_stage,0.16399025917053223,reset_minus_carried_adam,validation_accuracy,31
static__task_uniform__carry,static__task_uniform__reset_each_stage,-0.819939374923706,reset_minus_carried_adam,validation_accuracy,31
rotating__example_uniform__carry,rotating__example_uniform__reset_each_stage,-2.5582194328308105,reset_minus_carried_adam,validation_accuracy,31
rotating__task_uniform__carry,rotating__task_uniform__reset_each_stage,-0.6559491157531738,reset_minus_carried_adam,validation_accuracy,31
static__example_uniform__carry,rotating__example_uniform__carry,0.8909881114959717,rotating_minus_fixed,test_accuracy,31
static__example_uniform__reset_each_stage,rotating__example_uniform__reset_each_stage,-0.13102293014526367,rotating_minus_fixed,test_accuracy,31
static__task_uniform__carry,rotating__task_uniform__carry,0.6027281284332275,rotating_minus_fixed,test_accuracy,31
static__task_uniform__reset_each_stage,rotating__task_uniform__reset_each_stage,0.3144681453704834,rotating_minus_fixed,test_accuracy,31
static__example_uniform__carry,static__task_uniform__carry,0.23584961891174316,task_balanced_minus_example,test_accuracy,31
static__example_uniform__reset_each_stage,static__task_uniform__reset_each_stage,0.0,task_balanced_minus_example,test_accuracy,31
rotating__example_uniform__carry,rotating__task_uniform__carry,-0.05241036415100098,task_balanced_minus_example,test_accuracy,31
rotating__example_uniform__reset_each_stage,rotating__task_uniform__reset_each_stage,0.44549107551574707,task_balanced_minus_example,test_accuracy,31
static__example_uniform__carry,static__example_uniform__reset_each_stage,0.05241036415100098,reset_minus_carried_adam,test_accuracy,31
