accuracy,condition,partition,stage,task
97.11285829544067,static__example_uniform__carry,fit_population,31,1
97.94520735740662,static__example_uniform__carry,fit_population,31,10
96.20253443717957,static__example_uniform__carry,fit_population,31,11
96.19565010070801,static__example_uniform__carry,fit_population,31,12
98.28850626945496,static__example_uniform__carry,fit_population,31,13
98.33333492279053,static__example_uniform__carry,fit_population,31,14
98.11828136444092,static__example_uniform__carry,fit_population,31,15
96.45389914512634,static__example_uniform__carry,fit_population,31,16
95.48872113227844,static__example_uniform__carry,fit_population,31,17
96.74556255340576,static__example_uniform__carry,fit_population,31,18
95.08670568466187,static__example_uniform__carry,fit_population,31,19
97.57281541824341,static__example_uniform__carry,fit_population,31,2
96.60493731498718,static__example_uniform__carry,fit_population,31,20
95.46436071395874,static__example_uniform__carry,fit_population,31,21
97.13541865348816,static__example_uniform__carry,fit_population,31,22
95.72192430496216,static__example_uniform__carry,fit_population,31,23
95.9854006767273,static__example_uniform__carry,fit_population,31,24
96.60193920135498,static__example_uniform__carry,fit_population,31,25
95.43147087097168,static__example_uniform__carry,fit_population,31,26
96.1002767086029,static__example_uniform__carry,fit_population,31,27
97.5232183933258,static__example_uniform__carry,fit_population,31,28
95.8791196346283,static__example_uniform__carry,fit_population,31,29
97.8678047657013,static__example_uniform__carry,fit_population,31,3
96.78832292556763,static__example_uniform__carry,fit_population,31,30
97.2752034664154,static__example_uniform__carry,fit_population,31,31
97.16814160346985,static__example_uniform__carry,fit_population,31,4
97.09442853927612,static__example_uniform__carry,fit_population,31,5
97.15762138366699,static__example_uniform__carry,fit_population,31,6
97.01896905899048,static__example_uniform__carry,fit_population,31,7
96.72897458076477,static__example_uniform__carry,fit_population,31,8
97.16981053352356,static__example_uniform__carry,fit_population,31,9
87.2340440750122,static__example_uniform__carry,validation,31,1
83.48624110221863,static__example_uniform__carry,validation,31,10
78.48101258277893,static__example_uniform__carry,validation,31,11
82.79569745063782,static__example_uniform__carry,validation,31,12
85.29411554336548,static__example_uniform__carry,validation,31,13
88.67924809455872,static__example_uniform__carry,validation,31,14
82.79569745063782,static__example_uniform__carry,validation,31,15
80.1886796951294,static__example_uniform__carry,validation,31,16
70.70707082748413,static__example_uniform__carry,validation,31,17
75.29411911964417,static__example_uniform__carry,validation,31,18
77.01149582862854,static__example_uniform__carry,validation,31,19
81.3725471496582,static__example_uniform__carry,validation,31,2
74.39024448394775,static__example_uniform__carry,validation,31,20
74.13793206214905,static__example_uniform__carry,validation,31,21
70.83333134651184,static__example_uniform__carry,validation,31,22
71.27659320831299,static__example_uniform__carry,validation,31,23
64.28571343421936,static__example_uniform__carry,validation,31,24
71.69811129570007,static__example_uniform__carry,validation,31,25
75.75757503509521,static__example_uniform__carry,validation,31,26
70.32967209815979,static__example_uniform__carry,validation,31,27
80.24691343307495,static__example_uniform__carry,validation,31,28
80.4347813129425,static__example_uniform__carry,validation,31,29
86.32478713989258,static__example_uniform__carry,validation,31,3
80.70175647735596,static__example_uniform__carry,validation,31,30
83.51648449897766,static__example_uniform__carry,validation,31,31
85.61151027679443,static__example_uniform__carry,validation,31,4
76.69903039932251,static__example_uniform__carry,validation,31,5
86.3157868385315,static__example_uniform__carry,validation,31,6
83.69565010070801,static__example_uniform__carry,validation,31,7
86.91588640213013,static__example_uniform__carry,validation,31,8
80.0000011920929,static__example_uniform__carry,validation,31,9
97.9002594947815,static__example_uniform__reset_each_stage,fit_population,31,1
98.63013625144958,static__example_uniform__reset_each_stage,fit_population,31,10
96.83544039726257,static__example_uniform__reset_each_stage,fit_population,31,11
98.6413061618805,static__example_uniform__reset_each_stage,fit_population,31,12
97.79950976371765,static__example_uniform__reset_each_stage,fit_population,31,13
98.57142567634583,static__example_uniform__reset_each_stage,fit_population,31,14
98.65591526031494,static__example_uniform__reset_each_stage,fit_population,31,15
98.58155846595764,static__example_uniform__reset_each_stage,fit_population,31,16
96.74185514450073,static__example_uniform__reset_each_stage,fit_population,31,17
94.97041702270508,static__example_uniform__reset_each_stage,fit_population,31,18
94.50867176055908,static__example_uniform__reset_each_stage,fit_population,31,19
99.27184581756592,static__example_uniform__reset_each_stage,fit_population,31,2
96.91358208656311,static__example_uniform__reset_each_stage,fit_population,31,20
94.6004331111908,static__example_uniform__reset_each_stage,fit_population,31,21
95.83333134651184,static__example_uniform__reset_each_stage,fit_population,31,22
92.78075098991394,static__example_uniform__reset_each_stage,fit_population,31,23
95.25547623634338,static__example_uniform__reset_each_stage,fit_population,31,24
96.11650705337524,static__example_uniform__reset_each_stage,fit_population,31,25
95.93908786773682,static__example_uniform__reset_each_stage,fit_population,31,26
96.37883305549622,static__example_uniform__reset_each_stage,fit_population,31,27
97.5232183933258,static__example_uniform__reset_each_stage,fit_population,31,28
94.7802186012268,static__example_uniform__reset_each_stage,fit_population,31,29
99.36034083366394,static__example_uniform__reset_each_stage,fit_population,31,3
95.32846808433533,static__example_uniform__reset_each_stage,fit_population,31,30
94.27793025970459,static__example_uniform__reset_each_stage,fit_population,31,31
99.46902394294739,static__example_uniform__reset_each_stage,fit_population,31,4
98.0629563331604,static__example_uniform__reset_each_stage,fit_population,31,5
98.9664077758789,static__example_uniform__reset_each_stage,fit_population,31,6
98.10298085212708,static__example_uniform__reset_each_stage,fit_population,31,7
