policy_hash,merge_id,parent_logical_node_id,sequence,stage,functional_collapsed_kl,functional_exact_rank,functional_lse_mse,functional_mean_mass_error,functional_output_rank,functional_p95_mass_error,functional_retained_parameter_energy,parameter_collapsed_kl,parameter_exact_rank,parameter_lse_mse,parameter_mean_mass_error,parameter_output_rank,parameter_p95_mass_error,parameter_retained_parameter_energy
2646c543262c2dc783b796908c87cf30d4c3a1532fcfffe589a7a3f35c0037ea,44d028ca23fe77e66ec25cbe3b5f0c6cd7a4b1c8379cbb1e0ff6abf744538d62,3ca997a4bbcae83853c85f02fc4019ae2eaf8ddfa419812f3108f277bfdc2498,0,3,0.9132183353169983,8,39.09811072212163,0.2492146027798566,8,0.9569156751537011,1.0,,16.0,,,8.0,,0.6747634874656737
2646c543262c2dc783b796908c87cf30d4c3a1532fcfffe589a7a3f35c0037ea,66d61c142092e5f6ca60abb91288a3dd2800fddc9a871e341efc6f76e6a9c021,1a1711a58e47f0ff2b0793a9de92df68c7ace295dd2e6596d0e2cbdcf0f4b851,1,5,2.575212498546631,8,125.63527574093655,0.4565279176882226,8,0.9984481454314177,1.0,,16.0,,,8.0,,0.6758435279395631
2646c543262c2dc783b796908c87cf30d4c3a1532fcfffe589a7a3f35c0037ea,88fe99b3bb0cd8ad328dc2465842b102accec1e7deffc5c9db4c1027141ce6b3,d50ca7da388f181a59ced398d54cc71f04f0d9bb55c4fe87be029ddb35a85187,2,7,2.2151235260362028,8,108.24881732183734,0.4567621086897576,8,0.9969009718647445,1.0,,16.0,,,8.0,,0.682130659888119
2646c543262c2dc783b796908c87cf30d4c3a1532fcfffe589a7a3f35c0037ea,57aa2d8d57eb259bcd51dade057fb242f742a763b5b6b3f557f015a057d70aff,d550f131f5fb9ba2ff774ba03208a342ae79cf3c878e8771d449788c632a0601,3,7,0.40730002939919924,8,12.535036378276216,0.1728321451943774,8,0.7654622058867124,1.0,,16.0,,,8.0,,0.6901514500133547
3a2d7f54df55431f7272206494a4b7d7c007ef324f3f2c64c79945860c9b6d92,44d028ca23fe77e66ec25cbe3b5f0c6cd7a4b1c8379cbb1e0ff6abf744538d62,3ca997a4bbcae83853c85f02fc4019ae2eaf8ddfa419812f3108f277bfdc2498,0,3,4.005591212673797e-16,8,2.955273729900955e-14,4.087412027997445e-09,8,2.3763711287649855e-08,1.0,,,,,,,
3a2d7f54df55431f7272206494a4b7d7c007ef324f3f2c64c79945860c9b6d92,66d61c142092e5f6ca60abb91288a3dd2800fddc9a871e341efc6f76e6a9c021,1a1711a58e47f0ff2b0793a9de92df68c7ace295dd2e6596d0e2cbdcf0f4b851,1,5,1.3438440860321864e-15,8,4.954127334312001e-14,1.0423805373251319e-08,8,5.111105348398753e-08,1.0,,,,,,,
3a2d7f54df55431f7272206494a4b7d7c007ef324f3f2c64c79945860c9b6d92,88fe99b3bb0cd8ad328dc2465842b102accec1e7deffc5c9db4c1027141ce6b3,d50ca7da388f181a59ced398d54cc71f04f0d9bb55c4fe87be029ddb35a85187,2,7,1.6882859874425622e-15,8,5.172225096051501e-14,1.1320511459595712e-08,8,6.07317008849416e-08,1.0,,,,,,,
3a2d7f54df55431f7272206494a4b7d7c007ef324f3f2c64c79945860c9b6d92,57aa2d8d57eb259bcd51dade057fb242f742a763b5b6b3f557f015a057d70aff,d550f131f5fb9ba2ff774ba03208a342ae79cf3c878e8771d449788c632a0601,3,7,1.910206083793631e-15,8,6.28387373643201e-14,1.2773285322415736e-08,8,6.723456882073985e-08,1.0,,,,,,,
700d92d2724929f9a4bd75a9e7f8a5b8120cad88f6f58f1ac6d311d1ebb03858,44d028ca23fe77e66ec25cbe3b5f0c6cd7a4b1c8379cbb1e0ff6abf744538d62,3ca997a4bbcae83853c85f02fc4019ae2eaf8ddfa419812f3108f277bfdc2498,0,3,0.15547635871874207,8,9.616127878268035,0.09622085483830288,8,0.5485318770330627,1.0,,16.0,,,8.0,,0.674668630405941
700d92d2724929f9a4bd75a9e7f8a5b8120cad88f6f58f1ac6d311d1ebb03858,66d61c142092e5f6ca60abb91288a3dd2800fddc9a871e341efc6f76e6a9c021,1a1711a58e47f0ff2b0793a9de92df68c7ace295dd2e6596d0e2cbdcf0f4b851,1,5,0.2171654684636189,8,11.475648554516711,0.12987933157423423,8,0.6312491657989712,1.0,,16.0,,,8.0,,0.6697604741893565
700d92d2724929f9a4bd75a9e7f8a5b8120cad88f6f58f1ac6d311d1ebb03858,88fe99b3bb0cd8ad328dc2465842b102accec1e7deffc5c9db4c1027141ce6b3,d50ca7da388f181a59ced398d54cc71f04f0d9bb55c4fe87be029ddb35a85187,2,7,0.25920326129328425,8,9.148466822811688,0.13045774108246497,8,0.6206542549157528,1.0,,16.0,,,8.0,,0.6688207837870953
700d92d2724929f9a4bd75a9e7f8a5b8120cad88f6f58f1ac6d311d1ebb03858,57aa2d8d57eb259bcd51dade057fb242f742a763b5b6b3f557f015a057d70aff,d550f131f5fb9ba2ff774ba03208a342ae79cf3c878e8771d449788c632a0601,3,7,0.05825095486834424,8,1.7826162040430371,0.06865695794845851,8,0.32484399190337987,1.0,,16.0,,,8.0,,0.6963619938002237
7a939910978086182088898accb62347c804efc62faa865550d7a61353b63168,44d028ca23fe77e66ec25cbe3b5f0c6cd7a4b1c8379cbb1e0ff6abf744538d62,3ca997a4bbcae83853c85f02fc4019ae2eaf8ddfa419812f3108f277bfdc2498,0,3,3.940686812452742e-16,8,3.2082828830237293e-14,3.7296049985070415e-09,8,2.4717360370962726e-08,1.0,,,,,,,
7a939910978086182088898accb62347c804efc62faa865550d7a61353b63168,66d61c142092e5f6ca60abb91288a3dd2800fddc9a871e341efc6f76e6a9c021,1a1711a58e47f0ff2b0793a9de92df68c7ace295dd2e6596d0e2cbdcf0f4b851,1,5,1.3267303463472175e-15,8,4.6790302878526917e-14,9.26470510767063e-09,8,4.876236382456152e-08,1.0,,,,,,,
7a939910978086182088898accb62347c804efc62faa865550d7a61353b63168,88fe99b3bb0cd8ad328dc2465842b102accec1e7deffc5c9db4c1027141ce6b3,d50ca7da388f181a59ced398d54cc71f04f0d9bb55c4fe87be029ddb35a85187,2,7,1.7076412257770827e-15,8,7.630113359108533e-14,1.0517791948610472e-08,8,6.240454358263923e-08,1.0,,,,,,,
7a939910978086182088898accb62347c804efc62faa865550d7a61353b63168,57aa2d8d57eb259bcd51dade057fb242f742a763b5b6b3f557f015a057d70aff,d550f131f5fb9ba2ff774ba03208a342ae79cf3c878e8771d449788c632a0601,3,7,1.8604406614676195e-15,8,7.083977677001385e-14,1.0885612067382268e-08,8,5.351242162165967e-08,1.0,,,,,,,
94d22b021caf8d14d6004ec8dd93e1ab0b21a719ee5543c8c4b37542e1f4372e,44d028ca23fe77e66ec25cbe3b5f0c6cd7a4b1c8379cbb1e0ff6abf744538d62,3ca997a4bbcae83853c85f02fc4019ae2eaf8ddfa419812f3108f277bfdc2498,0,3,0.1145344408956287,8,6.449381413082257,0.07604150854133578,8,0.543201253818417,1.0,,,,,,,
94d22b021caf8d14d6004ec8dd93e1ab0b21a719ee5543c8c4b37542e1f4372e,66d61c142092e5f6ca60abb91288a3dd2800fddc9a871e341efc6f76e6a9c021,1a1711a58e47f0ff2b0793a9de92df68c7ace295dd2e6596d0e2cbdcf0f4b851,1,5,0.21756151614131677,8,7.510697104845382,0.1288110380891736,8,0.6452402912879407,1.0,,,,,,,
94d22b021caf8d14d6004ec8dd93e1ab0b21a719ee5543c8c4b37542e1f4372e,88fe99b3bb0cd8ad328dc2465842b102accec1e7deffc5c9db4c1027141ce6b3,d50ca7da388f181a59ced398d54cc71f04f0d9bb55c4fe87be029ddb35a85187,2,7,0.15763775210935202,8,6.749183590813378,0.09711367000831833,8,0.5161135985634754,1.0,,,,,,,
94d22b021caf8d14d6004ec8dd93e1ab0b21a719ee5543c8c4b37542e1f4372e,57aa2d8d57eb259bcd51dade057fb242f742a763b5b6b3f557f015a057d70aff,d550f131f5fb9ba2ff774ba03208a342ae79cf3c878e8771d449788c632a0601,3,7,0.06924719955635447,8,2.615858200657001,0.06793114950091653,8,0.3345704392055626,1.0,,,,,,,
ac5b78a0afe3918298eb4ab576ea4c164545f62d68fc08eeccfc1e3b6953ebc4,44d028ca23fe77e66ec25cbe3b5f0c6cd7a4b1c8379cbb1e0ff6abf744538d62,3ca997a4bbcae83853c85f02fc4019ae2eaf8ddfa419812f3108f277bfdc2498,0,3,0.46239161471687246,8,32.69407099167035,0.15504393583221823,8,0.8356078820830349,1.0,,16.0,,,8.0,,0.6748175955422735
ac5b78a0afe3918298eb4ab576ea4c164545f62d68fc08eeccfc1e3b6953ebc4,66d61c142092e5f6ca60abb91288a3dd2800fddc9a871e341efc6f76e6a9c021,1a1711a58e47f0ff2b0793a9de92df68c7ace295dd2e6596d0e2cbdcf0f4b851,1,5,1.50873399608751,8,123.97744309099934,0.3715101823137844,8,0.9941256465863645,1.0,,16.0,,,8.0,,0.684734637433057
ac5b78a0afe3918298eb4ab576ea4c164545f62d68fc08eeccfc1e3b6953ebc4,88fe99b3bb0cd8ad328dc2465842b102accec1e7deffc5c9db4c1027141ce6b3,d50ca7da388f181a59ced398d54cc71f04f0d9bb55c4fe87be029ddb35a85187,2,7,0.9664418629121966,8,37.2137817903236,0.28926904785976093,8,0.9298072476283635,1.0,,16.0,,,8.0,,0.6688556945856312
ac5b78a0afe3918298eb4ab576ea4c164545f62d68fc08eeccfc1e3b6953ebc4,57aa2d8d57eb259bcd51dade057fb242f742a763b5b6b3f557f015a057d70aff,d550f131f5fb9ba2ff774ba03208a342ae79cf3c878e8771d449788c632a0601,3,7,0.5118935520787473,8,13.120262240593874,0.2303477994543731,8,0.8090756074694004,1.0,,16.0,,,8.0,,0.7028172597100217
b0917f5783fef261a953ba8f3772b6ff6f6a970b13f44064e00b96f1ab1a0384,44d028ca23fe77e66ec25cbe3b5f0c6cd7a4b1c8379cbb1e0ff6abf744538d62,3ca997a4bbcae83853c85f02fc4019ae2eaf8ddfa419812f3108f277bfdc2498,0,3,0.18247917963646684,8,9.285129582026325,0.10998315285900148,8,0.5480901947624085,1.0,,16.0,,,8.0,,0.6747296435771873
b0917f5783fef261a953ba8f3772b6ff6f6a970b13f44064e00b96f1ab1a0384,66d61c142092e5f6ca60abb91288a3dd2800fddc9a871e341efc6f76e6a9c021,1a1711a58e47f0ff2b0793a9de92df68c7ace295dd2e6596d0e2cbdcf0f4b851,1,5,0.187659984222085,8,9.754417259511563,0.11576786281851907,8,0.5797936087319595,1.0,,16.0,,,8.0,,0.6703635778354278
b0917f5783fef261a953ba8f3772b6ff6f6a970b13f44064e00b96f1ab1a0384,88fe99b3bb0cd8ad328dc2465842b102accec1e7deffc5c9db4c1027141ce6b3,d50ca7da388f181a59ced398d54cc71f04f0d9bb55c4fe87be029ddb35a85187,2,7,0.2691706889937922,8,9.081162956780831,0.15057049956370006,8,0.6970819840442636,1.0,,16.0,,,8.0,,0.6727704578105975
b0917f5783fef261a953ba8f3772b6ff6f6a970b13f44064e00b96f1ab1a0384,57aa2d8d57eb259bcd51dade057fb242f742a763b5b6b3f557f015a057d70aff,d550f131f5fb9ba2ff774ba03208a342ae79cf3c878e8771d449788c632a0601,3,7,0.06521285996582454,8,2.129778496645155,0.06863571913969092,8,0.3124307367424256,1.0,,16.0,,,8.0,,0.7014683564513842
f104769edd920cbae131c4bee3abcd1625dfad2db76dc3bf8f642aa23d890825,44d028ca23fe77e66ec25cbe3b5f0c6cd7a4b1c8379cbb1e0ff6abf744538d62,3ca997a4bbcae83853c85f02fc4019ae2eaf8ddfa419812f3108f277bfdc2498,0,3,0.12221024716853633,8,6.40703281414542,0.07465130009919171,8,0.4683241066793048,1.0,,,,,,,
f104769edd920cbae131c4bee3abcd1625dfad2db76dc3bf8f642aa23d890825,66d61c142092e5f6ca60abb91288a3dd2800fddc9a871e341efc6f76e6a9c021,1a1711a58e47f0ff2b0793a9de92df68c7ace295dd2e6596d0e2cbdcf0f4b851,1,5,0.19997014996099513,8,6.699811921026679,0.12245714060599437,8,0.5886013398856244,1.0,,,,,,,
f104769edd920cbae131c4bee3abcd1625dfad2db76dc3bf8f642aa23d890825,88fe99b3bb0cd8ad328dc2465842b102accec1e7deffc5c9db4c1027141ce6b3,d50ca7da388f181a59ced398d54cc71f04f0d9bb55c4fe87be029ddb35a85187,2,7,0.1580527984618454,8,7.294298968335001,0.10001240606074709,8,0.5168136229248754,1.0,,,,,,,
