condition_id,inference_condition,architecture,maintenance,router_seed,split,stage,task,examples,routed_accuracy,oracle_accuracy,selection_accuracy
A0,I-U100,centroid,existing,1993,validation,50,0,94,76.59574468085107,94.68085106382979,81.91489361702128
A0,I-U100,centroid,existing,1993,validation,50,1,102,65.68627450980392,94.11764705882352,68.62745098039215
A0,I-U100,centroid,existing,1993,validation,50,2,117,69.23076923076923,98.29059829059828,70.94017094017094
A0,I-U100,centroid,existing,1993,validation,50,3,139,74.10071942446042,98.56115107913669,75.53956834532374
A0,I-U100,centroid,existing,1993,validation,50,4,103,63.10679611650486,92.23300970873787,67.96116504854369
A0,I-U100,centroid,existing,1993,validation,50,5,95,68.42105263157895,96.84210526315789,69.47368421052632
A0,I-U100,centroid,existing,1993,validation,50,6,92,69.56521739130434,100.0,69.56521739130434
A0,I-U100,centroid,existing,1993,validation,50,7,107,69.1588785046729,100.0,69.1588785046729
A0,I-U100,centroid,existing,1993,validation,50,8,105,71.42857142857143,98.09523809523809,71.42857142857143
A0,I-U100,centroid,existing,1993,validation,50,9,109,77.06422018348624,100.0,77.06422018348624
A0,I-U100,centroid,existing,1993,validation,50,10,79,60.75949367088608,93.67088607594937,62.0253164556962
A0,I-U100,centroid,existing,1993,validation,50,11,93,68.81720430107528,98.9247311827957,68.81720430107528
A0,I-U100,centroid,existing,1993,validation,50,12,102,76.47058823529412,99.01960784313727,77.45098039215686
A0,I-U100,centroid,existing,1993,validation,50,13,106,74.52830188679245,100.0,74.52830188679245
A0,I-U100,centroid,existing,1993,validation,50,14,93,72.04301075268818,94.6236559139785,77.41935483870968
A0,I-U100,centroid,existing,1993,validation,50,15,106,66.0377358490566,93.39622641509435,68.86792452830188
A0,I-U100,centroid,existing,1993,validation,50,16,99,58.58585858585859,96.96969696969697,59.59595959595959
A0,I-U100,centroid,existing,1993,validation,50,17,85,62.35294117647059,95.29411764705881,64.70588235294117
A0,I-U100,centroid,existing,1993,validation,50,18,87,73.5632183908046,98.85057471264368,73.5632183908046
A0,I-U100,centroid,existing,1993,validation,50,19,82,73.17073170731707,100.0,73.17073170731707
A0,I-U100,centroid,existing,1993,validation,50,20,116,62.93103448275862,94.82758620689656,64.65517241379311
A0,I-U100,centroid,existing,1993,validation,50,21,96,65.625,97.91666666666666,65.625
A0,I-U100,centroid,existing,1993,validation,50,22,94,55.319148936170215,93.61702127659575,57.446808510638306
A0,I-U100,centroid,existing,1993,validation,50,23,70,50.0,98.57142857142858,51.42857142857142
A0,I-U100,centroid,existing,1993,validation,50,24,53,66.0377358490566,98.11320754716981,66.0377358490566
A0,I-U100,centroid,existing,1993,validation,50,25,99,68.68686868686868,98.98989898989899,68.68686868686868
A0,I-U100,centroid,existing,1993,validation,50,26,91,70.32967032967034,95.6043956043956,71.42857142857143
A0,I-U100,centroid,existing,1993,validation,50,27,81,72.8395061728395,97.53086419753086,72.8395061728395
A0,I-U100,centroid,existing,1993,validation,50,28,92,59.78260869565217,98.91304347826086,60.86956521739131
A0,I-U100,centroid,existing,1993,validation,50,29,171,63.1578947368421,98.24561403508771,63.1578947368421
A0,I-U100,centroid,existing,1993,validation,50,30,91,69.23076923076923,98.9010989010989,70.32967032967034
A0,I-U100,centroid,existing,1993,validation,50,31,82,56.09756097560976,97.5609756097561,56.09756097560976
A0,I-U100,centroid,existing,1993,validation,50,32,89,70.78651685393258,100.0,70.78651685393258
A0,I-U100,centroid,existing,1993,validation,50,33,57,64.91228070175438,96.49122807017544,66.66666666666666
A0,I-U100,centroid,existing,1993,validation,50,34,112,58.92857142857143,98.21428571428571,58.92857142857143
A0,I-U100,centroid,existing,1993,validation,50,35,123,71.54471544715447,100.0,71.54471544715447
A0,I-U100,centroid,existing,1993,validation,50,36,126,58.730158730158735,96.82539682539682,59.523809523809526
A0,I-U100,centroid,existing,1993,validation,50,37,114,62.28070175438597,96.49122807017544,64.03508771929825
A0,I-U100,centroid,existing,1993,validation,50,38,92,60.86956521739131,97.82608695652173,60.86956521739131
A0,I-U100,centroid,existing,1993,validation,50,39,110,54.54545454545454,97.27272727272728,54.54545454545454
A0,I-U100,centroid,existing,1993,validation,50,40,60,48.333333333333336,98.33333333333333,48.333333333333336
A0,I-U100,centroid,existing,1993,validation,50,41,109,45.87155963302752,100.0,45.87155963302752
A0,I-U100,centroid,existing,1993,validation,50,42,76,68.42105263157895,100.0,68.42105263157895
A0,I-U100,centroid,existing,1993,validation,50,43,58,58.620689655172406,98.27586206896551,58.620689655172406
A0,I-U100,centroid,existing,1993,validation,50,44,85,68.23529411764706,100.0,68.23529411764706
A0,I-U100,centroid,existing,1993,validation,50,45,102,36.27450980392157,97.05882352941177,36.27450980392157
A0,I-U100,centroid,existing,1993,validation,50,46,91,61.53846153846154,97.8021978021978,61.53846153846154
A0,I-U100,centroid,existing,1993,validation,50,47,91,54.94505494505495,98.9010989010989,54.94505494505495
A0,I-U100,centroid,existing,1993,validation,50,48,85,45.88235294117647,96.47058823529412,45.88235294117647
A0,I-U100,centroid,existing,1993,validation,50,49,89,75.28089887640449,100.0,75.28089887640449
A1,I-U100,r0,flat_full,1993,validation,50,0,94,61.702127659574465,94.68085106382979,67.02127659574468
A1,I-U100,r0,flat_full,1993,validation,50,1,102,60.78431372549019,94.11764705882352,65.68627450980392
A1,I-U100,r0,flat_full,1993,validation,50,2,117,65.8119658119658,98.29059829059828,66.66666666666666
A1,I-U100,r0,flat_full,1993,validation,50,3,139,71.94244604316546,98.56115107913669,72.66187050359713
A1,I-U100,r0,flat_full,1993,validation,50,4,103,64.07766990291263,92.23300970873787,66.99029126213593
