accuracy,condition,score_mode,stage,task
95.76271176338196,logt_retrain_union_r16,raw,1,0
95.76271176338196,logt_retrain_union_r16,cosine,1,0
95.76271176338196,logt_retrain_union_r16,affine_calibrated,1,0
95.76271176338196,logt_retrain_union_r16,true_node_oracle,1,0
95.76271176338196,logt_retrain_union_r16,centroid_router,1,0
86.44067645072937,logt_retrain_union_r16,raw,2,0
69.2307710647583,logt_retrain_union_r16,raw,2,1
86.44067645072937,logt_retrain_union_r16,cosine,2,0
69.9999988079071,logt_retrain_union_r16,cosine,2,1
69.4915235042572,logt_retrain_union_r16,affine_calibrated,2,0
89.2307698726654,logt_retrain_union_r16,affine_calibrated,2,1
95.76271176338196,logt_retrain_union_r16,true_node_oracle,2,0
90.76923131942749,logt_retrain_union_r16,true_node_oracle,2,1
88.98305296897888,logt_retrain_union_r16,centroid_router,2,0
83.84615182876587,logt_retrain_union_r16,centroid_router,2,1
89.83050584793091,logt_retrain_union_r16,raw,3,0
87.69230842590332,logt_retrain_union_r16,raw,3,1
75.34246444702148,logt_retrain_union_r16,raw,3,2
87.28813529014587,logt_retrain_union_r16,cosine,3,0
87.69230842590332,logt_retrain_union_r16,cosine,3,1
73.97260069847107,logt_retrain_union_r16,cosine,3,2
88.13559412956238,logt_retrain_union_r16,affine_calibrated,3,0
85.38461327552795,logt_retrain_union_r16,affine_calibrated,3,1
79.45205569267273,logt_retrain_union_r16,affine_calibrated,3,2
90.67796468734741,logt_retrain_union_r16,true_node_oracle,3,0
89.2307698726654,logt_retrain_union_r16,true_node_oracle,3,1
90.41095972061157,logt_retrain_union_r16,true_node_oracle,3,2
87.28813529014587,logt_retrain_union_r16,centroid_router,3,0
85.38461327552795,logt_retrain_union_r16,centroid_router,3,1
70.54794430732727,logt_retrain_union_r16,centroid_router,3,2
85.59321761131287,logt_retrain_union_r16,raw,4,0
83.07692408561707,logt_retrain_union_r16,raw,4,1
73.2876718044281,logt_retrain_union_r16,raw,4,2
82.38636255264282,logt_retrain_union_r16,raw,4,3
83.89830589294434,logt_retrain_union_r16,cosine,4,0
83.84615182876587,logt_retrain_union_r16,cosine,4,1
71.23287916183472,logt_retrain_union_r16,cosine,4,2
84.65909361839294,logt_retrain_union_r16,cosine,4,3
81.35592937469482,logt_retrain_union_r16,affine_calibrated,4,0
80.0000011920929,logt_retrain_union_r16,affine_calibrated,4,1
77.39726305007935,logt_retrain_union_r16,affine_calibrated,4,2
85.79545617103577,logt_retrain_union_r16,affine_calibrated,4,3
90.67796468734741,logt_retrain_union_r16,true_node_oracle,4,0
89.2307698726654,logt_retrain_union_r16,true_node_oracle,4,1
90.41095972061157,logt_retrain_union_r16,true_node_oracle,4,2
91.47727489471436,logt_retrain_union_r16,true_node_oracle,4,3
79.6610176563263,logt_retrain_union_r16,centroid_router,4,0
81.53846263885498,logt_retrain_union_r16,centroid_router,4,1
67.80821681022644,logt_retrain_union_r16,centroid_router,4,2
84.09090638160706,logt_retrain_union_r16,centroid_router,4,3
69.4915235042572,logt_retrain_union_r16,raw,5,0
65.38461446762085,logt_retrain_union_r16,raw,5,1
66.4383590221405,logt_retrain_union_r16,raw,5,2
64.20454382896423,logt_retrain_union_r16,raw,5,3
89.0625,logt_retrain_union_r16,raw,5,4
73.72881174087524,logt_retrain_union_r16,cosine,5,0
71.53846025466919,logt_retrain_union_r16,cosine,5,1
60.95890402793884,logt_retrain_union_r16,cosine,5,2
67.61363744735718,logt_retrain_union_r16,cosine,5,3
88.28125,logt_retrain_union_r16,cosine,5,4
71.18644118309021,logt_retrain_union_r16,affine_calibrated,5,0
64.61538672447205,logt_retrain_union_r16,affine_calibrated,5,1
70.54794430732727,logt_retrain_union_r16,affine_calibrated,5,2
69.88636255264282,logt_retrain_union_r16,affine_calibrated,5,3
88.28125,logt_retrain_union_r16,affine_calibrated,5,4
90.67796468734741,logt_retrain_union_r16,true_node_oracle,5,0
89.2307698726654,logt_retrain_union_r16,true_node_oracle,5,1
82.87671208381653,logt_retrain_union_r16,true_node_oracle,5,2
90.90909361839294,logt_retrain_union_r16,true_node_oracle,5,3
92.96875,logt_retrain_union_r16,true_node_oracle,5,4
79.6610176563263,logt_retrain_union_r16,centroid_router,5,0
78.46153974533081,logt_retrain_union_r16,centroid_router,5,1
73.2876718044281,logt_retrain_union_r16,centroid_router,5,2
82.95454382896423,logt_retrain_union_r16,centroid_router,5,3
64.0625,logt_retrain_union_r16,centroid_router,5,4
69.4915235042572,logt_retrain_union_r16,raw,6,0
65.38461446762085,logt_retrain_union_r16,raw,6,1
65.75342416763306,logt_retrain_union_r16,raw,6,2
63.63636255264282,logt_retrain_union_r16,raw,6,3
89.0625,logt_retrain_union_r16,raw,6,4
70.83333134651184,logt_retrain_union_r16,raw,6,5
72.88135886192322,logt_retrain_union_r16,cosine,6,0
70.76923251152039,logt_retrain_union_r16,cosine,6,1
57.534247636795044,logt_retrain_union_r16,cosine,6,2
65.34090638160706,logt_retrain_union_r16,cosine,6,3
85.15625,logt_retrain_union_r16,cosine,6,4
75.0,logt_retrain_union_r16,cosine,6,5
68.64407062530518,logt_retrain_union_r16,affine_calibrated,6,0
63.07692527770996,logt_retrain_union_r16,affine_calibrated,6,1
69.8630154132843,logt_retrain_union_r16,affine_calibrated,6,2
68.75,logt_retrain_union_r16,affine_calibrated,6,3
84.375,logt_retrain_union_r16,affine_calibrated,6,4
80.83333373069763,logt_retrain_union_r16,affine_calibrated,6,5
90.67796468734741,logt_retrain_union_r16,true_node_oracle,6,0
89.2307698726654,logt_retrain_union_r16,true_node_oracle,6,1
82.87671208381653,logt_retrain_union_r16,true_node_oracle,6,2
90.90909361839294,logt_retrain_union_r16,true_node_oracle,6,3
92.96875,logt_retrain_union_r16,true_node_oracle,6,4
90.83333611488342,logt_retrain_union_r16,true_node_oracle,6,5
78.81355881690979,logt_retrain_union_r16,centroid_router,6,0
77.69230604171753,logt_retrain_union_r16,centroid_router,6,1
70.54794430732727,logt_retrain_union_r16,centroid_router,6,2
80.68181872367859,logt_retrain_union_r16,centroid_router,6,3
64.0625,logt_retrain_union_r16,centroid_router,6,4
70.83333134651184,logt_retrain_union_r16,centroid_router,6,5
83.05084705352783,logt_retrain_union_r16,raw,7,0
73.07692170143127,logt_retrain_union_r16,raw,7,1
78.08219194412231,logt_retrain_union_r16,raw,7,2
78.40909361839294,logt_retrain_union_r16,raw,7,3
85.15625,logt_retrain_union_r16,raw,7,4
79.16666865348816,logt_retrain_union_r16,raw,7,5
65.21739363670349,logt_retrain_union_r16,raw,7,6
81.35592937469482,logt_retrain_union_r16,cosine,7,0
73.84615540504456,logt_retrain_union_r16,cosine,7,1
68.49315166473389,logt_retrain_union_r16,cosine,7,2
75.56818127632141,logt_retrain_union_r16,cosine,7,3
82.03125,logt_retrain_union_r16,cosine,7,4
82.4999988079071,logt_retrain_union_r16,cosine,7,5
72.1739113330841,logt_retrain_union_r16,cosine,7,6
76.27118825912476,logt_retrain_union_r16,affine_calibrated,7,0
62.30769157409668,logt_retrain_union_r16,affine_calibrated,7,1
64.38356041908264,logt_retrain_union_r16,affine_calibrated,7,2
59.659093618392944,logt_retrain_union_r16,affine_calibrated,7,3
80.46875,logt_retrain_union_r16,affine_calibrated,7,4
74.16666746139526,logt_retrain_union_r16,affine_calibrated,7,5
84.3478262424469,logt_retrain_union_r16,affine_calibrated,7,6
90.67796468734741,logt_retrain_union_r16,true_node_oracle,7,0
83.84615182876587,logt_retrain_union_r16,true_node_oracle,7,1
84.93150472640991,logt_retrain_union_r16,true_node_oracle,7,2
87.5,logt_retrain_union_r16,true_node_oracle,7,3
92.96875,logt_retrain_union_r16,true_node_oracle,7,4
83.33333134651184,logt_retrain_union_r16,true_node_oracle,7,5
93.04347634315491,logt_retrain_union_r16,true_node_oracle,7,6
88.13559412956238,logt_retrain_union_r16,centroid_router,7,0
78.46153974533081,logt_retrain_union_r16,centroid_router,7,1
78.08219194412231,logt_retrain_union_r16,centroid_router,7,2
83.52272510528564,logt_retrain_union_r16,centroid_router,7,3
67.1875,logt_retrain_union_r16,centroid_router,7,4
70.83333134651184,logt_retrain_union_r16,centroid_router,7,5
67.8260862827301,logt_retrain_union_r16,centroid_router,7,6
82.20338821411133,logt_retrain_union_r16,raw,8,0
72.30769395828247,logt_retrain_union_r16,raw,8,1
76.7123281955719,logt_retrain_union_r16,raw,8,2
77.84090638160706,logt_retrain_union_r16,raw,8,3
84.375,logt_retrain_union_r16,raw,8,4
76.66666507720947,logt_retrain_union_r16,raw,8,5
63.4782612323761,logt_retrain_union_r16,raw,8,6
84.21052694320679,logt_retrain_union_r16,raw,8,7
77.96609997749329,logt_retrain_union_r16,cosine,8,0
72.30769395828247,logt_retrain_union_r16,cosine,8,1
65.75342416763306,logt_retrain_union_r16,cosine,8,2
75.0,logt_retrain_union_r16,cosine,8,3
78.90625,logt_retrain_union_r16,cosine,8,4
79.16666865348816,logt_retrain_union_r16,cosine,8,5
68.6956524848938,logt_retrain_union_r16,cosine,8,6
90.2255654335022,logt_retrain_union_r16,cosine,8,7
72.88135886192322,logt_retrain_union_r16,affine_calibrated,8,0
60.769230127334595,logt_retrain_union_r16,affine_calibrated,8,1
61.64383292198181,logt_retrain_union_r16,affine_calibrated,8,2
59.659093618392944,logt_retrain_union_r16,affine_calibrated,8,3
79.6875,logt_retrain_union_r16,affine_calibrated,8,4
75.0,logt_retrain_union_r16,affine_calibrated,8,5
80.0000011920929,logt_retrain_union_r16,affine_calibrated,8,6
87.96992301940918,logt_retrain_union_r16,affine_calibrated,8,7
90.67796468734741,logt_retrain_union_r16,true_node_oracle,8,0
83.84615182876587,logt_retrain_union_r16,true_node_oracle,8,1
84.93150472640991,logt_retrain_union_r16,true_node_oracle,8,2
87.5,logt_retrain_union_r16,true_node_oracle,8,3
92.96875,logt_retrain_union_r16,true_node_oracle,8,4
