job,capacity,profile,historical_fraction,interval_unit,completed_stages,selected,screen_accuracy,screen_nll,full_mean_accuracy,full_mean_nll,presentations,optimizer_steps,training_wall_seconds,evaluation_wall_seconds,result_hash
h1024_relaxed_rho20_unit1,1024,relaxed,0.2,1,16,False,85.75676977656913,0.5819692735399863,,,84320,1340,232.80639539286494,28.745382448658347,87557243c1f09012e5143c6bdeaf302fee968c3b15e98b937c94c2557368bb15
h1024_relaxed_rho20_unit8,1024,relaxed,0.2,8,16,False,86.32272471024415,0.875283740326969,,,84320,3258,286.4974508937448,30.658128501847386,757efae7ed7be5ff22e160bdaadbaaeb9fc19352d25f49406fe071c38543cf25
h1024_relaxed_rho50_unit1,1024,relaxed,0.5,1,16,False,85.62685415228857,0.6069851416038368,,,84320,1340,237.540900407359,29.298727087676525,76bf5eb30ee99d97ddcc2554b7f8b47f1d5852daea8b2e57c0acdd10209676bd
h1024_relaxed_rho50_unit8,1024,relaxed,0.5,8,16,False,85.92937351022121,0.8959523556848769,,,84320,3057,282.32993768155575,30.567364199087024,0c6f4a0e2ea9181aac1a87eecd99894fcc3291d551011f950dea4a30ce2045cb
h1024_relaxed_rho80_unit1,1024,relaxed,0.8,1,16,False,86.2950258140167,0.5739142024190511,,,84320,1340,237.71888954378664,29.204733273014426,c0fb4029dfd92182f9ee81d5e35507910838a61671e15a9e722e31acee70f9ba
h1024_relaxed_rho80_unit8,1024,relaxed,0.8,8,16,False,86.20702580436665,0.8784669334301085,,,84320,2897,272.439578788355,30.09376191906631,5ceb0faa63f6c9acf923d3e31bf5dfb079a52c16c249b5aa5a16c77e5c57b9d5
h1024_standard_rho20_unit1,1024,standard,0.2,1,16,False,84.97273238875388,0.5814191441874996,,,84320,1339,236.07348181307316,29.719320755451918,75ef2c836826c55a0c9bb61e56c5dc2d360850dee752020f6a41ee93fc64f35b
h1024_standard_rho20_unit8,1024,standard,0.2,8,16,False,86.57778398198253,0.610374985264875,,,84320,2542,267.31429462507367,30.52148323506117,aa85655c4194464d4f80fcade95baf64ddfdab6ae650cfb03491fb4a3cfe8472
h1024_standard_rho50_unit1,1024,standard,0.5,1,16,False,85.60410704081949,0.5634265025526279,,,84320,1339,238.15423227660358,29.610721245408058,eb50c713d64b6a332efcfed4dc20b50a7f2bd014d72444ae2fea0d07077c5cc5
h1024_standard_rho50_unit8,1024,standard,0.5,8,50,False,87.32515992992862,0.5917725264802532,82.47469715249503,0.7801123990504258,274008,5651,835.901234569028,282.1484025735408,63f8010b8cbc136246629972368d7dfb011721f0f342583430d309de53bc3b5e
h1024_standard_rho80_unit1,1024,standard,0.8,1,16,False,86.77590941089613,0.5486393018682351,,,84320,1339,242.67795274034142,30.2525933124125,abef5446ae1c86178052ab3cef3be7ef935acd51ce1504c28578a0681ab0224a
h1024_standard_rho80_unit8,1024,standard,0.8,8,50,True,87.44184239814557,0.5872501421542113,82.59285131718293,0.7758519677104005,274008,5730,809.7790073566139,271.9550079368055,2b3c87465e684b38b5b80f93b6942eb32a1431338f5cca5e96e892d6d602f1ea
h1024_strict_rho20_unit1,1024,strict,0.2,1,16,False,84.72099559342237,0.6005034950990001,,,84320,1335,237.05496626347303,30.12066991440952,e44c9a3d215b8038d7e6060c61a5c83c89753b5c00d022378b2e3ac0d2297899
h1024_strict_rho20_unit8,1024,strict,0.2,8,16,False,86.76786517240747,0.5809549353428377,,,84320,1935,251.32394565083086,29.718023013323545,e876acc7c8ec9270933a088286dc7ac1342e9e39e2ba789dd950602f6d34d8c3
h1024_strict_rho50_unit1,1024,strict,0.5,1,16,False,85.73171749545045,0.5661048934318855,,,84320,1335,236.3244205135852,29.47327471897006,de6b088e2d9aa9eef3dac4d8df502bb29cb60f3f2eae5e6cf648709ec6a4125b
h1024_strict_rho50_unit8,1024,strict,0.5,8,16,False,86.18316737553307,0.5860450705685136,,,84320,1972,250.69086164794862,29.999632254242897,a4f3633ea2aad5e17ca0e40ef9d1cacd60903eb2404baaff1758f3643291957f
h1024_strict_rho80_unit1,1024,strict,0.8,1,16,False,87.08965823239232,0.530783133386736,,,84320,1335,240.23192636296153,29.707708440721035,cd715426a8271da36402f41119312d91d08a962619eac57cb00b852b7b9f23c0
h1024_strict_rho80_unit8,1024,strict,0.8,8,16,False,86.74323750255324,0.5803349405173536,,,84320,1949,250.79516133107245,29.97056472301483,bd6cb5eff8a77c6969c5fdb49f99ea501b343f95611a0d9dbd82c762e9266b7e
h4096_relaxed_rho20_unit1,4096,relaxed,0.2,1,16,False,84.91745231281465,0.7094855854156504,,,202272,11398,810.5619212854654,29.87482705153525,d2b5c63e9ea9a893f9b1d8c22936cd82907411433aa3fe2ad96661bc550dd474
h4096_relaxed_rho20_unit8,4096,relaxed,0.2,8,16,False,82.92692369353492,1.1194398369400165,,,202272,40745,1800.0562805868685,30.38705885782838,b627636704e215bdb8f7545593dbe1aed6ed2c2183602874a623642b827c944b
h4096_relaxed_rho50_unit1,4096,relaxed,0.5,1,16,False,84.46239632341776,0.7235513461900542,,,202272,12622,844.9994017090648,29.999689461663365,244c86dc8f04bc3e6e244d05606bfd8594fcadba6997be5c5b4912fffdd580d7
h4096_relaxed_rho50_unit8,4096,relaxed,0.5,8,16,False,82.95042618130742,1.1472175997839233,,,202272,40691,1657.486734431237,30.821637192741036,da1bc37a7adf5cbf64d5f26868ca899a507d7ed9d55a1b3f55b688cedda07b00
h4096_relaxed_rho80_unit1,4096,relaxed,0.8,1,16,False,85.07054266123068,0.6848945492750735,,,202272,12424,794.4132649470121,31.531644195318222,0e019ead096c92be9acd6faf1fce3fd1c8ef5f96c5ec19424f98064d66388fde
h4096_relaxed_rho80_unit8,4096,relaxed,0.8,8,16,False,82.94600469471392,1.1365339329362638,,,202272,40297,1689.9913752246648,32.479095458984375,8e85f0da7264074893d93932ed68d496936ba2a2c2f84f6a5bafabc7d2122de7
h4096_standard_rho20_unit1,4096,standard,0.2,1,16,False,84.76030941949381,0.6494605039774077,,,202272,4062,581.2275322638452,31.111690275371075,60566efe42403ec612daca90cecde86dceef4f56b59886afd93260f04d75d387
h4096_standard_rho20_unit8,4096,standard,0.2,8,16,False,84.45546451995246,0.7910681640278585,,,202272,29616,1328.2689368408173,31.387608896940947,dd27c4ad4a031a1e51b1623ae9196014b9a00fe7b9cb4712470bc49b351cd03e
h4096_standard_rho50_unit1,4096,standard,0.5,1,16,False,85.2223267981961,0.6253666429466563,,,202272,4222,581.7100462988019,32.5598997361958,e273bb3e8f47e89e1a56656f92de9637ea64b46a25df1c32529359008e4ddfd7
h4096_standard_rho50_unit8,4096,standard,0.5,8,16,False,85.38200675181798,0.770785536458624,,,202272,30403,1312.9296285565943,31.92478657141328,4559558d752328a791cced58710228b1409afc9eb5827645e379a49d412e4c30
h4096_standard_rho80_unit1,4096,standard,0.8,1,16,False,85.64197413309896,0.6410690138670659,,,202272,4670,591.9154333565384,32.48568862117827,bb34390188ef429b8ce6bdb2623845bdaffde38007ad77feb971d7c3d4e79f46
h4096_standard_rho80_unit8,4096,standard,0.8,8,16,False,84.83465752386236,0.8040739409479044,,,202272,31054,1324.1175836455077,31.608018996194005,8456cef71b690fd4d0e0dbc6f834fabd1635190cffa6f2402054dba4a85d9bce
h4096_strict_rho20_unit1,4096,strict,0.2,1,16,False,85.70236716517402,0.6066892628952685,,,202272,3178,579.8041597008705,31.112448124215007,edde77faddc1a025b6e5b9535ea01ea0bfc4843f7ebb6f549b34094547b71713
h4096_strict_rho20_unit8,4096,strict,0.2,8,16,False,85.91040660757233,0.7150063418759728,,,202272,16991,896.4053717590868,31.719454718753695,f11cbe841327cfbb6b45b1bd3c8defb1bb067095d78fad520fdc783019f4e02b
h4096_strict_rho50_unit1,4096,strict,0.5,1,50,True,86.29620249873786,0.5920304807919067,80.51197328153002,0.9136976937918126,809752,12705,2340.3795006014407,281.8634254913777,657eb00b12e7b1356a141d7d1b524ee4b095014ffcc5144e5c46633de7bb6a6b
h4096_strict_rho50_unit8,4096,strict,0.5,8,16,False,85.63784398377355,0.7195204010737061,,,202272,17715,937.0505983605981,31.828524850308895,4d6fd11644eb1db058ec30ab093f53e809aa633e07ca927a88dfd17cdab3babc
h4096_strict_rho80_unit1,4096,strict,0.8,1,50,False,86.32770998154753,0.603280555794403,80.22575266053329,0.9339927230946139,809752,12705,2298.9059553276747,280.488854739815,d497810898e7cc2826f8142a12c575c642214785d8ae8af55986e10dbfa2677f
