condition,score_mode,bin,lower,upper,examples,accuracy,confidence
offline_seed_1993,raw,0,0.0,0.06666666666666667,1,0.0,0.02864666783376685
offline_seed_1993,raw,1,0.06666666666666667,0.13333333333333333,3,0.0,0.09896204740136642
offline_seed_1993,raw,2,0.13333333333333333,0.2,20,0.25,0.17777408505338316
offline_seed_1993,raw,3,0.2,0.26666666666666666,37,0.10810810810810811,0.23740004013214144
offline_seed_1993,raw,4,0.26666666666666666,0.3333333333333333,63,0.15873015873015872,0.2986543341426745
offline_seed_1993,raw,5,0.3333333333333333,0.4,88,0.09090909090909091,0.3670167924956381
offline_seed_1993,raw,6,0.4,0.4666666666666667,116,0.25,0.4375927737194445
offline_seed_1993,raw,7,0.4666666666666667,0.5333333333333333,128,0.296875,0.5045056037496884
offline_seed_1993,raw,8,0.5333333333333333,0.6,163,0.38650306748466257,0.5680738647709439
offline_seed_1993,raw,9,0.6,0.6666666666666666,133,0.42857142857142855,0.632864212872742
offline_seed_1993,raw,10,0.6666666666666666,0.7333333333333333,159,0.4088050314465409,0.7011807222945753
offline_seed_1993,raw,11,0.7333333333333333,0.8,152,0.5,0.7687122517161135
offline_seed_1993,raw,12,0.8,0.8666666666666667,220,0.5863636363636363,0.8347674923879148
offline_seed_1993,raw,13,0.8666666666666667,0.9333333333333333,302,0.7019867549668874,0.9023776608851645
offline_seed_1993,raw,14,0.9333333333333333,1.0,4415,0.9456398640996603,0.9938069143584239
offline_seed_1993,calibrated,0,0.0,0.06666666666666667,8,0.125,0.04657747219345159
offline_seed_1993,calibrated,1,0.06666666666666667,0.13333333333333333,48,0.16666666666666666,0.10810360965627125
offline_seed_1993,calibrated,2,0.13333333333333333,0.2,126,0.1111111111111111,0.16697883374680456
offline_seed_1993,calibrated,3,0.2,0.26666666666666666,142,0.16901408450704225,0.23470384146900544
offline_seed_1993,calibrated,4,0.26666666666666666,0.3333333333333333,176,0.2727272727272727,0.3009684203373772
offline_seed_1993,calibrated,5,0.3333333333333333,0.4,174,0.39080459770114945,0.36604864076002147
offline_seed_1993,calibrated,6,0.4,0.4666666666666667,196,0.4642857142857143,0.43311720015044247
offline_seed_1993,calibrated,7,0.4666666666666667,0.5333333333333333,221,0.5248868778280543,0.5010611026326327
offline_seed_1993,calibrated,8,0.5333333333333333,0.6,185,0.6054054054054054,0.5681359375293723
offline_seed_1993,calibrated,9,0.6,0.6666666666666666,181,0.6464088397790055,0.6347097311093481
offline_seed_1993,calibrated,10,0.6666666666666666,0.7333333333333333,227,0.7444933920704846,0.6986627488203504
offline_seed_1993,calibrated,11,0.7333333333333333,0.8,271,0.8007380073800738,0.7665542680873332
offline_seed_1993,calibrated,12,0.8,0.8666666666666667,321,0.8535825545171339,0.8344698692595376
offline_seed_1993,calibrated,13,0.8666666666666667,0.9333333333333333,567,0.9118165784832452,0.9038358896531912
offline_seed_1993,calibrated,14,0.9333333333333333,1.0,3157,0.9803611023123219,0.9842924205141175
offline_seed_1994,raw,0,0.0,0.06666666666666667,2,0.0,0.04590810899577831
offline_seed_1994,raw,1,0.06666666666666667,0.13333333333333333,4,0.0,0.10427751050899839
offline_seed_1994,raw,2,0.13333333333333333,0.2,11,0.0,0.17676243888744445
offline_seed_1994,raw,3,0.2,0.26666666666666666,47,0.10638297872340426,0.23371482536034038
offline_seed_1994,raw,4,0.26666666666666666,0.3333333333333333,72,0.125,0.30253587397417503
offline_seed_1994,raw,5,0.3333333333333333,0.4,85,0.17647058823529413,0.3687013416449371
offline_seed_1994,raw,6,0.4,0.4666666666666667,117,0.23931623931623933,0.4327016404840574
offline_seed_1994,raw,7,0.4666666666666667,0.5333333333333333,143,0.36363636363636365,0.5008495746318546
offline_seed_1994,raw,8,0.5333333333333333,0.6,152,0.3355263157894737,0.567581987770371
offline_seed_1994,raw,9,0.6,0.6666666666666666,142,0.39436619718309857,0.6321342815637552
offline_seed_1994,raw,10,0.6666666666666666,0.7333333333333333,160,0.425,0.7017966892047139
offline_seed_1994,raw,11,0.7333333333333333,0.8,182,0.521978021978022,0.7698622063375392
offline_seed_1994,raw,12,0.8,0.8666666666666667,203,0.5911330049261084,0.8353260110942303
offline_seed_1994,raw,13,0.8666666666666667,0.9333333333333333,282,0.6737588652482269,0.9030760800224502
offline_seed_1994,raw,14,0.9333333333333333,1.0,4398,0.9445202364711233,0.993748298134334
offline_seed_1994,calibrated,0,0.0,0.06666666666666667,7,0.0,0.0439358387062902
offline_seed_1994,calibrated,1,0.06666666666666667,0.13333333333333333,57,0.14035087719298245,0.10801521699863527
offline_seed_1994,calibrated,2,0.13333333333333333,0.2,130,0.11538461538461539,0.16904143893946333
offline_seed_1994,calibrated,3,0.2,0.26666666666666666,170,0.2,0.23208707545548354
offline_seed_1994,calibrated,4,0.26666666666666666,0.3333333333333333,167,0.2874251497005988,0.30016207458899474
offline_seed_1994,calibrated,5,0.3333333333333333,0.4,194,0.36597938144329895,0.3677788068064552
offline_seed_1994,calibrated,6,0.4,0.4666666666666667,187,0.5133689839572193,0.4350702172915102
offline_seed_1994,calibrated,7,0.4666666666666667,0.5333333333333333,189,0.5132275132275133,0.5004020027967866
offline_seed_1994,calibrated,8,0.5333333333333333,0.6,212,0.6132075471698113,0.5677570016143211
offline_seed_1994,calibrated,9,0.6,0.6666666666666666,190,0.6894736842105263,0.6340981297874811
offline_seed_1994,calibrated,10,0.6666666666666666,0.7333333333333333,225,0.7066666666666667,0.697629488192001
offline_seed_1994,calibrated,11,0.7333333333333333,0.8,245,0.7877551020408163,0.7680142032378916
offline_seed_1994,calibrated,12,0.8,0.8666666666666667,361,0.8199445983379502,0.8338160083901841
offline_seed_1994,calibrated,13,0.8666666666666667,0.9333333333333333,542,0.9298892988929889,0.9042684032984935
offline_seed_1994,calibrated,14,0.9333333333333333,1.0,3124,0.9798335467349552,0.9836746098208557
offline_seed_1995,raw,0,0.0,0.06666666666666667,2,0.0,0.04580628677993566
offline_seed_1995,raw,1,0.06666666666666667,0.13333333333333333,4,0.0,0.11085265607001786
offline_seed_1995,raw,2,0.13333333333333333,0.2,11,0.18181818181818182,0.17102425171420962
offline_seed_1995,raw,3,0.2,0.26666666666666666,31,0.12903225806451613,0.2411188870224456
offline_seed_1995,raw,4,0.26666666666666666,0.3333333333333333,61,0.16393442622950818,0.30139724252879757
offline_seed_1995,raw,5,0.3333333333333333,0.4,87,0.26436781609195403,0.36747391430655835
offline_seed_1995,raw,6,0.4,0.4666666666666667,115,0.23478260869565218,0.43546312956820615
offline_seed_1995,raw,7,0.4666666666666667,0.5333333333333333,143,0.2937062937062937,0.5045538118565758
offline_seed_1995,raw,8,0.5333333333333333,0.6,127,0.3779527559055118,0.5662215532482899
offline_seed_1995,raw,9,0.6,0.6666666666666666,156,0.42948717948717946,0.6345088690430859
offline_seed_1995,raw,10,0.6666666666666666,0.7333333333333333,166,0.4397590361445783,0.699332830196929
offline_seed_1995,raw,11,0.7333333333333333,0.8,182,0.521978021978022,0.76751488903997
offline_seed_1995,raw,12,0.8,0.8666666666666667,182,0.5274725274725275,0.8370178539607344
offline_seed_1995,raw,13,0.8666666666666667,0.9333333333333333,298,0.5838926174496645,0.9023043056377102
offline_seed_1995,raw,14,0.9333333333333333,1.0,4435,0.9411499436302142,0.9943277675100035
offline_seed_1995,calibrated,0,0.0,0.06666666666666667,10,0.0,0.04419847377312076
offline_seed_1995,calibrated,1,0.06666666666666667,0.13333333333333333,49,0.1836734693877551,0.11700182804472192
offline_seed_1995,calibrated,2,0.13333333333333333,0.2,109,0.24770642201834864,0.16919701512432317
offline_seed_1995,calibrated,3,0.2,0.26666666666666666,182,0.24725274725274726,0.23528653352234022
offline_seed_1995,calibrated,4,0.26666666666666666,0.3333333333333333,180,0.3277777777777778,0.29922739549552774
offline_seed_1995,calibrated,5,0.3333333333333333,0.4,195,0.41025641025641024,0.36800148319076953
