condition,fold,temperature,at_numerical_bound,calibration_examples,evaluation_examples,calibration_ids_hash,evaluation_ids_hash
offline_seed_1993,0,1.6756783276491225,False,4800,1200,383c0d602b590e12d82adb1442c746f5d9cde46c835e7e478d45738caba055ef,d88a6b9fb0d729684113f008dbce8c641db257909274c0cb86f4e7cc1b863dd1
offline_seed_1993,1,1.6892758134640642,False,4800,1200,160a0605cda326f04757b2f1f23f46bfa19ddc8bae9133ca8a611fafe1f78268,5decf9e53c895311b7cedd797f5419937f25deb3163c6197bd3ebf77e502b1c2
offline_seed_1993,2,1.682914163970078,False,4800,1200,4db280b2913f965229005dbfb3f429c4842bb96e862412fed8e020123913807a,7822704e3071fddff8d84cf7ccb19198269e062799c0a8f9e27aa9b60c00312a
offline_seed_1993,3,1.6788050445411824,False,4800,1200,d500d0d1c86ccab59db34ea2321ada8c510c32fe2001ba9dcfe9783a80f26564,69747e2e0919768578cf858da3b1c54d74d2b901289ad8b49091d6f283aa2c1c
offline_seed_1993,4,1.6734657683062386,False,4800,1200,46661fa04a506a27f998075a303f81ba5ab0869f0a7a75ae5b12d58009de5d64,d004d05554924729e526036a8a2ca38011c04c7c6a6551660042e83763cd0994
offline_seed_1994,0,1.6832834264298928,False,4800,1200,383c0d602b590e12d82adb1442c746f5d9cde46c835e7e478d45738caba055ef,d88a6b9fb0d729684113f008dbce8c641db257909274c0cb86f4e7cc1b863dd1
offline_seed_1994,1,1.6960177870977973,False,4800,1200,160a0605cda326f04757b2f1f23f46bfa19ddc8bae9133ca8a611fafe1f78268,5decf9e53c895311b7cedd797f5419937f25deb3163c6197bd3ebf77e502b1c2
offline_seed_1994,2,1.6836825647499258,False,4800,1200,4db280b2913f965229005dbfb3f429c4842bb96e862412fed8e020123913807a,7822704e3071fddff8d84cf7ccb19198269e062799c0a8f9e27aa9b60c00312a
offline_seed_1994,3,1.6837681408173282,False,4800,1200,d500d0d1c86ccab59db34ea2321ada8c510c32fe2001ba9dcfe9783a80f26564,69747e2e0919768578cf858da3b1c54d74d2b901289ad8b49091d6f283aa2c1c
offline_seed_1994,4,1.681383303365333,False,4800,1200,46661fa04a506a27f998075a303f81ba5ab0869f0a7a75ae5b12d58009de5d64,d004d05554924729e526036a8a2ca38011c04c7c6a6551660042e83763cd0994
offline_seed_1995,0,1.7422242085603852,False,4800,1200,383c0d602b590e12d82adb1442c746f5d9cde46c835e7e478d45738caba055ef,d88a6b9fb0d729684113f008dbce8c641db257909274c0cb86f4e7cc1b863dd1
offline_seed_1995,1,1.7537754349170356,False,4800,1200,160a0605cda326f04757b2f1f23f46bfa19ddc8bae9133ca8a611fafe1f78268,5decf9e53c895311b7cedd797f5419937f25deb3163c6197bd3ebf77e502b1c2
offline_seed_1995,2,1.7511366053559725,False,4800,1200,4db280b2913f965229005dbfb3f429c4842bb96e862412fed8e020123913807a,7822704e3071fddff8d84cf7ccb19198269e062799c0a8f9e27aa9b60c00312a
offline_seed_1995,3,1.7361498099281913,False,4800,1200,d500d0d1c86ccab59db34ea2321ada8c510c32fe2001ba9dcfe9783a80f26564,69747e2e0919768578cf858da3b1c54d74d2b901289ad8b49091d6f283aa2c1c
offline_seed_1995,4,1.7372561165010822,False,4800,1200,46661fa04a506a27f998075a303f81ba5ab0869f0a7a75ae5b12d58009de5d64,d004d05554924729e526036a8a2ca38011c04c7c6a6551660042e83763cd0994
srt_h4096_standard_rho80_unit8,0,1.4176276575218514,False,4800,1200,383c0d602b590e12d82adb1442c746f5d9cde46c835e7e478d45738caba055ef,d88a6b9fb0d729684113f008dbce8c641db257909274c0cb86f4e7cc1b863dd1
srt_h4096_standard_rho80_unit8,1,1.4205693004986453,False,4800,1200,160a0605cda326f04757b2f1f23f46bfa19ddc8bae9133ca8a611fafe1f78268,5decf9e53c895311b7cedd797f5419937f25deb3163c6197bd3ebf77e502b1c2
srt_h4096_standard_rho80_unit8,2,1.4241186374274575,False,4800,1200,4db280b2913f965229005dbfb3f429c4842bb96e862412fed8e020123913807a,7822704e3071fddff8d84cf7ccb19198269e062799c0a8f9e27aa9b60c00312a
srt_h4096_standard_rho80_unit8,3,1.4120630537524084,False,4800,1200,d500d0d1c86ccab59db34ea2321ada8c510c32fe2001ba9dcfe9783a80f26564,69747e2e0919768578cf858da3b1c54d74d2b901289ad8b49091d6f283aa2c1c
