profile,cohort,method,cohort_ids_hash,last_augmented_probability_mean,now_wrong,now_probability_below_half,examples,accuracy,nll,mean_true_probability,mean_top1_probability,entropy,brier
standard,all,srt,032c8d1f02deb52dc877f47e3e06f6ad74e5fb82a1bd3df512009bacb684f6ed,0.933801715346627,1583,1979,24000,93.40416666666667,0.2437800295332208,0.8947922937940126,0.9268297950485653,0.2693610200048196,0.10160426621866112
standard,all,uniform,032c8d1f02deb52dc877f47e3e06f6ad74e5fb82a1bd3df512009bacb684f6ed,0.933801715346627,563,778,24000,97.65416666666667,0.09480822523307207,0.9524350526728624,0.9628476305359643,0.14582191294542285,0.03856762133895602
standard,unrevisited_tasks40_50,srt,7596c9dfe740e86b096cd3f2cd576f0f035763987c414c02e5966686cd77d449,0.9432253521553946,852,1049,7563,88.73462911543038,0.4271716761499569,0.8389826544250485,0.8973695623364843,0.3686520718810292,0.17247246258246185
standard,unrevisited_tasks40_50,uniform,7596c9dfe740e86b096cd3f2cd576f0f035763987c414c02e5966686cd77d449,0.9432253521553946,57,71,7563,99.24633082110273,0.031556882530397505,0.9815347630712645,0.9851133217806909,0.06021061703413171,0.012953138862442334
standard,unrevisited_and_last_probability_ge90,srt,acb03df23b663f82ca3b58add4e041dd1a40f95dfeda884e8a7c933eba88897d,0.9872103592374611,569,703,6239,90.87994870972912,0.35064725062010554,0.8647650576877159,0.9130104404176846,0.3136298280970827,0.14231478725870855
standard,unrevisited_and_last_probability_ge90,uniform,acb03df23b663f82ca3b58add4e041dd1a40f95dfeda884e8a7c933eba88897d,0.9872103592374611,40,47,6239,99.35887161404071,0.027655997083624297,0.9848742371590676,0.9883130563483841,0.048264294509489734,0.011075446553011436
standard,revisited_tasks40_50,srt,be875e758379a89a43a24207bd2eae10ec8d20c34d9931d57a78ff013ccc9be5,0.9294657072438887,731,930,16437,95.55271643243901,0.1593977807431511,0.9204714507294313,0.9403850508739268,0.22367517554781574,0.0689963591127765
standard,revisited_tasks40_50,uniform,be875e758379a89a43a24207bd2eae10ec8d20c34d9931d57a78ff013ccc9be5,0.9294657072438887,506,707,16437,96.92157936363083,0.12391146212911926,0.9390456805402887,0.9526027304396045,0.1852134217960096,0.05035336879712192
standard,top1pct_presentations,srt,6da326353349eae9e8ef248d4d5834e5fcf859ca8d939fd1881f3ed7bbc29e20,0.8393918381732267,36,41,240,85.0,0.47642993695948876,0.8091561622946484,0.896488545070966,0.3506171592663152,0.22820678704077277
standard,top1pct_presentations,uniform,6da326353349eae9e8ef248d4d5834e5fcf859ca8d939fd1881f3ed7bbc29e20,0.8393918381732267,37,47,240,84.58333333333333,0.5284314316678758,0.7690889619587106,0.849837603161716,0.5354392493241155,0.24916097700260983
standard,last_review_01_10,srt,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,,0,0,0,,,,,,
standard,last_review_01_10,uniform,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,,0,0,0,,,,,,
standard,last_review_11_20,srt,14c9dc75f703b12fc9bcda0eb12be1bcf8380fd46da90fdaa5241c2899154413,0.9741797181323646,118,135,1159,89.81880931837792,0.3942996191809842,0.8625748737685361,0.9248625854604419,0.27042336644184967,0.1622315914762929
standard,last_review_11_20,uniform,14c9dc75f703b12fc9bcda0eb12be1bcf8380fd46da90fdaa5241c2899154413,0.9741797181323646,5,5,1159,99.5685936151855,0.017340289018999918,0.9894875636406901,0.9917526591671841,0.031978070139638645,0.007830656036610184
standard,last_review_21_30,srt,6d11aa42dfa5c602fcc5296c356f22409fbe866d5230f9635ef5af76bb91c78b,0.9424225285531526,315,390,2657,88.14452389913437,0.4724913747166568,0.828172585859036,0.8899141461607368,0.3924556108860757,0.18423726559639303
standard,last_review_21_30,uniform,6d11aa42dfa5c602fcc5296c356f22409fbe866d5230f9635ef5af76bb91c78b,0.9424225285531526,21,24,2657,99.20963492660896,0.033124138970374244,0.9829116307898071,0.9864945521324471,0.052945529382499384,0.012768688947097448
standard,last_review_31_39,srt,d6ec7a800a8038db9037217366fb8f576165d962870d7ac60e07a3d9cdfd1a57,0.9342200124553276,419,524,3747,88.81772084334133,0.4052032413848963,0.8393506741637176,0.8941522223253542,0.382156493142732,0.1672976795571175
standard,last_review_31_39,uniform,d6ec7a800a8038db9037217366fb8f576165d962870d7ac60e07a3d9cdfd1a57,0.9342200124553276,31,42,3747,99.17267147050974,0.03484293310917829,0.9780985118334391,0.9820802497028788,0.07409502048785592,0.014668388667676077
standard,last_review_40_49,srt,0cc1eda62df7a9afc91d5d812324d28634348a0319e223f4f608b7ffde3df638,0.9305451640045462,642,815,10982,94.1540702968494,0.20772553116436968,0.9008589658749214,0.9271921614142978,0.26654206820613835,0.08981113424727595
standard,last_review_40_49,uniform,0cc1eda62df7a9afc91d5d812324d28634348a0319e223f4f608b7ffde3df638,0.9305451640045462,200,286,10982,98.17883809870698,0.08142059420356085,0.9582848963422227,0.966184053848113,0.13347318228958852,0.031321835733765714
standard,last_review_50_50,srt,886acbdfeb004fec31081d2cd46d338673054af7662aac9e409e72eebb311aeb,0.9272925460806363,89,115,5455,98.36846929422548,0.0621044067512497,0.9599552836665952,0.9669449614230823,0.13737559439773345,0.02709207670634703
standard,last_review_50_50,uniform,886acbdfeb004fec31081d2cd46d338673054af7662aac9e409e72eebb311aeb,0.9272925460806363,306,421,5455,94.39046746104492,0.2094540307007934,0.9003133124492093,0.9252608250918058,0.28937681506081564,0.0886676302273287
strict,all,srt,032c8d1f02deb52dc877f47e3e06f6ad74e5fb82a1bd3df512009bacb684f6ed,0.9095109824732204,741,929,24000,96.9125,0.12454120855896471,0.9409960340334688,0.9564846345608243,0.16496909456889253,0.05075265374965436
strict,all,uniform,032c8d1f02deb52dc877f47e3e06f6ad74e5fb82a1bd3df512009bacb684f6ed,0.9095109824732204,651,914,24000,97.28750000000001,0.10668051839739778,0.9444593961187835,0.9555376748303613,0.17858356864936975,0.04353775899996611
strict,unrevisited_tasks40_50,srt,8f8d10a16d3defd5e9a851f5f6bbb9677aadd9d73d528418c3bde1ce9f15f2fa,0.969977473754343,307,361,4734,93.51499788762146,0.22817148099079487,0.9050200923496716,0.9388000515246765,0.21387246595726025,0.09881560411931822
strict,unrevisited_tasks40_50,uniform,8f8d10a16d3defd5e9a851f5f6bbb9677aadd9d73d528418c3bde1ce9f15f2fa,0.969977473754343,21,27,4734,99.55640050697086,0.020435758394314007,0.9874247237964542,0.9892780663758013,0.04452991994488395,0.0077794744381009355
strict,unrevisited_and_last_probability_ge90,srt,9c3f0a83e611382d4686bccc2072f9a83a9bd55064986308bd889fba9efcf8a3,0.987931685689444,218,257,4221,94.83534707415305,0.18187454468508274,0.9213757843514464,0.9479498900447441,0.18329057286608014,0.07926896103637661
strict,unrevisited_and_last_probability_ge90,uniform,9c3f0a83e611382d4686bccc2072f9a83a9bd55064986308bd889fba9efcf8a3,0.987931685689444,17,20,4221,99.59725183605781,0.016654998231662287,0.9893144165645248,0.9908001356159568,0.038179083892337505,0.006482507205444544
strict,revisited_tasks40_50,srt,46583c4fbecdd2842e97692e45baf7c4db8efb3431b15f99440ece5b752678f2,0.8946532865464668,434,568,19266,97.74732689712447,0.09907740134977318,0.9498359648925517,0.9608300521925653,0.152952663542601,0.03894272916489423
strict,revisited_tasks40_50,uniform,46583c4fbecdd2842e97692e45baf7c4db8efb3431b15f99440ece5b752678f2,0.8946532865464668,630,887,19266,96.72999065711616,0.12787239495997427,0.9339020483960547,0.9472470585334595,0.21152294231110733,0.052324207620119224
strict,top1pct_presentations,srt,b63f6ea5b194ee696ebb332326e2c8cf299744c01c9174226637878459de3fb6,0.7728017927790006,19,21,240,92.08333333333333,0.2767040309990385,0.8871228690518443,0.9414557684803694,0.2397779181203528,0.13135322468907545
strict,top1pct_presentations,uniform,b63f6ea5b194ee696ebb332326e2c8cf299744c01c9174226637878459de3fb6,0.7728017927790006,42,61,240,82.5,0.5695718001274102,0.7196384121767996,0.7919039142134446,0.7909674311015974,0.26359789796033933
strict,last_review_01_10,srt,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,,0,0,0,,,,,,
strict,last_review_01_10,uniform,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,,0,0,0,,,,,,
strict,last_review_11_20,srt,129f5983cf9a091146bbb8a6343dca32bcb48fed714d8efdcc824ff8825cb869,0.9827174416460438,72,79,853,91.55920281359906,0.28734188590231513,0.8861114635773085,0.9330387276139971,0.22254698602394005,0.12844935510961691
strict,last_review_11_20,uniform,129f5983cf9a091146bbb8a6343dca32bcb48fed714d8efdcc824ff8825cb869,0.9827174416460438,4,5,853,99.53106682297772,0.02053671675216454,0.9864449409373295,0.9873970752538498,0.046143149488587686,0.00793951267565567
strict,last_review_21_30,srt,295b9842fa5d1f9203947af45b49df79fd8e8e789ba9abeed189b1d816ce630e,0.970987812065661,115,138,1486,92.26110363391655,0.2857942445173622,0.890953432639964,0.9318234003158496,0.23863479458982467,0.11796576377479868
strict,last_review_21_30,uniform,295b9842fa5d1f9203947af45b49df79fd8e8e789ba9abeed189b1d816ce630e,0.970987812065661,6,7,1486,99.59623149394348,0.020450067520105246,0.9881872061787823,0.9903649622905326,0.043096799570835474,0.007635408757035298
strict,last_review_31_39,srt,63bfb7ae80a283fc168f2b42c222eb8514f6e66ae67614f53dffd0e6f6c09bb4,0.9648131500206312,120,144,2395,94.98956158663883,0.17134484967972777,0.9204823540078976,0.9451807250078189,0.19541894363372433,0.07637939249394506
strict,last_review_31_39,uniform,63bfb7ae80a283fc168f2b42c222eb8514f6e66ae67614f53dffd0e6f6c09bb4,0.9648131500206312,11,15,2395,99.54070981210856,0.020390922970442486,0.9873005926727357,0.9892736229928094,0.04484454711609763,0.0078118623234576575
strict,last_review_40_49,srt,26c1703d152689fe7e8d73b3661f11dc592a3d8e4bcb856db5a82b858a742e6d,0.9556050300368178,296,379,10036,97.05061777600638,0.1274889090070862,0.9427420203836927,0.9580193407060057,0.15681654838088516,0.04983684339607758
strict,last_review_40_49,uniform,26c1703d152689fe7e8d73b3661f11dc592a3d8e4bcb856db5a82b858a742e6d,0.9556050300368178,129,174,10036,98.71462734157035,0.058921987689300764,0.9682036003090241,0.9740478459851344,0.1074374855159959,0.02241518856152497
strict,last_review_50_50,srt,71d33084e126e0866b65b3597ed584f623654ddd0b6c15a89f9baa3abc91b2f2,0.8283789964414652,138,189,9230,98.50487540628386,0.06818488879844126,0.9575493806120438,0.9638862060906276,0.1487513690423822,0.02709729791633994
strict,last_review_50_50,uniform,71d33084e126e0866b65b3597ed584f623654ddd0b6c15a89f9baa3abc91b2f2,0.8283789964414652,501,713,9230,94.57204767063922,0.2028438237106221,0.896605149696319,0.918105920628258,0.32469755167142567,0.08484500017397101
