condition,label,profile,historical_fraction,interval_unit
srt_h1024,"SRT rank 16, 1,024-equivalent budget",standard,0.8,8.0
uniform_h1024,"Uniform replay rank 16, 1,024-equivalent budget",standard,0.8,8.0
srt_h4096,"SRT rank 16, 4,096-equivalent budget",strict,0.5,1.0
uniform_h4096,"Uniform replay rank 16, 4,096-equivalent budget",strict,0.5,1.0
persistent_h4096,"Persistent single-affine + adaptive node LoRAs, H=4,096",,,
persistent_h8192,"Persistent single-affine + adaptive node LoRAs, H=8,192",,,
persistent_mlp_h4096,"Persistent two-layer MLP + adaptive node LoRAs, H=4,096",,,
joint_rank16,"Stage-matched joint IID, rank 16",,,
joint_rank_matched,Aggregate-rank-matched joint IID,,,
srt_h4096_standard_rho80_unit8,"SRT rank 16, H=4,096; standard, old=0.8, unit=8",standard,0.8,8.0
uniform_h4096_standard_rho80_unit8,"Uniform replay rank 16, H=4,096; standard, old=0.8, unit=8",standard,0.8,8.0
srt_h4096_strict_rho80_unit8,"SRT rank 16, H=4,096; strict, old=0.8, unit=8",strict,0.8,8.0
uniform_h4096_strict_rho80_unit8,"Uniform replay rank 16, H=4,096; strict, old=0.8, unit=8",strict,0.8,8.0
joint_convergence_accuracy_selected,"Joint IID rank 16, validation accuracy-selected",,,
joint_convergence_five_epoch,"Joint IID rank 16, five-epoch rerun",,,
joint_convergence_nll_selected,"Joint IID rank 16, validation NLL-selected",,,
joint_convergence_terminal,"Joint IID rank 16, terminal schedule checkpoint",,,
joint_rank16_replay_schedule_matched,"Offline joint IID rank 16, replay-schedule matched",,,
