condition,final_accuracy,final_nll,mean_stage_accuracy,training_presentations,optimizer_steps,training_wall_seconds,evaluation_wall_seconds,historical_reviews,current_reviews,unique_historically_replayed,never_historically_replayed,older_images_never_historically_replayed,peak_vram_bytes,clock_advance,terminal_overdue_images
srt_h1024,79.26666666666667,0.9585131540874331,83.91623304659474,294368,5253,871.0450370069593,366.8071839623153,205550,64818,22293,1707,1263,4195627520,20,14498.0
uniform_h1024,80.53333333333333,0.8591808775791642,85.0587498228426,294368,5253,843.074677253142,350.87651415914297,205550,64818,21589,2411,1967,4195627520,0,
srt_h4096,77.33333333333333,1.1099681412612878,81.90847679547079,844640,13250,2406.654909905046,350.41787318885326,550570,270070,23133,867,423,4195627520,0,12560.0
uniform_h4096,80.4,0.9122915708193154,84.19738268711355,844640,13250,2427.503329690546,373.82634270377457,550570,270070,22935,1065,621,4195627520,0,
srt_h4096_standard_rho80_unit8,73.96666666666667,1.2682141565151754,79.49017558939241,844640,56243,3624.8349401690066,372.73215039260685,595386,225254,23546,454,10,4191367680,93,10.0
uniform_h4096_standard_rho80_unit8,80.91666666666667,0.8950697641152366,84.81972313297283,844640,56243,3766.002895023674,370.0364748034626,595386,225254,23059,941,497,4195627520,0,
srt_h4096_strict_rho80_unit8,75.71666666666667,1.2217310583271288,81.01422176318253,844640,21926,2599.202963143587,361.65524902381003,647720,172920,23443,557,113,4195627520,3,6078.0
uniform_h4096_strict_rho80_unit8,80.75,0.8974023976992044,84.81638811719249,844640,21926,2607.614241445437,363.50766708143055,647720,172920,23085,915,471,4195627520,0,
srt_h128_standard_rho80_unit8,75.1,1.1399537951660312,81.16431502881363,121088,2046,376.7362289931625,366.16484105587006,74979,22109,18889,5111,4667,4191367680,19,20752.0
uniform_h128_standard_rho80_unit8,74.33333333333333,1.1770522621510735,80.9947666415567,121088,2046,351.74523601308465,348.50457135401666,74979,22109,18201,5799,5355,4195627520,0,
srt_h256_standard_rho80_unit8,77.16666666666667,1.0525724662505906,82.49382398506813,146176,2462,461.06457206979394,368.2943902499974,93816,28360,19852,4148,3704,4191367680,19,19839.0
uniform_h256_standard_rho80_unit8,76.81666666666666,1.0673708873703132,82.45952740633864,146176,2462,430.34731088392437,349.63177983649075,93816,28360,19237,4763,4319,4195627520,0,
srt_h512_standard_rho80_unit8,78.93333333333334,0.9690160275540587,83.67689307721761,196204,3358,612.4840478803962,367.0331375580281,131501,40703,21185,2815,2371,4191367680,20,17704.0
uniform_h512_standard_rho80_unit8,78.36666666666666,0.9588589506850889,83.94264405352384,196204,3358,561.3525588456541,345.0209042355418,131501,40703,20413,3587,3143,4195627520,0,
srt_h128_tuned,76.66666666666667,1.0375122395362995,82.37197747218383,121088,1974,358.5620404705405,346.76922853291035,87799,9289,19498,4502,4058,4195627520,5,20737.0
uniform_h128_tuned,77.01666666666667,1.031126956185954,82.08594713652532,121088,1974,346.4906032960862,343.4346589297056,87799,9289,18865,5135,4691,4195627520,0,
