role,label,seed,epoch,accuracy,nll,test_examples,model_sha256,predictions_sha256,selection_hash
nll_selected,"Joint IID rank 16, validation NLL-selected",1993,3,78.83333333333333,0.9215559507344296,6000,fe7978f527dbffb78b69df515b954adf6e52da9e795e870eb77f9207d5917489,d97fdd2b4505962f0dfc951f23dc1bf6f22b6a9b9a1c01bd32c9ffa37cd6a081,e7e24a8b3593c9e5bad98f1bab4a9b63c5233c9cb54b675163ffa51ca244b13a
five_epoch,"Joint IID rank 16, five-epoch rerun",1993,5,78.83333333333333,0.9185290863013021,6000,3039ebcebe353e3cd34c499dfdd32b59743726f8d167180cc2614c3b6b273244,bcbba7b8da24a2a129fba8752dbc235851e9050cf487790d36c2f1123c05a053,e7e24a8b3593c9e5bad98f1bab4a9b63c5233c9cb54b675163ffa51ca244b13a
accuracy_selected,"Joint IID rank 16, validation accuracy-selected",1993,19,79.0,1.0677217068656477,6000,7d6299c2af75daa0d71857554a50a73aa17363d36fb5b118dded5c28ac360d3f,c743a25714c0f69c59a2268e3c0839752e5eb4c4ff9acb8348e3dadfe06ceab4,e7e24a8b3593c9e5bad98f1bab4a9b63c5233c9cb54b675163ffa51ca244b13a
terminal,"Joint IID rank 16, terminal schedule checkpoint",1993,47,78.8,1.0763021940592463,6000,d21993ae5e7b20b49e8f8253daed152d438d84d7bf28d3f4364688bff82eab96,fd22bf10a5bee51704250e96e2c34adb80ebabfd1fe822c5f693b374c3a53006,e7e24a8b3593c9e5bad98f1bab4a9b63c5233c9cb54b675163ffa51ca244b13a
nll_selected,"Joint IID rank 16, validation NLL-selected",1994,3,78.55,0.8993425709621905,6000,11491b81683cbf2289bbe475627618aef309a2ed3125174ee377a88fe031a86a,1fa64edb84ccbcbc7180d8c1e989d8813e9f28f457d474ab93cd025cec8ac858,e7e24a8b3593c9e5bad98f1bab4a9b63c5233c9cb54b675163ffa51ca244b13a
five_epoch,"Joint IID rank 16, five-epoch rerun",1994,5,78.8,0.9298924052415601,6000,30ae6590892ae670bfecbb5337fd0a29e0122925656548e0cb55c29d6e876ba7,b5dd2cbb3a7f66d2e5154d8533e49a9cde4e31ab68afc0c683ae5b18dcdfbfd0,e7e24a8b3593c9e5bad98f1bab4a9b63c5233c9cb54b675163ffa51ca244b13a
accuracy_selected,"Joint IID rank 16, validation accuracy-selected",1994,19,79.33333333333333,1.051603438989026,6000,92429aaf76ef3714ad4b9654a3af66d497faaaedf9455091e2bc88a71849b7a2,6922af18a7522875f03755c6ee77af60822173193fdbc7e42bd20a903ad6f17e,e7e24a8b3593c9e5bad98f1bab4a9b63c5233c9cb54b675163ffa51ca244b13a
terminal,"Joint IID rank 16, terminal schedule checkpoint",1994,47,78.9,1.072439308371624,6000,c94c288c1b0aa8f5241e90d93612fe3026dc02d8702e59add75c7708bbf3fa7d,77cd2d0c27b3bde9b2b7777c2051d0c354b4f8c180ce8c5d87bdd2a386c4591e,e7e24a8b3593c9e5bad98f1bab4a9b63c5233c9cb54b675163ffa51ca244b13a
nll_selected,"Joint IID rank 16, validation NLL-selected",1995,3,78.83333333333333,0.9057781985907462,6000,2844daf630dfdb44a540b81c58c6b7e309e934b64fee7c7c7a18db9e5444a7f4,81428c52c88994498a03ad68babe3628f90fca7902a633e41b0cae1f37839831,e7e24a8b3593c9e5bad98f1bab4a9b63c5233c9cb54b675163ffa51ca244b13a
five_epoch,"Joint IID rank 16, five-epoch rerun",1995,5,79.3,0.896791844969592,6000,5561af1107e50d68c8d63f64a12a0b6db850582ca322590358c97b2e57c7ecda,c81df6f30d5dfed48363dcb775e0cd796d6ae578966878f8014aebebba6bb6ff,e7e24a8b3593c9e5bad98f1bab4a9b63c5233c9cb54b675163ffa51ca244b13a
accuracy_selected,"Joint IID rank 16, validation accuracy-selected",1995,19,79.18333333333334,1.0275957977608492,6000,0710067ed04dda3bc16255fd2e2cfdd4199af0856dd76cbf69650a34269ad3c6,648641b364f0375efdc253d36b93dd5a4e805cbbb451248cee9d060ac56bf4d1,e7e24a8b3593c9e5bad98f1bab4a9b63c5233c9cb54b675163ffa51ca244b13a
terminal,"Joint IID rank 16, terminal schedule checkpoint",1995,47,79.01666666666667,1.0658118153890688,6000,74cb02cd0feecdae4ef715923152a8488340820dc808e1cd9eec8614ae7fefbd,f481cf79471df649515553a91ee63d5fbeea76df2aa9f12ef2cd2b2556959e23,e7e24a8b3593c9e5bad98f1bab4a9b63c5233c9cb54b675163ffa51ca244b13a
