condition,metric,kind,previous_quality,lower,upper,count
srt_h1024,clock_gap,current_review,0,0,1.0,0
srt_h1024,clock_gap,current_review,0,1,2.0,0
srt_h1024,clock_gap,current_review,0,2,4.0,0
srt_h1024,clock_gap,current_review,0,4,8.0,0
srt_h1024,clock_gap,current_review,0,8,16.0,9507
srt_h1024,clock_gap,current_review,0,16,32.0,6767
srt_h1024,clock_gap,current_review,0,32,64.0,5387
srt_h1024,clock_gap,current_review,0,64,128.0,1178
srt_h1024,clock_gap,current_review,0,128,256.0,0
srt_h1024,clock_gap,current_review,0,256,512.0,0
srt_h1024,clock_gap,current_review,0,512,1024.0,0
srt_h1024,clock_gap,current_review,0,1024,2048.0,0
srt_h1024,clock_gap,current_review,0,2048,4096.0,0
srt_h1024,clock_gap,current_review,0,4096,8192.0,0
srt_h1024,clock_gap,current_review,0,8192,16384.0,0
srt_h1024,clock_gap,current_review,0,16384,32768.0,0
srt_h1024,clock_gap,current_review,0,32768,65536.0,0
srt_h1024,clock_gap,current_review,0,65536,131072.0,0
srt_h1024,clock_gap,current_review,0,131072,262144.0,0
srt_h1024,clock_gap,current_review,0,262144,524288.0,0
srt_h1024,clock_gap,current_review,0,524288,1048576.0,0
srt_h1024,clock_gap,current_review,0,1048576,2097152.0,0
srt_h1024,clock_gap,current_review,0,2097152,4194304.0,0
srt_h1024,clock_gap,current_review,0,4194304,8388608.0,0
srt_h1024,clock_gap,current_review,0,8388608,16777216.0,0
srt_h1024,clock_gap,current_review,0,16777216,33554432.0,0
srt_h1024,clock_gap,current_review,0,33554432,67108864.0,0
srt_h1024,clock_gap,current_review,0,67108864,134217728.0,0
srt_h1024,clock_gap,current_review,0,134217728,268435456.0,0
srt_h1024,clock_gap,current_review,0,268435456,536870912.0,0
srt_h1024,clock_gap,current_review,0,536870912,1073741824.0,0
srt_h1024,clock_gap,current_review,0,1073741824,2147483648.0,0
srt_h1024,clock_gap,current_review,0,2147483648,4294967296.0,0
srt_h1024,clock_gap,current_review,0,4294967296,8589934592.0,0
srt_h1024,clock_gap,current_review,0,8589934592,17179869184.0,0
srt_h1024,clock_gap,current_review,0,17179869184,34359738368.0,0
srt_h1024,clock_gap,current_review,0,34359738368,68719476736.0,0
srt_h1024,clock_gap,current_review,0,68719476736,137438953472.0,0
srt_h1024,clock_gap,current_review,0,137438953472,274877906944.0,0
srt_h1024,clock_gap,current_review,0,274877906944,549755813888.0,0
srt_h1024,clock_gap,current_review,0,549755813888,1099511627776.0,0
srt_h1024,clock_gap,current_review,0,1099511627776,,0
srt_h1024,clock_gap,current_review,1,0,1.0,0
srt_h1024,clock_gap,current_review,1,1,2.0,0
srt_h1024,clock_gap,current_review,1,2,4.0,0
srt_h1024,clock_gap,current_review,1,4,8.0,0
srt_h1024,clock_gap,current_review,1,8,16.0,2265
srt_h1024,clock_gap,current_review,1,16,32.0,1111
srt_h1024,clock_gap,current_review,1,32,64.0,699
srt_h1024,clock_gap,current_review,1,64,128.0,113
srt_h1024,clock_gap,current_review,1,128,256.0,0
srt_h1024,clock_gap,current_review,1,256,512.0,0
srt_h1024,clock_gap,current_review,1,512,1024.0,0
srt_h1024,clock_gap,current_review,1,1024,2048.0,0
srt_h1024,clock_gap,current_review,1,2048,4096.0,0
srt_h1024,clock_gap,current_review,1,4096,8192.0,0
srt_h1024,clock_gap,current_review,1,8192,16384.0,0
srt_h1024,clock_gap,current_review,1,16384,32768.0,0
srt_h1024,clock_gap,current_review,1,32768,65536.0,0
srt_h1024,clock_gap,current_review,1,65536,131072.0,0
srt_h1024,clock_gap,current_review,1,131072,262144.0,0
srt_h1024,clock_gap,current_review,1,262144,524288.0,0
srt_h1024,clock_gap,current_review,1,524288,1048576.0,0
srt_h1024,clock_gap,current_review,1,1048576,2097152.0,0
srt_h1024,clock_gap,current_review,1,2097152,4194304.0,0
srt_h1024,clock_gap,current_review,1,4194304,8388608.0,0
srt_h1024,clock_gap,current_review,1,8388608,16777216.0,0
srt_h1024,clock_gap,current_review,1,16777216,33554432.0,0
srt_h1024,clock_gap,current_review,1,33554432,67108864.0,0
srt_h1024,clock_gap,current_review,1,67108864,134217728.0,0
srt_h1024,clock_gap,current_review,1,134217728,268435456.0,0
srt_h1024,clock_gap,current_review,1,268435456,536870912.0,0
srt_h1024,clock_gap,current_review,1,536870912,1073741824.0,0
srt_h1024,clock_gap,current_review,1,1073741824,2147483648.0,0
srt_h1024,clock_gap,current_review,1,2147483648,4294967296.0,0
srt_h1024,clock_gap,current_review,1,4294967296,8589934592.0,0
srt_h1024,clock_gap,current_review,1,8589934592,17179869184.0,0
srt_h1024,clock_gap,current_review,1,17179869184,34359738368.0,0
srt_h1024,clock_gap,current_review,1,34359738368,68719476736.0,0
srt_h1024,clock_gap,current_review,1,68719476736,137438953472.0,0
srt_h1024,clock_gap,current_review,1,137438953472,274877906944.0,0
