condition,stage,training_forwards,training_backwards,recompute_forwards,training_wall_seconds,cumulative_training_wall_seconds,evaluation_forwards,evaluation_wall_seconds,cumulative_training_forwards,cumulative_training_backwards,cumulative_recompute_forwards,cost_source
srt_h1024,1,1900,1900,0,6.922067493200302,6.922067493200302,118,0.42831197567284107,1900,1900,0,audited committed SRT presentation and batch ledger
srt_h1024,2,3956,3956,0,12.846510380506516,19.768577873706818,248,0.6820942722260952,5856,5856,0,audited committed SRT presentation and batch ledger
srt_h1024,3,6300,6300,0,20.283359145745635,40.05193701945245,394,1.068689914420247,12156,12156,0,audited committed SRT presentation and batch ledger
srt_h1024,4,6912,6912,0,20.903366236016154,60.95530325546861,570,1.4786777887493372,19068,19068,0,audited committed SRT presentation and batch ledger
srt_h1024,5,6160,6160,0,18.167671026661992,79.1229742821306,698,1.5843553263694048,25228,25228,0,audited committed SRT presentation and batch ledger
srt_h1024,6,6024,6024,0,18.00634402036667,97.12931830249727,818,1.9067934453487396,31252,31252,0,audited committed SRT presentation and batch ledger
srt_h1024,7,5940,5940,0,16.602100398391485,113.73141870088875,933,2.1663181744515896,37192,37192,0,audited committed SRT presentation and batch ledger
srt_h1024,8,6236,6236,0,17.826242428272963,131.55766112916172,1066,2.439771890640259,43428,43428,0,audited committed SRT presentation and batch ledger
srt_h1024,9,6212,6212,0,17.191482478752732,148.74914360791445,1200,2.705460963770747,49640,49640,0,audited committed SRT presentation and batch ledger
srt_h1024,10,6284,6284,0,17.03294891677797,165.78209252469242,1338,2.931412238627672,55924,55924,0,audited committed SRT presentation and batch ledger
srt_h1024,11,5676,5676,0,15.833477061241865,181.61556958593428,1438,3.172057304531336,61600,61600,0,audited committed SRT presentation and batch ledger
srt_h1024,12,5940,5940,0,16.293021839112043,197.90859142504632,1554,3.4100835900753736,67540,67540,0,audited committed SRT presentation and batch ledger
srt_h1024,13,6140,6140,0,16.66535857319832,214.57394999824464,1681,3.733069784939289,73680,73680,0,audited committed SRT presentation and batch ledger
srt_h1024,14,6200,6200,0,17.739640783518553,232.3135907817632,1813,3.9729041643440723,79880,79880,0,audited committed SRT presentation and batch ledger
srt_h1024,15,5956,5956,0,16.60995996929705,248.92355075106025,1929,4.176819169893861,85836,85836,0,audited committed SRT presentation and batch ledger
srt_h1024,16,6212,6212,0,17.27090271934867,266.1944534704089,2062,4.5824312921613455,92048,92048,0,audited committed SRT presentation and batch ledger
srt_h1024,17,6088,6088,0,17.076789306476712,283.27124277688563,2188,4.779617980122566,98136,98136,0,audited committed SRT presentation and batch ledger
srt_h1024,18,5788,5788,0,16.297568084672093,299.5688108615577,2294,5.032070770859718,103924,103924,0,audited committed SRT presentation and batch ledger
srt_h1024,19,5828,5828,0,16.524980131536722,316.09379099309444,2403,5.124303622171283,109752,109752,0,audited committed SRT presentation and batch ledger
srt_h1024,20,5720,5720,0,16.31028325855732,332.40407425165176,2504,5.411628821864724,115472,115472,0,audited committed SRT presentation and batch ledger
srt_h1024,21,6412,6412,0,17.749073261395097,350.15314751304686,2648,5.741739263758063,121884,121884,0,audited committed SRT presentation and batch ledger
srt_h1024,22,6016,6016,0,17.235904432833195,367.38905194588006,2768,6.032283591106534,127900,127900,0,audited committed SRT presentation and batch ledger
srt_h1024,23,5968,5968,0,16.58716824837029,383.97622019425035,2885,6.45915899425745,133868,133868,0,audited committed SRT presentation and batch ledger
srt_h1024,24,5472,5472,0,16.004640204831958,399.9808603990823,2971,6.604713823646307,139340,139340,0,audited committed SRT presentation and batch ledger
srt_h1024,25,5132,5132,0,14.681601157411933,414.66246155649424,3036,6.756954859942198,144472,144472,0,audited committed SRT presentation and batch ledger
