condition,image,image_id,arrival_stage,class_id,presentations,historical_reviews,current_reviews,first_step,last_step,last_stage,mean_step_gap,median_step_gap,p90_step_gap,minimum_step_gap,maximum_step_gap,last_confidence,last_quality,next_due_clock,mean_lateness,censored_wait_steps,next_review_censored,terminal_overdue_ticks,no_historical_review
srt_h1024,0,00048a4215c267e968b3c6bdc852c5e1da1fa0430bdbf9f4f6e52f5197711136,17,64,26,21,4,2059,5119,49,122.4,107.0,235.20000000000002,15.0,431.0,0.04897617548704147,0.0,5147,111.2,134,True,127,False
srt_h1024,1,000675ae9caa0b8ff1f45b7072c8e72fce1c60691c47207d5e99265410d86a36,35,139,7,4,2,3745,4861,46,186.0,103.5,423.5,11.0,469.0,0.9998296499252319,5.0,5905,51.5,392,True,0,False
srt_h1024,2,0008ea198afee778023627304f6ee5aa772b217c476778385f9679371c271c9d,36,143,6,3,2,3847,4882,46,207.0,35.0,477.6,18.0,492.0,0.784756064414978,4.0,4910,191.0,371,True,364,False
srt_h1024,3,0009304a62478272e121caef1293a0c93a884a5dbcf598ff7e653327fb7a761a,48,190,4,0,3,4977,5048,48,23.666666666666668,22.0,34.8,11.0,38.0,1.0,5.0,5076,15.666666666666666,205,True,198,True
srt_h1024,4,000a63f811aced8780802a013aa5134bda2bc66f1e8966d2f1c6abd9d1091a3a,38,150,9,6,2,4057,5205,50,143.5,87.0,312.2,19.0,350.0,0.6944501996040344,3.0,5273,130.5,48,True,1,False
srt_h1024,5,000a95f5024e2e1a83df4cf94ecac15606dc289ccef585767a5ac06f1fb19e95,18,71,11,8,2,2157,4240,39,208.3,189.0,381.99999999999994,17.0,535.0,0.9917853474617004,5.0,4758,133.9,1013,True,516,False
srt_h1024,6,000ca8f0f1dce1078ea76e7c149311a1645abb9152bf598a69c6c5fb5131c107,48,190,2,1,0,4980,5106,49,126.0,126.0,126.0,126.0,126.0,0.9999808073043823,5.0,5134,118.0,147,True,140,False
srt_h1024,7,0010a53d61bc298c5b8a066ac8b59277d03e31b6e519c58cc4e6c58ac200249d,50,198,4,0,3,5164,5249,50,28.333333333333332,19.0,43.800000000000004,16.0,50.0,0.9996784329414368,5.0,5365,7.0,4,True,0,True
srt_h1024,8,00126d0d6a8fa1ba531579d944d9debd13ec6c14175389e853f5d41865df0c43,40,159,3,0,2,4249,4271,40,11.0,11.0,12.6,9.0,13.0,0.986940860748291,5.0,4339,3.0,982,True,935,True
srt_h1024,9,0013a70ca74af6c111b5ebaa6573713e4eb7b2a05bd8047079324618c44f803e,36,142,6,3,2,3843,5068,48,245.0,215.0,471.0,15.0,491.0,0.8896234631538391,4.0,5421,177.2,185,True,0,False
srt_h1024,10,0016de11ede9a65a4174821ad1c474ae1b823a55cb67f7a6138aebe7896932d7,33,130,6,2,3,3569,3988,37,83.8,49.0,179.0,14.0,233.0,1.0,5.0,4453,11.4,1265,True,821,False
srt_h1024,11,001feb08000cfa169870a6699519bd4d967a9b071d596866565874e229407989,47,187,3,0,2,4888,4923,47,17.5,17.5,18.7,16.0,19.0,0.9999993443489075,5.0,4991,9.5,330,True,283,True
srt_h1024,12,002502a2f9dd86ab8922e993773e885f00c0687800fc30a1f367ab64378003cd,41,163,7,3,3,4346,4833,46,81.16666666666667,67.0,165.5,9.0,188.0,0.9824419021606445,5.0,4901,53.666666666666664,420,True,373,False
srt_h1024,13,0026bcfccbc26ded0bfb80243f99fbfd9a4605deb14ea1843ecd290773342ad8,48,191,4,0,3,4980,5060,48,26.666666666666668,35.0,35.8,9.0,36.0,0.039616044610738754,0.0,5088,18.666666666666668,193,True,186,True
srt_h1024,14,002b61c8067985a0497e93da25f1dcb7272d69d33f7e093ec7ff3b850160080e,10,37,11,8,2,1396,4451,42,305.5,152.0,577.3999999999997,10.0,1283.0,0.980988621711731,5.0,8539,57.5,802,True,0,False
