condition,image_id,image,arrival_stage,stage,exposure,kind,step,presentations,clock,confidence,quality,previous_quality,step_gap,presentation_gap,stage_gap,clock_gap,due_before,lateness,ease_before,ease_after,successes_before,successes_after,interval_before,interval_after,due_after,stage_position
srt_h1024,17b5eda6ec97c8c626cc77506b631234783cbfeaa50aac8c22fcc69e6eb2d4e7,2202,1,1,1,introduction,4,192,4,0.9846524596214294,5.0,,,,,,,,2.5,2.6,0.0,1.0,0,8,12,0.03773584905660377
srt_h1024,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,1,1,introduction,7,384,7,0.6746063232421875,3.0,,,,,,,,2.5,2.36,0.0,1.0,0,8,15,0.0660377358490566
srt_h1024,17b5eda6ec97c8c626cc77506b631234783cbfeaa50aac8c22fcc69e6eb2d4e7,2202,1,1,2,current_review,12,667,12,0.9997113943099976,5.0,5.0,8.0,475.0,0.0,8,12,0,2.6,2.7,1.0,2.0,8,48,60,0.11320754716981132
srt_h1024,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,1,2,current_review,15,859,15,0.9671631455421448,5.0,3.0,8.0,475.0,0.0,8,15,0,2.36,2.46,1.0,2.0,8,48,63,0.14150943396226415
srt_h1024,17b5eda6ec97c8c626cc77506b631234783cbfeaa50aac8c22fcc69e6eb2d4e7,2202,1,1,3,current_review,53,1311,60,0.9999998807907104,5.0,5.0,41.0,644.0,0.0,48,60,0,2.7,2.8,2.0,3.0,48,135,195,0.5
srt_h1024,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,1,3,current_review,56,1456,63,1.0,5.0,5.0,41.0,597.0,0.0,48,63,0,2.46,2.56,2.0,3.0,48,123,186,0.5283018867924528
srt_h1024,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,2,4,historical,167,3986,186,0.30605068802833557,2.0,5.0,111.0,2530.0,1.0,123,186,0,2.56,2.24,3.0,0.0,123,8,194,1.3674698795180724
srt_h1024,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,2,5,historical,175,4364,194,0.0033621129114180803,0.0,2.0,8.0,378.0,0.0,8,194,0,2.24,1.44,0.0,0.0,8,8,202,1.4156626506024097
srt_h1024,17b5eda6ec97c8c626cc77506b631234783cbfeaa50aac8c22fcc69e6eb2d4e7,2202,1,2,4,historical,176,4428,195,0.9999995231628418,5.0,5.0,123.0,3117.0,1.0,135,195,0,2.8,2.9,3.0,4.0,135,392,587,1.4216867469879517
srt_h1024,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,2,6,historical,183,4808,202,0.003426484763622284,0.0,0.0,8.0,444.0,0.0,8,202,0,1.44,1.3,0.0,0.0,8,8,210,1.463855421686747
srt_h1024,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,2,7,historical,191,4997,210,0.09515393525362015,0.0,0.0,8.0,189.0,0.0,8,210,0,1.3,1.3,0.0,0.0,8,8,218,1.5120481927710845
srt_h1024,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,2,8,historical,199,5135,218,0.35586097836494446,2.0,0.0,8.0,138.0,0.0,8,218,0,1.3,1.3,0.0,0.0,8,8,226,1.5602409638554215
srt_h1024,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,2,9,historical,207,5231,226,0.11038088798522949,1.0,2.0,8.0,96.0,0.0,8,226,0,1.3,1.3,0.0,0.0,8,8,234,1.608433734939759
srt_h1024,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,2,10,historical,215,5308,234,0.9951653480529785,5.0,1.0,8.0,77.0,0.0,8,234,0,1.3,1.4,0.0,1.0,8,8,242,1.6566265060240963
srt_h1024,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,2,11,historical,223,5360,242,0.009276480413973331,0.0,5.0,8.0,52.0,0.0,8,242,0,1.4,1.3,1.0,0.0,8,8,250,1.7048192771084336
srt_h1024,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,2,12,historical,231,5400,250,0.9999622106552124,5.0,0.0,8.0,40.0,0.0,8,250,0,1.3,1.4,0.0,1.0,8,8,258,1.7530120481927711
