condition,condition_label,current_task_test_accuracy,fit_population_accuracy,fit_to_validation_gap_pp,joint_iid_test_accuracy,kind,old_task_macro_test_accuracy,optimizer,raw_union_test_accuracy,sampler,selected_training_accuracy,stage,test_accuracy,true_node_oracle_test_accuracy,validation_accuracy,weighting
fresh_full_history,Fresh full-history integrator,72.80701994895935,89.10119533538818,1.9250690937042236,80.2935004234314,offline_diagnostic,72.19648540019989,fresh,68.63207817077637,full_history,89.10119533538818,31,72.69392013549805,83.70020985603333,87.17612624168396,full_history
rotating__example_uniform__carry,Rotating replay / example loss / carry Adam,71.9298243522644,97.8678047657013,16.070497035980225,80.2935004234314,online,69.52129900455475,carry,68.63207817077637,rotating,98.89006018638611,31,70.07337808609009,83.70020985603333,81.79730772972107,example_uniform
rotating__example_uniform__reset_each_stage,Rotating replay / example loss / reset Adam,68.42105388641357,96.74429893493652,14.946991205215454,80.2935004234314,online,70.16391277313232,reset_each_stage,68.63207817077637,rotating,97.7100133895874,31,70.30922174453735,83.70020985603333,81.79730772972107,example_uniform
rotating__task_uniform__carry,Rotating replay / task-balanced / carry Adam,70.17543911933899,97.6053774356842,14.52895998954773,80.2935004234314,online,70.05894422531128,carry,68.63207817077637,rotating,98.55123162269592,31,70.46645879745483,83.70020985603333,83.07641744613647,task_uniform
rotating__task_uniform__reset_each_stage,Rotating replay / task-balanced / reset Adam,71.9298243522644,96.63769006729126,15.397942066192627,80.2935004234314,online,70.55195550123851,reset_each_stage,68.63207817077637,rotating,97.47633934020996,31,70.99056839942932,83.70020985603333,81.23974800109863,task_uniform
static__example_uniform__carry,Fixed replay / example loss / carry Adam,74.56140518188477,96.2686538696289,14.897710084915161,80.2935004234314,online,69.06237026055653,carry,68.63207817077637,static,99.31066632270813,31,69.78511810302734,83.70020985603333,81.37094378471375,example_uniform
static__example_uniform__reset_each_stage,Fixed replay / example loss / reset Adam,71.05262875556946,95.66180109977722,14.848417043685913,80.2935004234314,online,69.18577293554942,reset_each_stage,68.63207817077637,static,98.39934706687927,31,69.6540892124176,83.70020985603333,80.81338405609131,example_uniform
static__task_uniform__carry,Fixed replay / task-balanced / carry Adam,70.17543911933899,95.94062566757202,14.569681882858276,80.2935004234314,online,69.9480817715327,carry,68.63207817077637,static,99.08868074417114,31,70.30922174453735,83.70020985603333,81.37094378471375,task_uniform
static__task_uniform__reset_each_stage,Fixed replay / task-balanced / reset Adam,71.05262875556946,95.48958539962769,13.626676797866821,80.2935004234314,online,69.83084380626678,reset_each_stage,68.63207817077637,static,98.16567301750183,31,70.20440101623535,83.70020985603333,81.86290860176086,task_uniform
fresh_full_history,Fresh full-history integrator,80.90909123420715,91.35937690734863,0.4635453224182129,78.86666655540466,offline_diagnostic,75.00266846345396,fresh,72.79999852180481,full_history,91.35937690734863,50,75.70000290870667,81.11666440963745,90.89583158493042,full_history
rotating__example_uniform__carry,Rotating replay / example loss / carry Adam,77.27272510528564,95.87500095367432,8.500003814697266,78.86666655540466,online,73.41824514525277,carry,72.79999852180481,rotating,97.97589778900146,50,73.91666769981384,81.11666440963745,87.37499713897705,example_uniform
rotating__example_uniform__reset_each_stage,Rotating replay / example loss / reset Adam,80.0000011920929,95.38541436195374,8.302080631256104,78.86666655540466,online,72.94312301947146,reset_each_stage,72.79999852180481,rotating,97.44939804077148,50,73.56666922569275,81.11666440963745,87.08333373069763,example_uniform
rotating__task_uniform__carry,Rotating replay / task-balanced / carry Adam,79.09091114997864,95.6666648387909,9.125000238418579,78.86666655540466,online,73.53791460698964,carry,72.79999852180481,rotating,97.98759818077087,50,73.98333549499512,81.11666440963745,86.54166460037231,task_uniform
rotating__task_uniform__reset_each_stage,Rotating replay / task-balanced / reset Adam,79.09091114997864,95.51562666893005,8.32812786102295,78.86666655540466,online,73.48674584408195,reset_each_stage,72.79999852180481,rotating,97.44939804077148,50,73.93333315849304,81.11666440963745,87.1874988079071,task_uniform
static__example_uniform__carry,Fixed replay / example loss / carry Adam,80.0000011920929,92.27604269981384,8.109378814697266,78.86666655540466,online,71.71665004321507,carry,72.79999852180481,static,99.32140111923218,50,72.46666550636292,81.11666440963745,84.16666388511658,example_uniform
static__example_uniform__reset_each_stage,Fixed replay / example loss / reset Adam,80.90909123420715,92.2239601612091,8.182293176651001,78.86666655540466,online,70.9106915459341,reset_each_stage,72.79999852180481,static,99.1225004196167,50,71.74999713897705,81.11666440963745,84.0416669845581,example_uniform
static__task_uniform__carry,Fixed replay / task-balanced / carry Adam,80.0000011920929,92.51041412353516,7.864582538604736,78.86666655540466,online,72.35255277886682,carry,72.79999852180481,static,99.30970072746277,50,72.88333177566528,81.11666440963745,84.64583158493042,task_uniform
static__task_uniform__reset_each_stage,Fixed replay / task-balanced / reset Adam,78.18182110786438,92.11978912353516,7.307291030883789,78.86666655540466,online,71.45085882167427,reset_each_stage,72.79999852180481,static,98.8066017627716,50,72.11666703224182,81.11666440963745,84.81249809265137,task_uniform
