baseline,comparison,delta_pp,factor,metric,stage
static__example_uniform__carry,rotating__example_uniform__carry,0.4263639450073242,rotating_minus_fixed,validation_accuracy,31
static__example_uniform__reset_each_stage,rotating__example_uniform__reset_each_stage,0.9839236736297607,rotating_minus_fixed,validation_accuracy,31
static__task_uniform__carry,rotating__task_uniform__carry,1.7054736614227295,rotating_minus_fixed,validation_accuracy,31
static__task_uniform__reset_each_stage,rotating__task_uniform__reset_each_stage,-0.6231606006622314,rotating_minus_fixed,validation_accuracy,31
static__example_uniform__carry,static__task_uniform__carry,0.0,task_balanced_minus_example,validation_accuracy,31
static__example_uniform__reset_each_stage,static__task_uniform__reset_each_stage,1.0495245456695557,task_balanced_minus_example,validation_accuracy,31
rotating__example_uniform__carry,rotating__task_uniform__carry,1.2791097164154053,task_balanced_minus_example,validation_accuracy,31
rotating__example_uniform__reset_each_stage,rotating__task_uniform__reset_each_stage,-0.5575597286224365,task_balanced_minus_example,validation_accuracy,31
static__example_uniform__carry,static__example_uniform__reset_each_stage,-0.5575597286224365,reset_minus_carried_adam,validation_accuracy,31
static__task_uniform__carry,static__task_uniform__reset_each_stage,0.49196481704711914,reset_minus_carried_adam,validation_accuracy,31
rotating__example_uniform__carry,rotating__example_uniform__reset_each_stage,0.0,reset_minus_carried_adam,validation_accuracy,31
rotating__task_uniform__carry,rotating__task_uniform__reset_each_stage,-1.8366694450378418,reset_minus_carried_adam,validation_accuracy,31
static__example_uniform__carry,rotating__example_uniform__carry,0.28825998306274414,rotating_minus_fixed,test_accuracy,31
static__example_uniform__reset_each_stage,rotating__example_uniform__reset_each_stage,0.655132532119751,rotating_minus_fixed,test_accuracy,31
static__task_uniform__carry,rotating__task_uniform__carry,0.15723705291748047,rotating_minus_fixed,test_accuracy,31
static__task_uniform__reset_each_stage,rotating__task_uniform__reset_each_stage,0.7861673831939697,rotating_minus_fixed,test_accuracy,31
static__example_uniform__carry,static__task_uniform__carry,0.5241036415100098,task_balanced_minus_example,test_accuracy,31
static__example_uniform__reset_each_stage,static__task_uniform__reset_each_stage,0.550311803817749,task_balanced_minus_example,test_accuracy,31
rotating__example_uniform__carry,rotating__task_uniform__carry,0.3930807113647461,task_balanced_minus_example,test_accuracy,31
rotating__example_uniform__reset_each_stage,rotating__task_uniform__reset_each_stage,0.6813466548919678,task_balanced_minus_example,test_accuracy,31
static__example_uniform__carry,static__example_uniform__reset_each_stage,-0.1310288906097412,reset_minus_carried_adam,test_accuracy,31
static__task_uniform__carry,static__task_uniform__reset_each_stage,-0.10482072830200195,reset_minus_carried_adam,test_accuracy,31
rotating__example_uniform__carry,rotating__example_uniform__reset_each_stage,0.23584365844726562,reset_minus_carried_adam,test_accuracy,31
rotating__task_uniform__carry,rotating__task_uniform__reset_each_stage,0.5241096019744873,reset_minus_carried_adam,test_accuracy,31
static__example_uniform__carry,rotating__example_uniform__carry,3.2083332538604736,rotating_minus_fixed,validation_accuracy,50
static__example_uniform__reset_each_stage,rotating__example_uniform__reset_each_stage,3.0416667461395264,rotating_minus_fixed,validation_accuracy,50
static__task_uniform__carry,rotating__task_uniform__carry,1.8958330154418945,rotating_minus_fixed,validation_accuracy,50
static__task_uniform__reset_each_stage,rotating__task_uniform__reset_each_stage,2.3750007152557373,rotating_minus_fixed,validation_accuracy,50
static__example_uniform__carry,static__task_uniform__carry,0.4791676998138428,task_balanced_minus_example,validation_accuracy,50
static__example_uniform__reset_each_stage,static__task_uniform__reset_each_stage,0.7708311080932617,task_balanced_minus_example,validation_accuracy,50
rotating__example_uniform__carry,rotating__task_uniform__carry,-0.8333325386047363,task_balanced_minus_example,validation_accuracy,50
rotating__example_uniform__reset_each_stage,rotating__task_uniform__reset_each_stage,0.10416507720947266,task_balanced_minus_example,validation_accuracy,50
static__example_uniform__carry,static__example_uniform__reset_each_stage,-0.12499690055847168,reset_minus_carried_adam,validation_accuracy,50
static__task_uniform__carry,static__task_uniform__reset_each_stage,0.16666650772094727,reset_minus_carried_adam,validation_accuracy,50
rotating__example_uniform__carry,rotating__example_uniform__reset_each_stage,-0.29166340827941895,reset_minus_carried_adam,validation_accuracy,50
rotating__task_uniform__carry,rotating__task_uniform__reset_each_stage,0.64583420753479,reset_minus_carried_adam,validation_accuracy,50
static__example_uniform__carry,rotating__example_uniform__carry,1.4500021934509277,rotating_minus_fixed,test_accuracy,50
static__example_uniform__reset_each_stage,rotating__example_uniform__reset_each_stage,1.8166720867156982,rotating_minus_fixed,test_accuracy,50
static__task_uniform__carry,rotating__task_uniform__carry,1.100003719329834,rotating_minus_fixed,test_accuracy,50
static__task_uniform__reset_each_stage,rotating__task_uniform__reset_each_stage,1.8166661262512207,rotating_minus_fixed,test_accuracy,50
static__example_uniform__carry,static__task_uniform__carry,0.41666626930236816,task_balanced_minus_example,test_accuracy,50
static__example_uniform__reset_each_stage,static__task_uniform__reset_each_stage,0.3666698932647705,task_balanced_minus_example,test_accuracy,50
rotating__example_uniform__carry,rotating__task_uniform__carry,0.06666779518127441,task_balanced_minus_example,test_accuracy,50
rotating__example_uniform__reset_each_stage,rotating__task_uniform__reset_each_stage,0.36666393280029297,task_balanced_minus_example,test_accuracy,50
static__example_uniform__carry,static__example_uniform__reset_each_stage,-0.7166683673858643,reset_minus_carried_adam,test_accuracy,50
static__task_uniform__carry,static__task_uniform__reset_each_stage,-0.7666647434234619,reset_minus_carried_adam,test_accuracy,50
rotating__example_uniform__carry,rotating__example_uniform__reset_each_stage,-0.34999847412109375,reset_minus_carried_adam,test_accuracy,50
rotating__task_uniform__carry,rotating__task_uniform__reset_each_stage,-0.050002336502075195,reset_minus_carried_adam,test_accuracy,50
