cumulative_historical_unique,current_examples,current_ids_hash,historical_capacity,historical_examples,historical_ids_hash,historical_novel_since_previous,historical_overlap_fraction,namespace,sampler,sampler_label,schema_version,stage,training_examples,training_ids_hash
0,381,6c03b64b0075ee41c42ff3ec57c8118210741d1c0c2542f94c19a1cf4b05fb7f,8192,0,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,0,,none,static,Fixed replay,imagenetr50-replay-selection-v1,1,381,6c03b64b0075ee41c42ff3ec57c8118210741d1c0c2542f94c19a1cf4b05fb7f
381,412,a8cf5b64ad54f4b2363640358f71e5aa9f14170f51e3aaf1757e78b45de40c8f,8192,381,6c03b64b0075ee41c42ff3ec57c8118210741d1c0c2542f94c19a1cf4b05fb7f,381,0.0,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,2,793,fc9305307fccfc157fe2f9a61130ca85697ba5bb588e5fd590171f761f954dea
793,469,67e615451dfa6f2b4db4fe98627f14aec8a5ac1d471ccabb917b3b33b47f4bba,8192,793,24b3df1f2fd26995a6f636df33482d7f858c216ea0e7dd0eb515b74be0a757a9,412,0.48045397225725095,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,3,1262,36d35ae39ea7e06498f210381c6e31f09797c238244ba4d4b5bb5aab04196fd2
1262,565,b4c350f6488c0543e2b064d832b262dd45d1179f4b547392793b74bdc1e49cee,8192,1262,44e293f884f696044fc47a750bd8c243592e1722fc266c544f6d6dd507c55dfb,469,0.6283676703645008,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,4,1827,fb60fac92d3da5d9f37c5f20b04464b76ddb94becb94dbac9d2ea8fb89b7c77a
1827,413,b9059d28b9d20c0269e1bb94225d417ac50162d6e12942f6bc07fd3eccdf3761,8192,1827,75f01783688cad3f42f5a54d1ce9371ea52b4ed2f08b8ebd90002d5a4670ef04,565,0.6907498631636563,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,5,2240,a1031b85ca58e78bb05052bd3c74f731cbfbdf79c6055be540fe052107b1c46a
2240,387,24b3e8ca7065a505699802b2e500b15495e679a122820e8f27f607353879d45e,8192,2240,d22bfdaffe8916f7aa19de2a917e511dd23f707f6df3e0ed8110549d5d61ddf2,413,0.815625,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,6,2627,6c186279a8a696d9ea18e3c36c30945ef8ac6c0defecc72a8f1df2420747b1ea
2627,369,6332bd6895c91af04a8aa3ce804f3c42d883ac45346cd9ae32ed84407129adc3,8192,2627,6b571ff4fc45b0b8c1c98bbde10e041846e87dfc8f471013004b007edb102f70,387,0.852683669585078,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,7,2996,852de640c390a2d650ad2fa3ade40054c67f721613eee0b84163237d022e5ecb
2996,428,cab923a2955fe7b30ad64dca9756bc8394c5437cdd10bcf986f8f8d34788eb59,8192,2996,41fe7598046442805685dbbc97c477a04265b647f4d4d6c39e9f7b96125d011d,369,0.8768357810413885,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,8,3424,f37d834c1d5379ee6679b77a6852e30cd70b4f46cfa0db6a878de285f47fa977
3424,424,70e03ba89d9ba1f7ed65f72eb186e28460bc2834a67e56a74bbf933627a7db09,8192,3424,8e4f0283d4ac7459806697f0100af2f278cdd4fd4d5d7414128b7a31202ab944,428,0.875,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,9,3848,cd156336a9f3f29f5520b01ebfbe7992ccf05feceafa600ebb3d0f07ec88e0a5
3848,438,50121a602576a1fe392bb30255e3f7fb032227b54888ecd71cbb64815c3ac9db,8192,3848,fd30f5e7647e40a5a47a59c4667ea31bcc18b6cddbe6ee74bd04039ae72baef0,424,0.8898128898128899,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,10,4286,3bc8f5c0bf140fa687ca0946e80db87d3587dbe44256c9dddc24a12f00f03db6
