condition,condition_label,single_layer_test_accuracy,single_layer_validation_accuracy,stage,test_delta_pp,two_layer_test_accuracy,two_layer_validation_accuracy,validation_delta_pp
fresh_full_history,Fresh full-history integrator,72.77253866195679,86.97933554649353,31,-0.07861852645874023,72.69392013549805,87.17612624168396,0.1967906951904297
rotating__example_uniform__carry,Rotating replay / example loss / carry Adam,70.23060917854309,81.07576370239258,31,-0.15723109245300293,70.07337808609009,81.79730772972107,0.7215440273284912
rotating__example_uniform__reset_each_stage,Rotating replay / example loss / reset Adam,69.26100850105286,78.51754426956177,31,1.048213243484497,70.30922174453735,81.79730772972107,3.2797634601593018
rotating__task_uniform__carry,Rotating replay / task-balanced / carry Adam,70.17819881439209,80.48540353775024,31,0.28825998306274414,70.46645879745483,83.07641744613647,2.5910139083862305
rotating__task_uniform__reset_each_stage,Rotating replay / task-balanced / reset Adam,69.7064995765686,79.82945442199707,31,1.2840688228607178,70.99056839942932,81.23974800109863,1.4102935791015625
static__example_uniform__carry,Fixed replay / example loss / carry Adam,69.33962106704712,79.73105907440186,31,0.4454970359802246,69.78511810302734,81.37094378471375,1.6398847103118896
static__example_uniform__reset_each_stage,Fixed replay / example loss / reset Adam,69.39203143119812,79.89504933357239,31,0.2620577812194824,69.6540892124176,80.81338405609131,0.9183347225189209
static__task_uniform__carry,Fixed replay / task-balanced / carry Adam,69.57547068595886,79.73105907440186,31,0.7337510585784912,70.30922174453735,81.37094378471375,1.6398847103118896
static__task_uniform__reset_each_stage,Fixed replay / task-balanced / reset Adam,69.39203143119812,78.91111969947815,31,0.8123695850372314,70.20440101623535,81.86290860176086,2.951788902282715
fresh_full_history,Fresh full-history integrator,75.86666941642761,91.16666913032532,50,-0.16666650772094727,75.70000290870667,90.89583158493042,-0.27083754539489746
rotating__example_uniform__carry,Rotating replay / example loss / carry Adam,73.69999885559082,85.916668176651,50,0.21666884422302246,73.91666769981384,87.37499713897705,1.4583289623260498
rotating__example_uniform__reset_each_stage,Rotating replay / example loss / reset Adam,73.91666769981384,85.68750023841858,50,-0.34999847412109375,73.56666922569275,87.08333373069763,1.3958334922790527
rotating__task_uniform__carry,Rotating replay / task-balanced / carry Adam,74.04999732971191,85.97916960716248,50,-0.06666183471679688,73.98333549499512,86.54166460037231,0.5624949932098389
rotating__task_uniform__reset_each_stage,Rotating replay / task-balanced / reset Adam,73.54999780654907,85.85416674613953,50,0.3833353519439697,73.93333315849304,87.1874988079071,1.3333320617675781
static__example_uniform__carry,Fixed replay / example loss / carry Adam,72.01666831970215,83.22916626930237,50,0.4499971866607666,72.46666550636292,84.16666388511658,0.937497615814209
static__example_uniform__reset_each_stage,Fixed replay / example loss / reset Adam,70.23333311080933,80.8958351612091,50,1.5166640281677246,71.74999713897705,84.0416669845581,3.145831823348999
static__task_uniform__carry,Fixed replay / task-balanced / carry Adam,72.11666703224182,83.47916603088379,50,0.7666647434234619,72.88333177566528,84.64583158493042,1.1666655540466309
static__task_uniform__reset_each_stage,Fixed replay / task-balanced / reset Adam,71.36666774749756,83.08333158493042,50,0.7499992847442627,72.11666703224182,84.81249809265137,1.7291665077209473
