accuracy,condition,partition,stage,task
96.85039520263672,static__example_uniform__carry,fit_population,31,1
97.71689772605896,static__example_uniform__carry,fit_population,31,10
96.20253443717957,static__example_uniform__carry,fit_population,31,11
96.19565010070801,static__example_uniform__carry,fit_population,31,12
97.79950976371765,static__example_uniform__carry,fit_population,31,13
97.85714149475098,static__example_uniform__carry,fit_population,31,14
97.04301357269287,static__example_uniform__carry,fit_population,31,15
97.39952683448792,static__example_uniform__carry,fit_population,31,16
96.9924807548523,static__example_uniform__carry,fit_population,31,17
95.56213021278381,static__example_uniform__carry,fit_population,31,18
97.1098244190216,static__example_uniform__carry,fit_population,31,19
97.33009934425354,static__example_uniform__carry,fit_population,31,2
95.67901492118835,static__example_uniform__carry,fit_population,31,20
94.38444972038269,static__example_uniform__carry,fit_population,31,21
96.09375,static__example_uniform__carry,fit_population,31,22
95.18716335296631,static__example_uniform__carry,fit_population,31,23
95.6204354763031,static__example_uniform__carry,fit_population,31,24
95.14563083648682,static__example_uniform__carry,fit_population,31,25
94.16243433952332,static__example_uniform__carry,fit_population,31,26
93.87186765670776,static__example_uniform__carry,fit_population,31,27
96.59442901611328,static__example_uniform__carry,fit_population,31,28
95.05494236946106,static__example_uniform__carry,fit_population,31,29
97.22814559936523,static__example_uniform__carry,fit_population,31,3
94.89051103591919,static__example_uniform__carry,fit_population,31,30
93.18801164627075,static__example_uniform__carry,fit_population,31,31
97.52212166786194,static__example_uniform__carry,fit_population,31,4
96.36803865432739,static__example_uniform__carry,fit_population,31,5
96.89922332763672,static__example_uniform__carry,fit_population,31,6
97.56097793579102,static__example_uniform__carry,fit_population,31,7
96.96261882781982,static__example_uniform__carry,fit_population,31,8
96.69811129570007,static__example_uniform__carry,fit_population,31,9
86.17021441459656,static__example_uniform__carry,validation,31,1
87.15596199035645,static__example_uniform__carry,validation,31,10
83.54430198669434,static__example_uniform__carry,validation,31,11
83.87096524238586,static__example_uniform__carry,validation,31,12
86.27451062202454,static__example_uniform__carry,validation,31,13
91.50943160057068,static__example_uniform__carry,validation,31,14
81.72042965888977,static__example_uniform__carry,validation,31,15
78.30188870429993,static__example_uniform__carry,validation,31,16
75.75757503509521,static__example_uniform__carry,validation,31,17
76.47058963775635,static__example_uniform__carry,validation,31,18
77.01149582862854,static__example_uniform__carry,validation,31,19
85.29411554336548,static__example_uniform__carry,validation,31,2
79.2682945728302,static__example_uniform__carry,validation,31,20
78.44827771186829,static__example_uniform__carry,validation,31,21
72.91666865348816,static__example_uniform__carry,validation,31,22
80.85106611251831,static__example_uniform__carry,validation,31,23
75.71428418159485,static__example_uniform__carry,validation,31,24
66.03773832321167,static__example_uniform__carry,validation,31,25
