arm,arm_label,result_source,policy,max_nodes_per_level,run_seed,training_sample_multiplier,base_parameter_count,condition,learned_permutation_count,active_node_count,input_slot_count,integrator_parameter_count,accuracy,cross_entropy,training_examples,current_examples,historical_examples,epochs,total_training_wall_seconds,state_initialization_wall_seconds,data_preparation_wall_seconds,feature_wall_seconds,optimizer_wall_seconds,total_training_forward_example_passes,feature_forward_example_passes,integrator_forward_example_passes,integrator_backward_example_passes,feature_forward_calls,integrator_forward_calls,integrator_backward_calls,excluded_diagnostic_forward_example_passes,excluded_evaluation_examples,excluded_evaluation_feature_forward_example_passes,excluded_evaluation_integrator_forward_example_passes_per_condition
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,1,1,7,4411658,0.82421875,0.8780616521835327,256,256,0,4,0.08224745653569698,0.031409524381160736,0.0,0.02615107223391533,0.02468685992062092,1280,256,1024,1024,1,8,8,512,256,256,256
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,full_replay_integrator_20_epochs,1,1,7,4411658,0.8203125,0.9646120071411133,256,256,0,20,0.14247013814747334,0.027294520288705826,0.00037779659032821655,0.010229827836155891,0.1045679934322834,5376,256,5120,5120,1,40,40,512,256,256,256
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,2,1,7,4411658,0.826171875,0.8592020273208618,512,256,256,4,0.09212708845734596,0.0,0.0006017442792654037,0.02525619976222515,0.06626914441585541,2560,512,2048,2048,2,32,16,1024,512,512,512
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,full_replay_integrator_20_epochs,2,1,7,4411658,0.810546875,0.7688369154930115,512,512,0,20,0.24017280526459217,0.025218699127435684,0.0003853142261505127,0.015393972396850586,0.1991748195141554,10752,512,10240,10240,1,80,80,1024,512,512,512
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,3,2,7,4411658,0.7200520634651184,1.0439220666885376,512,256,256,4,0.10146799497306347,0.0,0.0008313599973917007,0.03360697627067566,0.06702965870499611,3072,1024,2048,2048,4,32,16,1024,768,1536,768
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,4,1,7,4411658,0.8134765625,0.9182229042053223,512,256,256,4,0.08247427828609943,0.0,0.0009253695607185364,0.018759332597255707,0.06278957612812519,2560,512,2048,2048,2,32,16,1024,1024,1024,1024
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,full_replay_integrator_20_epochs,4,1,7,4411658,0.796875,0.7518434524536133,1024,1024,0,20,0.43471304327249527,0.028019316494464874,0.0006060712039470673,0.012358378618955612,0.3937292769551277,21504,1024,20480,20480,1,160,160,2048,1024,1024,1024
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,5,2,7,4411658,0.715624988079071,1.0387754440307617,512,256,256,4,0.10342840477824211,0.0,0.001000804826617241,0.03112056478857994,0.07130703516304493,3072,1024,2048,2048,4,32,16,1024,1280,2560,1280
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,6,2,7,4411658,0.6848958134651184,1.0940788984298706,512,256,256,4,0.10641450434923172,0.0,0.001201927661895752,0.03399934992194176,0.07121322676539421,3072,1024,2048,2048,4,32,16,1024,1536,3072,1536
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,7,3,7,4411658,0.6752232313156128,1.1574442386627197,512,256,256,4,0.11627707444131374,0.0,0.001587849110364914,0.043817294761538506,0.07087193056941032,3584,1536,2048,2048,6,32,16,1024,1792,5376,1792
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,8,1,7,4411658,0.796875,0.910027265548706,512,256,256,4,0.0944181066006422,0.0,0.001595422625541687,0.0241701640188694,0.06865251995623112,2560,512,2048,2048,2,32,16,1024,2048,2048,2048
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,full_replay_integrator_20_epochs,8,1,7,4411658,0.8095703125,0.7378510236740112,2048,2048,0,20,0.891301054507494,0.02730153314769268,0.0010853838175535202,0.019175603985786438,0.8437385335564613,43008,2048,40960,40960,1,320,320,4096,2048,2048,2048
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,9,2,7,4411658,0.7374131679534912,1.0705962181091309,512,256,256,4,0.10743745975196362,0.0,0.0018268339335918427,0.03450104407966137,0.0711095817387104,3072,1024,2048,2048,4,32,16,1024,2304,4608,2304
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,10,2,7,4411658,0.741015613079071,1.08193039894104,512,256,256,4,0.10090621933341026,0.0,0.0016610696911811829,0.03576991893351078,0.0634752307087183,3072,1024,2048,2048,4,32,16,1024,2560,5120,2560
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,full_replay_integrator_20_epochs,10,2,7,4411658,0.8031250238418579,0.9989432096481323,2560,2560,0,20,1.1523139160126448,0.025309674441814423,0.001264745369553566,0.05031401664018631,1.0754254795610905,56320,5120,51200,51200,4,400,400,5120,2560,5120,2560
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,11,3,7,4411658,0.69140625,1.125044822692871,512,256,256,4,0.11350644752383232,0.0,0.0018888823688030243,0.045438673347234726,0.06617889180779457,3584,1536,2048,2048,6,32,16,1024,2816,8448,2816
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,12,2,7,4411658,0.7239583134651184,1.0556833744049072,512,256,256,4,0.0986950732767582,0.0,0.002267831936478615,0.029626725241541862,0.06680051609873772,3072,1024,2048,2048,4,32,16,1024,3072,6144,3072
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,13,3,7,4411658,0.7055288553237915,1.0521914958953857,512,256,256,4,0.11095436848700047,0.0,0.0022415313869714737,0.04272102005779743,0.06599181704223156,3584,1536,2048,2048,6,32,16,1024,3328,9984,3328
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,14,3,7,4411658,0.7215401530265808,1.0180797576904297,512,256,256,4,0.11555366963148117,0.0,0.0026538074016571045,0.04570179060101509,0.06719807162880898,3584,1536,2048,2048,6,32,16,1024,3584,10752,3584
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,15,4,7,4411658,0.6940104365348816,1.073086142539978,512,256,256,4,0.12732560373842716,0.0,0.002501867711544037,0.0525373350828886,0.07228640094399452,4096,2048,2048,2048,8,32,16,1024,3840,15360,3840
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,16,1,7,4411658,0.806884765625,0.8616979718208313,512,256,256,4,0.09298685006797314,0.0,0.0024617407470941544,0.0188966803252697,0.07162842899560928,2560,512,2048,2048,2,32,16,1024,4096,4096,4096
