arm,policy,max_nodes_per_level,run_seed,training_sample_multiplier,learned_permutation_count,created_node_count,shared_forward_example_passes,shared_backward_example_passes,shared_forward_calls,shared_backward_calls
reference_model_8192_samples,one_node_per_level,1,0,32,1,1,163840,163840,2560,2560
reference_model_8192_samples,one_node_per_level,1,0,32,2,2,491520,491520,7680,7680
reference_model_8192_samples,one_node_per_level,1,0,32,3,1,163840,163840,2560,2560
reference_model_8192_samples,one_node_per_level,1,0,32,4,3,1146880,1146880,17920,17920
reference_model_8192_samples,one_node_per_level,1,0,32,5,1,163840,163840,2560,2560
reference_model_8192_samples,one_node_per_level,1,0,32,6,2,491520,491520,7680,7680
reference_model_8192_samples,one_node_per_level,1,0,32,7,1,163840,163840,2560,2560
reference_model_8192_samples,one_node_per_level,1,0,32,8,4,2457600,2457600,38400,38400
reference_model_8192_samples,one_node_per_level,1,0,32,9,1,163840,163840,2560,2560
reference_model_8192_samples,one_node_per_level,1,0,32,10,2,491520,491520,7680,7680
reference_model_8192_samples,one_node_per_level,1,0,32,11,1,163840,163840,2560,2560
reference_model_8192_samples,one_node_per_level,1,0,32,12,3,1146880,1146880,17920,17920
reference_model_8192_samples,one_node_per_level,1,0,32,13,1,163840,163840,2560,2560
reference_model_8192_samples,one_node_per_level,1,0,32,14,2,491520,491520,7680,7680
reference_model_8192_samples,one_node_per_level,1,0,32,15,1,163840,163840,2560,2560
reference_model_8192_samples,one_node_per_level,1,0,32,16,5,5079040,5079040,79360,79360
reference_model_8192_samples,one_node_per_level,1,0,32,17,1,163840,163840,2560,2560
reference_model_8192_samples,one_node_per_level,1,0,32,18,2,491520,491520,7680,7680
reference_model_8192_samples,one_node_per_level,1,0,32,19,1,163840,163840,2560,2560
reference_model_8192_samples,one_node_per_level,1,0,32,20,3,1146880,1146880,17920,17920
reference_model_8192_samples,one_node_per_level,1,0,32,21,1,163840,163840,2560,2560
reference_model_8192_samples,one_node_per_level,1,0,32,22,2,491520,491520,7680,7680
reference_model_8192_samples,one_node_per_level,1,0,32,23,1,163840,163840,2560,2560
