sample_multiplier,sample_count_per_role,candidate_status,macro_step,epoch,accuracy,cross_entropy
1,256,failed_threshold,1,1,0.78125,1.1709641218185425
1,256,failed_threshold,1,2,0.78125,1.0986456871032715
1,256,failed_threshold,1,3,0.8125,1.0228508710861206
1,256,failed_threshold,1,4,0.8046875,0.9653189182281494
1,256,failed_threshold,1,5,0.7890625,0.9101771116256714
1,256,failed_threshold,1,6,0.8046875,0.8966497182846069
1,256,failed_threshold,1,7,0.8046875,0.9246199727058411
1,256,failed_threshold,1,8,0.8046875,0.8870580196380615
1,256,failed_threshold,1,9,0.8203125,0.9173000454902649
1,256,failed_threshold,1,10,0.8359375,0.9243189096450806
1,256,failed_threshold,1,11,0.8203125,0.8995576500892639
1,256,failed_threshold,1,12,0.8125,0.8867868781089783
1,256,failed_threshold,1,13,0.8203125,0.9391836524009705
1,256,failed_threshold,1,14,0.8359375,0.999022364616394
1,256,failed_threshold,1,15,0.8359375,1.0133873224258423
1,256,failed_threshold,1,16,0.8359375,1.0192338228225708
1,256,failed_threshold,1,17,0.8203125,0.9822477698326111
1,256,failed_threshold,1,18,0.8046875,0.9718902111053467
1,256,failed_threshold,1,19,0.8203125,1.0094707012176514
1,256,failed_threshold,1,20,0.796875,1.031334638595581
1,256,failed_threshold,2,1,0.77734375,1.2723067998886108
1,256,failed_threshold,2,2,0.76953125,1.1360491514205933
1,256,failed_threshold,2,3,0.77734375,1.1152150630950928
1,256,failed_threshold,2,4,0.78515625,1.0535722970962524
1,256,failed_threshold,2,5,0.796875,0.9991416931152344
1,256,failed_threshold,2,6,0.7890625,0.9893057942390442
1,256,failed_threshold,2,7,0.76953125,0.9968982338905334
1,256,failed_threshold,2,8,0.796875,0.9907345175743103
1,256,failed_threshold,2,9,0.7890625,0.9926528930664062
1,256,failed_threshold,2,10,0.76953125,1.0033612251281738
1,256,failed_threshold,2,11,0.78125,0.9935824871063232
1,256,failed_threshold,2,12,0.8046875,1.0186458826065063
1,256,failed_threshold,2,13,0.7890625,0.9749146103858948
1,256,failed_threshold,2,14,0.79296875,0.9353800415992737
1,256,failed_threshold,2,15,0.7890625,0.9659014940261841
1,256,failed_threshold,2,16,0.7890625,0.9416722059249878
1,256,failed_threshold,2,17,0.7890625,0.9068890810012817
1,256,failed_threshold,2,18,0.78515625,0.9432642459869385
1,256,failed_threshold,2,19,0.77734375,0.983630359172821
1,256,failed_threshold,2,20,0.79296875,0.9126988053321838
1,256,failed_threshold,3,1,0.7265625,1.2280687093734741
1,256,failed_threshold,3,2,0.7447916865348816,1.1562827825546265
1,256,failed_threshold,3,3,0.7604166865348816,1.0981656312942505
1,256,failed_threshold,3,4,0.7578125,1.038035273551941
1,256,failed_threshold,3,5,0.7760416865348816,1.0211831331253052
1,256,failed_threshold,3,6,0.7786458134651184,1.0241578817367554
1,256,failed_threshold,3,7,0.7864583134651184,0.9885244965553284
1,256,failed_threshold,3,8,0.78125,0.992408275604248
1,256,failed_threshold,3,9,0.7708333134651184,1.0507532358169556
1,256,failed_threshold,3,10,0.7526041865348816,1.1529500484466553
1,256,failed_threshold,3,11,0.7447916865348816,1.2588937282562256
1,256,failed_threshold,3,12,0.765625,1.227745771408081
1,256,failed_threshold,3,13,0.7421875,1.2527908086776733
1,256,failed_threshold,3,14,0.7786458134651184,1.1800717115402222
1,256,failed_threshold,3,15,0.7916666865348816,1.2271862030029297
1,256,failed_threshold,3,16,0.7734375,1.3144395351409912
1,256,failed_threshold,3,17,0.7786458134651184,1.3070324659347534
1,256,failed_threshold,3,18,0.765625,1.268174171447754
1,256,failed_threshold,3,19,0.7864583134651184,1.286702036857605
1,256,failed_threshold,3,20,0.7786458134651184,1.3945878744125366
1,256,failed_threshold,4,1,0.8125,0.9583388566970825
1,256,failed_threshold,4,2,0.822265625,0.8682026267051697
1,256,failed_threshold,4,3,0.8046875,0.8093928694725037
1,256,failed_threshold,4,4,0.796875,0.8298195600509644
1,256,failed_threshold,4,5,0.798828125,0.8049577474594116
1,256,failed_threshold,4,6,0.80859375,0.7722323536872864
1,256,failed_threshold,4,7,0.796875,0.7409458756446838
1,256,failed_threshold,4,8,0.806640625,0.7416671514511108
1,256,failed_threshold,4,9,0.798828125,0.7437536120414734
1,256,failed_threshold,4,10,0.810546875,0.7734981775283813
1,256,failed_threshold,4,11,0.80078125,0.7572551369667053
1,256,failed_threshold,4,12,0.8046875,0.7398583889007568
1,256,failed_threshold,4,13,0.814453125,0.7459685802459717
1,256,failed_threshold,4,14,0.810546875,0.7349493503570557
1,256,failed_threshold,4,15,0.810546875,0.7677069902420044
1,256,failed_threshold,4,16,0.810546875,0.7598987221717834
1,256,failed_threshold,4,17,0.802734375,0.7625226974487305
1,256,failed_threshold,4,18,0.8125,0.7554877996444702
1,256,failed_threshold,4,19,0.814453125,0.7624959349632263
1,256,failed_threshold,4,20,0.80078125,0.773704469203949
1,256,failed_threshold,5,1,0.7671874761581421,1.0545803308486938
1,256,failed_threshold,5,2,0.762499988079071,0.8987420797348022
1,256,failed_threshold,5,3,0.801562488079071,0.8046083450317383
