arm,arm_label,result_source,policy,max_nodes_per_level,run_seed,training_sample_multiplier,base_parameter_count,condition,learned_permutation_count,active_node_count,input_slot_count,integrator_parameter_count,accuracy,cross_entropy,training_examples,current_examples,historical_examples,epochs,total_training_wall_seconds,state_initialization_wall_seconds,data_preparation_wall_seconds,feature_wall_seconds,optimizer_wall_seconds,feature_storage,peak_resident_feature_rows,temporary_feature_cache_bytes,total_training_forward_example_passes,feature_forward_example_passes,integrator_forward_example_passes,integrator_backward_example_passes,feature_forward_calls,integrator_forward_calls,integrator_backward_calls,excluded_diagnostic_forward_example_passes,excluded_evaluation_examples,excluded_evaluation_feature_forward_example_passes,excluded_evaluation_integrator_forward_example_passes_per_condition
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,1,1,7,4411658,0.94921875,0.18097324669361115,8192,8192,0,4,0.751978175714612,0.025208326056599617,0.0,0.10154728218913078,0.6252225674688816,,,,40960,8192,32768,32768,4,256,256,16384,256,256,256
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,full_replay_integrator_calibrated_epochs,1,1,7,4411658,0.96484375,0.17880675196647644,8192,8192,0,3,0.8758560121059418,0.024769911542534828,0.28906626626849174,0.09869587607681751,0.4633239582180977,temporary_float32_memory_map,8192,120324096,32768,8192,24576,24576,4,192,192,0,256,256,256
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,2,1,7,4411658,0.9609375,0.2436748743057251,16384,8192,8192,4,2.111193737015128,0.0,0.02128954418003559,0.20356997661292553,1.886334216222167,,,,81920,16384,65536,65536,8,1024,512,32768,512,512,512
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,full_replay_integrator_calibrated_epochs,2,1,7,4411658,0.953125,0.2256118804216385,16384,16384,0,3,1.8304318189620972,0.02568894997239113,0.6345943082123995,0.19811463728547096,0.9720339234918356,temporary_float32_memory_map,8192,240648192,65536,16384,49152,49152,8,384,384,0,512,512,512
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,3,2,7,4411658,0.9583333134651184,0.1643316149711609,16384,8192,8192,4,2.23425923101604,0.0,0.03412366844713688,0.27430588379502296,1.92582967877388,,,,98304,32768,65536,65536,16,1024,512,32768,768,1536,768
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,4,1,7,4411658,0.953125,0.16212151944637299,16384,8192,8192,4,2.1372738108038902,0.0,0.041056977584958076,0.21273584105074406,1.883480992168188,,,,81920,16384,65536,65536,8,1024,512,32768,1024,1024,1024
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,full_replay_integrator_calibrated_epochs,4,1,7,4411658,0.9599609375,0.17665459215641022,32768,32768,0,3,3.647576266899705,0.028060253709554672,1.2624928131699562,0.44774642400443554,1.9092767760157585,temporary_float32_memory_map,8192,481296384,131072,32768,98304,98304,16,768,768,0,1024,1024,1024
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,5,2,7,4411658,0.9593750238418579,0.18079039454460144,16384,8192,8192,4,2.2427211198955774,0.0,0.05398094467818737,0.27814632654190063,1.9105938486754894,,,,98304,32768,65536,65536,16,1024,512,32768,1280,2560,1280
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,6,2,7,4411658,0.9557291865348816,0.18008953332901,16384,8192,8192,4,2.193332903087139,0.0,0.06319774128496647,0.2694580554962158,1.8606771063059568,,,,98304,32768,65536,65536,16,1024,512,32768,1536,3072,1536
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,7,3,7,4411658,0.9520089030265808,0.19966323673725128,16384,8192,8192,4,2.237587982788682,0.0,0.06824424304068089,0.33259541913866997,1.8367483206093311,,,,114688,49152,65536,65536,24,1024,512,32768,1792,5376,1792
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,8,1,7,4411658,0.9580078125,0.20121033489704132,16384,8192,8192,4,2.151438983157277,0.0,0.07479670830070972,0.2129495907574892,1.8636926840990782,,,,81920,16384,65536,65536,8,1024,512,32768,2048,2048,2048
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,full_replay_integrator_calibrated_epochs,8,1,7,4411658,0.951171875,0.17206428945064545,65536,65536,0,3,7.2347998563200235,0.02634253352880478,2.502493195235729,0.7826512474566698,3.9233128800988197,temporary_float32_memory_map,8192,962592768,262144,65536,196608,196608,32,1536,1536,0,2048,2048,2048
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,9,2,7,4411658,0.9500868320465088,0.20058441162109375,16384,8192,8192,4,2.238955521956086,0.0,0.08800555393099785,0.26564363203942776,1.8853063359856606,,,,98304,32768,65536,65536,16,1024,512,32768,2304,4608,2304
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,10,2,7,4411658,0.955859363079071,0.17856073379516602,16384,8192,8192,4,2.2233347464352846,0.0,0.09911100007593632,0.25913076288998127,1.865092983469367,,,,98304,32768,65536,65536,16,1024,512,32768,2560,5120,2560
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,full_replay_integrator_calibrated_epochs,10,2,7,4411658,0.9593750238418579,0.15386365354061127,81920,81920,0,3,9.148650586605072,0.022217068821191788,3.078394716605544,1.2133721876889467,4.834666613489389,temporary_float32_memory_map,8192,1203240960,409600,163840,245760,245760,80,1920,1920,0,2560,5120,2560
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,11,3,7,4411658,0.9520596861839294,0.18112845718860626,16384,8192,8192,4,2.3332471400499344,0.0,0.120386878028512,0.31949728913605213,1.8933629728853703,,,,114688,49152,65536,65536,24,1024,512,32768,2816,8448,2816
