policy,max_nodes_per_level,run_seed,learned_permutation_count,created_node_count,shared_forward_example_passes,shared_backward_example_passes,shared_forward_calls,shared_backward_calls
one_node_per_level,1,0,1,1,5120,5120,80,80
one_node_per_level,1,0,2,2,15360,15360,240,240
one_node_per_level,1,0,3,1,5120,5120,80,80
one_node_per_level,1,0,4,3,35840,35840,560,560
one_node_per_level,1,0,5,1,5120,5120,80,80
one_node_per_level,1,0,6,2,15360,15360,240,240
one_node_per_level,1,0,7,1,5120,5120,80,80
one_node_per_level,1,0,8,4,76800,76800,1200,1200
one_node_per_level,1,0,9,1,5120,5120,80,80
one_node_per_level,1,0,10,2,15360,15360,240,240
one_node_per_level,1,0,11,1,5120,5120,80,80
one_node_per_level,1,0,12,3,35840,35840,560,560
one_node_per_level,1,0,13,1,5120,5120,80,80
one_node_per_level,1,0,14,2,15360,15360,240,240
one_node_per_level,1,0,15,1,5120,5120,80,80
one_node_per_level,1,0,16,5,158720,158720,2480,2480
one_node_per_level,1,0,17,1,5120,5120,80,80
one_node_per_level,1,0,18,2,15360,15360,240,240
one_node_per_level,1,0,19,1,5120,5120,80,80
one_node_per_level,1,0,20,3,35840,35840,560,560
one_node_per_level,1,0,21,1,5120,5120,80,80
one_node_per_level,1,0,22,2,15360,15360,240,240
one_node_per_level,1,0,23,1,5120,5120,80,80
one_node_per_level,1,0,24,4,76800,76800,1200,1200
one_node_per_level,1,0,25,1,5120,5120,80,80
one_node_per_level,1,0,26,2,15360,15360,240,240
one_node_per_level,1,0,27,1,5120,5120,80,80
one_node_per_level,1,0,28,3,35840,35840,560,560
one_node_per_level,1,0,29,1,5120,5120,80,80
one_node_per_level,1,0,30,2,15360,15360,240,240
one_node_per_level,1,0,31,1,5120,5120,80,80
one_node_per_level,1,0,32,6,322560,322560,5040,5040
one_node_per_level,1,0,33,1,5120,5120,80,80
one_node_per_level,1,0,34,2,15360,15360,240,240
one_node_per_level,1,0,35,1,5120,5120,80,80
one_node_per_level,1,0,36,3,35840,35840,560,560
one_node_per_level,1,0,37,1,5120,5120,80,80
one_node_per_level,1,0,38,2,15360,15360,240,240
one_node_per_level,1,0,39,1,5120,5120,80,80
one_node_per_level,1,0,40,4,76800,76800,1200,1200
one_node_per_level,1,0,41,1,5120,5120,80,80
one_node_per_level,1,0,42,2,15360,15360,240,240
one_node_per_level,1,0,43,1,5120,5120,80,80
one_node_per_level,1,0,44,3,35840,35840,560,560
one_node_per_level,1,0,45,1,5120,5120,80,80
one_node_per_level,1,0,46,2,15360,15360,240,240
one_node_per_level,1,0,47,1,5120,5120,80,80
one_node_per_level,1,0,48,5,158720,158720,2480,2480
one_node_per_level,1,0,49,1,5120,5120,80,80
one_node_per_level,1,0,50,2,15360,15360,240,240
one_node_per_level,1,0,51,1,5120,5120,80,80
one_node_per_level,1,0,52,3,35840,35840,560,560
one_node_per_level,1,0,53,1,5120,5120,80,80
one_node_per_level,1,0,54,2,15360,15360,240,240
one_node_per_level,1,0,55,1,5120,5120,80,80
one_node_per_level,1,0,56,4,76800,76800,1200,1200
one_node_per_level,1,0,57,1,5120,5120,80,80
one_node_per_level,1,0,58,2,15360,15360,240,240
one_node_per_level,1,0,59,1,5120,5120,80,80
one_node_per_level,1,0,60,3,35840,35840,560,560
one_node_per_level,1,0,61,1,5120,5120,80,80
one_node_per_level,1,0,62,2,15360,15360,240,240
one_node_per_level,1,0,63,1,5120,5120,80,80
one_node_per_level,1,0,64,7,650240,650240,10160,10160
one_node_per_level,1,0,65,1,5120,5120,80,80
one_node_per_level,1,0,66,2,15360,15360,240,240
one_node_per_level,1,0,67,1,5120,5120,80,80
one_node_per_level,1,0,68,3,35840,35840,560,560
one_node_per_level,1,0,69,1,5120,5120,80,80
one_node_per_level,1,0,70,2,15360,15360,240,240
one_node_per_level,1,0,71,1,5120,5120,80,80
one_node_per_level,1,0,72,4,76800,76800,1200,1200
one_node_per_level,1,0,73,1,5120,5120,80,80
one_node_per_level,1,0,74,2,15360,15360,240,240
one_node_per_level,1,0,75,1,5120,5120,80,80
one_node_per_level,1,0,76,3,35840,35840,560,560
one_node_per_level,1,0,77,1,5120,5120,80,80
one_node_per_level,1,0,78,2,15360,15360,240,240
one_node_per_level,1,0,79,1,5120,5120,80,80
one_node_per_level,1,0,80,5,158720,158720,2480,2480
one_node_per_level,1,0,81,1,5120,5120,80,80
one_node_per_level,1,0,82,2,15360,15360,240,240
one_node_per_level,1,0,83,1,5120,5120,80,80
one_node_per_level,1,0,84,3,35840,35840,560,560
one_node_per_level,1,0,85,1,5120,5120,80,80
one_node_per_level,1,0,86,2,15360,15360,240,240
one_node_per_level,1,0,87,1,5120,5120,80,80
one_node_per_level,1,0,88,4,76800,76800,1200,1200
one_node_per_level,1,0,89,1,5120,5120,80,80
one_node_per_level,1,0,90,2,15360,15360,240,240
one_node_per_level,1,0,91,1,5120,5120,80,80
one_node_per_level,1,0,92,3,35840,35840,560,560
