condition,learned_permutation_count,active_node_count,accuracy,cross_entropy,training_examples,current_examples,historical_examples,epochs,total_training_wall_seconds,state_initialization_wall_seconds,data_preparation_wall_seconds,feature_wall_seconds,optimizer_wall_seconds,total_training_forward_example_passes,feature_forward_example_passes,integrator_forward_example_passes,integrator_backward_example_passes,feature_forward_calls,integrator_forward_calls,integrator_backward_calls,excluded_diagnostic_forward_example_passes,excluded_evaluation_examples,excluded_evaluation_feature_forward_example_passes,excluded_evaluation_integrator_forward_example_passes_per_condition
integrator_uniform_replay,1,1,0.82421875,0.8780616521835327,256,256,0,4,0.07266011834144592,0.0304778590798378,0.0,0.01648322492837906,0.025699034333229065,1280,256,1024,1024,1,8,8,512,256,256,256
full_replay_integrator_20_epochs,1,1,0.8203125,0.9646120071411133,256,256,0,20,0.14040455594658852,0.02459144778549671,0.00027983076870441437,0.00977160595357418,0.10576167143881321,5376,256,5120,5120,1,40,40,512,256,256,256
integrator_uniform_replay,2,1,0.826171875,0.8592020273208618,512,256,256,4,0.09205609560012817,0.0,0.0007126834243535995,0.024561600759625435,0.06678181141614914,2560,512,2048,2048,2,32,16,1024,512,512,512
full_replay_integrator_20_epochs,2,1,0.810546875,0.7688369154930115,512,512,0,20,0.24409360624849796,0.025822408497333527,0.0004098694771528244,0.014524860307574272,0.20333646796643734,10752,512,10240,10240,1,80,80,1024,512,512,512
integrator_uniform_replay,3,2,0.7200520634651184,1.0439220666885376,512,256,256,4,0.10368274711072445,0.0,0.000737631693482399,0.0301355067640543,0.07280960865318775,3072,1024,2048,2048,4,32,16,1024,768,1536,768
integrator_uniform_replay,4,1,0.8134765625,0.9182229042053223,512,256,256,4,0.09214074537158012,0.0,0.0008720885962247849,0.03162294253706932,0.05964571423828602,2560,512,2048,2048,2,32,16,1024,1024,1024,1024
full_replay_integrator_20_epochs,4,1,0.796875,0.7518434524536133,1024,1024,0,20,0.43741663359105587,0.03017888031899929,0.000593157485127449,0.013931594789028168,0.39271300099790096,21504,1024,20480,20480,1,160,160,2048,1024,1024,1024
integrator_uniform_replay,5,2,0.715624988079071,1.0387754440307617,512,256,256,4,0.10865415446460247,0.0,0.0011611972004175186,0.036544835194945335,0.07094812206923962,3072,1024,2048,2048,4,32,16,1024,1280,2560,1280
integrator_uniform_replay,6,2,0.6848958134651184,1.0940788984298706,512,256,256,4,0.11723574250936508,0.0,0.0011454671621322632,0.03842231072485447,0.07766796462237835,3072,1024,2048,2048,4,32,16,1024,1536,3072,1536
integrator_uniform_replay,7,3,0.6752232313156128,1.1574442386627197,512,256,256,4,0.13330143131315708,0.0,0.0012413877993822098,0.05370337888598442,0.07835666462779045,3584,1536,2048,2048,6,32,16,1024,1792,5376,1792
integrator_uniform_replay,8,1,0.796875,0.910027265548706,512,256,256,4,0.09494737535715103,0.0,0.0014247279614210129,0.02207561582326889,0.07144703157246113,2560,512,2048,2048,2,32,16,1024,2048,2048,2048
full_replay_integrator_20_epochs,8,1,0.8095703125,0.7378510236740112,2048,2048,0,20,0.8903423137962818,0.024331651628017426,0.0015601962804794312,0.024757103994488716,0.8396933618932962,43008,2048,40960,40960,1,320,320,4096,2048,2048,2048
integrator_uniform_replay,9,2,0.7374131679534912,1.0705962181091309,512,256,256,4,0.11161524429917336,0.0,0.0018170550465583801,0.03818672522902489,0.07161146402359009,3072,1024,2048,2048,4,32,16,1024,2304,4608,2304
integrator_uniform_replay,10,2,0.741015613079071,1.08193039894104,512,256,256,4,0.09568302892148495,0.0,0.0017717964947223663,0.029251134023070335,0.06466009840369225,3072,1024,2048,2048,4,32,16,1024,2560,5120,2560
full_replay_integrator_20_epochs,10,2,0.8031250238418579,0.9989432096481323,2560,2560,0,20,1.14905577711761,0.02422003261744976,0.0013041701167821884,0.0503123514354229,1.0732192229479551,56320,5120,51200,51200,4,400,400,5120,2560,5120,2560
integrator_uniform_replay,11,3,0.69140625,1.125044822692871,512,256,256,4,0.12054267339408398,0.0,0.002278883010149002,0.04248427413403988,0.0757795162498951,3584,1536,2048,2048,6,32,16,1024,2816,8448,2816
integrator_uniform_replay,12,2,0.7239583134651184,1.0556833744049072,512,256,256,4,0.1041874885559082,0.0,0.0020529422909021378,0.036313582211732864,0.0658209640532732,3072,1024,2048,2048,4,32,16,1024,3072,6144,3072
integrator_uniform_replay,13,3,0.7055288553237915,1.0521914958953857,512,256,256,4,0.11942512914538383,0.0,0.0024340078234672546,0.04808594100177288,0.0689051803201437,3584,1536,2048,2048,6,32,16,1024,3328,9984,3328
integrator_uniform_replay,14,3,0.7215401530265808,1.0180797576904297,512,256,256,4,0.10929274931550026,0.0,0.0027402807027101517,0.04392106458544731,0.0626314040273428,3584,1536,2048,2048,6,32,16,1024,3584,10752,3584
integrator_uniform_replay,15,4,0.6940104365348816,1.073086142539978,512,256,256,4,0.11586524173617363,0.0,0.0023848339915275574,0.0566504318267107,0.05682997591793537,4096,2048,2048,2048,8,32,16,1024,3840,15360,3840
