interval,task,candidate,score
1–2,C-STANCE,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,39.0
1–2,C-STANCE,546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,37.0
1–2,C-STANCE,ae101c7f8b800eed7ae750626b2d1db93697b662160356b34e2df60989a3489e,45.0
1–2,C-STANCE,f6efd136ccfdc34cc5e3b54607f1802f063a986aa0c678d5c8b92e7da2d34457,38.0
1–2,C-STANCE,retrained_parent,38.0
1–4,C-STANCE,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,40.0
1–4,C-STANCE,546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,37.0
1–4,C-STANCE,ae101c7f8b800eed7ae750626b2d1db93697b662160356b34e2df60989a3489e,41.0
1–4,C-STANCE,f6efd136ccfdc34cc5e3b54607f1802f063a986aa0c678d5c8b92e7da2d34457,30.0
1–4,C-STANCE,retrained_parent,44.0
1–16,C-STANCE,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,35.0
1–16,C-STANCE,546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,1.0
1–16,C-STANCE,ae101c7f8b800eed7ae750626b2d1db93697b662160356b34e2df60989a3489e,36.0
1–16,C-STANCE,f6efd136ccfdc34cc5e3b54607f1802f063a986aa0c678d5c8b92e7da2d34457,33.0
1–16,C-STANCE,retrained_parent,14.0
1–16,FOMC,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,25.0
1–16,FOMC,546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,0.0
1–16,FOMC,ae101c7f8b800eed7ae750626b2d1db93697b662160356b34e2df60989a3489e,34.0
1–16,FOMC,f6efd136ccfdc34cc5e3b54607f1802f063a986aa0c678d5c8b92e7da2d34457,15.0
1–16,FOMC,retrained_parent,1.0
1–16,MeetingBank,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,18.90239075037877
1–16,MeetingBank,546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,17.26164815874273
1–16,MeetingBank,ae101c7f8b800eed7ae750626b2d1db93697b662160356b34e2df60989a3489e,20.75693029062265
1–16,MeetingBank,f6efd136ccfdc34cc5e3b54607f1802f063a986aa0c678d5c8b92e7da2d34457,17.0133233436561
1–16,MeetingBank,retrained_parent,26.94079980144824
1–16,Py150,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,4.07
1–16,Py150,546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,3.91
1–16,Py150,ae101c7f8b800eed7ae750626b2d1db93697b662160356b34e2df60989a3489e,5.02
1–16,Py150,f6efd136ccfdc34cc5e3b54607f1802f063a986aa0c678d5c8b92e7da2d34457,3.92
1–16,Py150,retrained_parent,54.19
5–6,C-STANCE,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,37.0
5–6,C-STANCE,546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,32.0
5–6,C-STANCE,ae101c7f8b800eed7ae750626b2d1db93697b662160356b34e2df60989a3489e,35.0
5–6,C-STANCE,f6efd136ccfdc34cc5e3b54607f1802f063a986aa0c678d5c8b92e7da2d34457,35.0
5–6,C-STANCE,retrained_parent,15.0
5–6,FOMC,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,32.0
5–6,FOMC,546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,32.0
5–6,FOMC,ae101c7f8b800eed7ae750626b2d1db93697b662160356b34e2df60989a3489e,29.0
5–6,FOMC,f6efd136ccfdc34cc5e3b54607f1802f063a986aa0c678d5c8b92e7da2d34457,31.0
5–6,FOMC,retrained_parent,2.0
