stage,task_index,task,candidate_id,start_arrival,end_arrival,interval,represented_arrivals,task_arrivals,coverage_count,coverage,purity
1,1,C-STANCE,43132f6a2dbb904542b9be65f7f3134e43f57b3b88035b83885dea7243114432,3,4,3–4,2,5,2,0.4,1.0
2,1,C-STANCE,dc4958ca640784e24adedf85bf25fbc4472926133226bba116da1a21e53f73eb,1,4,1–4,4,5,4,0.8,1.0
2,2,FOMC,31f32c9500cad0c67c045dd5ee862d32d65a71ae6f1f6b49cbbdc542e1a65f11,7,8,7–8,2,5,2,0.4,1.0
3,1,C-STANCE,f1e03f4b15e3ddefa5c719f442675bd70eb496603cccd94be5415b26d708f88a,1,8,1–8,8,5,5,1.0,0.625
3,2,FOMC,f1e03f4b15e3ddefa5c719f442675bd70eb496603cccd94be5415b26d708f88a,1,8,1–8,8,5,3,0.6,0.375
3,3,MeetingBank,c68ad33b3997eab723aab56e71bc046d278b975179df40ce2414b056a355dbd3,13,14,13–14,2,5,2,0.4,1.0
4,1,C-STANCE,f1e03f4b15e3ddefa5c719f442675bd70eb496603cccd94be5415b26d708f88a,1,8,1–8,8,5,5,1.0,0.625
4,2,FOMC,f1e03f4b15e3ddefa5c719f442675bd70eb496603cccd94be5415b26d708f88a,1,8,1–8,8,5,3,0.6,0.375
4,3,MeetingBank,41b93a772df39c1f62c5102bd843077e53a00f6455f9e6a8e076d8e41cf9dbf0,13,16,13–16,4,5,3,0.6,0.75
4,4,Py150,47a1b0022fc1f6941637d400a3dfc547e7aca79629a175bd136aae7439b89537,17,18,17–18,2,5,2,0.4,1.0
5,1,C-STANCE,f1e03f4b15e3ddefa5c719f442675bd70eb496603cccd94be5415b26d708f88a,1,8,1–8,8,5,5,1.0,0.625
5,2,FOMC,f1e03f4b15e3ddefa5c719f442675bd70eb496603cccd94be5415b26d708f88a,1,8,1–8,8,5,3,0.6,0.375
5,3,MeetingBank,17903bc836d8ba50b43430c97fedaa2cc578e7cc2f448a227d5cfc5bb0581fcd,9,16,9–16,8,5,5,1.0,0.625
5,4,Py150,0120004419d6d9182c9bf7dc7d01fcc89c2fab04eb0e2f667a4a1c256ada759f,17,20,17–20,4,5,4,0.8,1.0
5,5,ScienceQA,77274d05894a0c90f13f165e9ee95a1960266c36a5cd296b19fecefdeba8c249,23,24,23–24,2,5,2,0.4,1.0
6,1,C-STANCE,f1e03f4b15e3ddefa5c719f442675bd70eb496603cccd94be5415b26d708f88a,1,8,1–8,8,5,5,1.0,0.625
6,2,FOMC,f1e03f4b15e3ddefa5c719f442675bd70eb496603cccd94be5415b26d708f88a,1,8,1–8,8,5,3,0.6,0.375
6,3,MeetingBank,17903bc836d8ba50b43430c97fedaa2cc578e7cc2f448a227d5cfc5bb0581fcd,9,16,9–16,8,5,5,1.0,0.625
6,4,Py150,0120004419d6d9182c9bf7dc7d01fcc89c2fab04eb0e2f667a4a1c256ada759f,17,20,17–20,4,5,4,0.8,1.0
6,5,ScienceQA,dd802562e95d2e17cbf51e08bd92c703cc4d96dfd390f0e59d95b4c5b59733c3,21,24,21–24,4,5,4,0.8,1.0
6,6,NumGLUE-cm,1d39607e63fa78261f1d172ed38d6a6e84d7e36aa538509899460baa5df69d23,27,28,27–28,2,5,2,0.4,1.0
7,1,C-STANCE,831233efcb2e15eb68f4557a896c6a070376753dd087167ddd296d59281dee3e,1,16,1–16,16,5,5,1.0,0.3125
7,2,FOMC,831233efcb2e15eb68f4557a896c6a070376753dd087167ddd296d59281dee3e,1,16,1–16,16,5,5,1.0,0.3125
7,3,MeetingBank,831233efcb2e15eb68f4557a896c6a070376753dd087167ddd296d59281dee3e,1,16,1–16,16,5,5,1.0,0.3125
7,4,Py150,650f23a261ea23e511b3153fb6e2d826b06ebea231f131c64b9a38355791bd2c,17,24,17–24,8,5,4,0.8,0.5
7,5,ScienceQA,650f23a261ea23e511b3153fb6e2d826b06ebea231f131c64b9a38355791bd2c,17,24,17–24,8,5,4,0.8,0.5
7,6,NumGLUE-cm,2c6db93757974a4ef9066ede8feb683f1c5e222d74e317979a3a151f045992b6,25,28,25–28,4,5,3,0.6,0.75
7,7,NumGLUE-ds,619dd99f9be6af638bc99c9d6ac7b095d81e6822159cdce7c3c50ecba2e189ef,33,34,33–34,2,5,2,0.4,1.0
8,1,C-STANCE,831233efcb2e15eb68f4557a896c6a070376753dd087167ddd296d59281dee3e,1,16,1–16,16,5,5,1.0,0.3125
8,2,FOMC,831233efcb2e15eb68f4557a896c6a070376753dd087167ddd296d59281dee3e,1,16,1–16,16,5,5,1.0,0.3125
8,3,MeetingBank,831233efcb2e15eb68f4557a896c6a070376753dd087167ddd296d59281dee3e,1,16,1–16,16,5,5,1.0,0.3125
8,4,Py150,650f23a261ea23e511b3153fb6e2d826b06ebea231f131c64b9a38355791bd2c,17,24,17–24,8,5,4,0.8,0.5
8,5,ScienceQA,650f23a261ea23e511b3153fb6e2d826b06ebea231f131c64b9a38355791bd2c,17,24,17–24,8,5,4,0.8,0.5
8,6,NumGLUE-cm,d05fcbfaa1c7f3d9d2321ceacda63a16df1ea8715457f64da340d3ec70d270b7,25,32,25–32,8,5,5,1.0,0.625
8,7,NumGLUE-ds,9b12f10fa73d981a4308fc651241f0e93bf33411beae1c110cf310bca0776dd4,33,36,33–36,4,5,3,0.6,0.75
8,8,20Minuten,9efb562b2ebd0a8a69e887dd9091ffaee44ff091a80f3340e28ec08673872bb6,37,38,37–38,2,5,2,0.4,1.0
