count,selected_candidate_id,task_id
16,base,bicycle
132,noun-bicycle,bicycle
3,noun-boat,bicycle
1,noun-bus,bicycle
1,noun-dragon,bicycle
1,noun-duck,bicycle
3,noun-elephant,bicycle
2,noun-horse,bicycle
1,noun-lion,bicycle
1,noun-monkey,bicycle
1,noun-mouse,bicycle
1,noun-neighbor,bicycle
1,noun-plane,bicycle
1,noun-princess,bicycle
1,noun-sister,bicycle
3,noun-train,bicycle
3,noun-wheel,bicycle
16,base,boat
5,noun-bicycle,boat
283,noun-boat,boat
3,noun-brother,boat
1,noun-dragon,boat
2,noun-duck,boat
2,noun-elephant,boat
1,noun-fairy,boat
1,noun-grandma,boat
4,noun-horse,boat
1,noun-lion,boat
3,noun-monkey,boat
2,noun-mouse,boat
1,noun-parent,boat
3,noun-plane,boat
2,noun-princess,boat
2,noun-queen,boat
3,noun-rabbit,boat
2,noun-sister,boat
4,noun-train,boat
2,noun-wheel,boat
41,base,brother
2,noun-bicycle,brother
218,noun-brother,brother
2,noun-cow,brother
3,noun-dragon,brother
2,noun-duck,brother
2,noun-elephant,brother
2,noun-fairy,brother
5,noun-grandma,brother
2,noun-horse,brother
2,noun-lion,brother
3,noun-mouse,brother
6,noun-neighbor,brother
7,noun-parent,brother
3,noun-princess,brother
1,noun-queen,brother
1,noun-rabbit,brother
26,noun-sister,brother
1,noun-train,brother
1,base,bus
66,noun-bus,bus
2,base,cow
108,noun-cow,cow
2,noun-duck,cow
2,noun-fairy,cow
1,noun-horse,cow
1,noun-parent,cow
1,noun-train,cow
12,base,dragon
1,noun-brother,dragon
63,noun-dragon,dragon
2,noun-lion,dragon
2,noun-neighbor,dragon
2,noun-parent,dragon
1,noun-princess,dragon
1,noun-queen,dragon
13,base,duck
5,noun-boat,duck
1,noun-bus,duck
3,noun-cow,duck
231,noun-duck,duck
1,noun-elephant,duck
2,noun-fairy,duck
1,noun-horse,duck
1,noun-lion,duck
1,noun-mouse,duck
3,noun-neighbor,duck
2,noun-princess,duck
2,noun-queen,duck
2,noun-rabbit,duck
1,noun-sister,duck
2,noun-train,duck
1,noun-wheel,duck
6,base,elephant
2,noun-bus,elephant
1,noun-cow,elephant
62,noun-elephant,elephant
1,noun-fairy,elephant
1,noun-horse,elephant
6,noun-lion,elephant
6,noun-monkey,elephant
1,noun-mouse,elephant
1,noun-neighbor,elephant
1,noun-parent,elephant
1,noun-pet,elephant
5,noun-rabbit,elephant
1,noun-train,elephant
2,noun-wheel,elephant
43,base,fairy
3,noun-bicycle,fairy
1,noun-boat,fairy
2,noun-brother,fairy
1,noun-cow,fairy
6,noun-dragon,fairy
1,noun-elephant,fairy
78,noun-fairy,fairy
1,noun-grandma,fairy
2,noun-horse,fairy
2,noun-lion,fairy
2,noun-mouse,fairy
1,noun-neighbor,fairy
6,noun-parent,fairy
2,noun-pet,fairy
5,noun-princess,fairy
4,noun-queen,fairy
5,noun-rabbit,fairy
2,noun-sister,fairy
1,noun-train,fairy
1,noun-wheel,fairy
15,base,grandma
1,noun-boat,grandma
4,noun-brother,grandma
2,noun-fairy,grandma
126,noun-grandma,grandma
1,noun-horse,grandma
1,noun-lion,grandma
3,noun-neighbor,grandma
5,noun-parent,grandma
1,noun-pet,grandma
3,noun-princess,grandma
7,noun-sister,grandma
1,base,horse
1,noun-bicycle,horse
4,noun-boat,horse
1,noun-brother,horse
1,noun-cow,horse
1,noun-elephant,horse
1,noun-fairy,horse
59,noun-horse,horse
2,noun-lion,horse
4,noun-pet,horse
1,noun-plane,horse
1,noun-queen,horse
1,noun-train,horse
1,noun-wheel,horse
13,base,lion
1,noun-boat,lion
2,noun-brother,lion
2,noun-bus,lion
1,noun-duck,lion
6,noun-elephant,lion
1,noun-fairy,lion
2,noun-grandma,lion
2,noun-horse,lion
115,noun-lion,lion
4,noun-monkey,lion
2,noun-mouse,lion
1,noun-neighbor,lion
1,noun-plane,lion
2,noun-princess,lion
3,noun-rabbit,lion
1,noun-sister,lion
1,noun-wheel,lion
3,base,monkey
3,noun-brother,monkey
2,noun-dragon,monkey
3,noun-elephant,monkey
1,noun-fairy,monkey
6,noun-lion,monkey
88,noun-monkey,monkey
1,noun-mouse,monkey
1,noun-neighbor,monkey
1,noun-parent,monkey
3,noun-princess,monkey
3,noun-rabbit,monkey
35,base,mouse
1,noun-bicycle,mouse
1,noun-boat,mouse
3,noun-brother,mouse
2,noun-cow,mouse
4,noun-dragon,mouse
2,noun-duck,mouse
9,noun-elephant,mouse
9,noun-fairy,mouse
3,noun-grandma,mouse
8,noun-horse,mouse
7,noun-lion,mouse
10,noun-monkey,mouse
254,noun-mouse,mouse
2,noun-neighbor,mouse
3,noun-pet,mouse
1,noun-plane,mouse
1,noun-princess,mouse
3,noun-queen,mouse
38,noun-rabbit,mouse
3,noun-sister,mouse
3,noun-train,mouse
2,noun-wheel,mouse
14,base,neighbor
1,noun-bicycle,neighbor
1,noun-boat,neighbor
3,noun-brother,neighbor
1,noun-bus,neighbor
2,noun-dragon,neighbor
2,noun-fairy,neighbor
3,noun-grandma,neighbor
50,noun-neighbor,neighbor
1,noun-parent,neighbor
2,noun-pet,neighbor
2,noun-plane,neighbor
1,noun-princess,neighbor
1,noun-rabbit,neighbor
3,noun-sister,neighbor
1,noun-train,neighbor
64,base,parent
1,noun-bicycle,parent
8,noun-brother,parent
5,noun-bus,parent
2,noun-dragon,parent
3,noun-elephant,parent
3,noun-fairy,parent
13,noun-grandma,parent
1,noun-horse,parent
1,noun-lion,parent
1,noun-monkey,parent
1,noun-mouse,parent
11,noun-neighbor,parent
147,noun-parent,parent
5,noun-pet,parent
1,noun-plane,parent
4,noun-princess,parent
3,noun-queen,parent
1,noun-rabbit,parent
4,noun-sister,parent
3,noun-train,parent
5,noun-wheel,parent
29,base,pet
1,noun-bicycle,pet
3,noun-brother,pet
2,noun-bus,pet
4,noun-dragon,pet
2,noun-duck,pet
2,noun-fairy,pet
2,noun-grandma,pet
1,noun-horse,pet
2,noun-lion,pet
1,noun-mouse,pet
3,noun-neighbor,pet
8,noun-parent,pet
197,noun-pet,pet
1,noun-princess,pet
1,noun-rabbit,pet
2,noun-sister,pet
1,noun-wheel,pet
4,base,plane
1,noun-boat,plane
1,noun-cow,plane
1,noun-dragon,plane
3,noun-grandma,plane
1,noun-monkey,plane
1,noun-neighbor,plane
3,noun-parent,plane
73,noun-plane,plane
1,noun-princess,plane
1,noun-sister,plane
4,noun-train,plane
6,base,princess
1,noun-brother,princess
4,noun-fairy,princess
2,noun-grandma,princess
2,noun-horse,princess
1,noun-monkey,princess
1,noun-neighbor,princess
2,noun-parent,princess
1,noun-plane,princess
50,noun-princess,princess
10,noun-queen,princess
1,noun-rabbit,princess
1,noun-train,princess
9,base,queen
1,noun-boat,queen
1,noun-brother,queen
1,noun-fairy,queen
1,noun-grandma,queen
1,noun-horse,queen
8,noun-princess,queen
59,noun-queen,queen
15,base,rabbit
3,noun-boat,rabbit
2,noun-brother,rabbit
1,noun-dragon,rabbit
1,noun-duck,rabbit
12,noun-elephant,rabbit
7,noun-fairy,rabbit
11,noun-horse,rabbit
15,noun-lion,rabbit
16,noun-monkey,rabbit
39,noun-mouse,rabbit
5,noun-neighbor,rabbit
4,noun-parent,rabbit
4,noun-plane,rabbit
3,noun-princess,rabbit
2,noun-queen,rabbit
273,noun-rabbit,rabbit
39,base,sister
1,noun-boat,sister
24,noun-brother,sister
3,noun-dragon,sister
1,noun-duck,sister
1,noun-fairy,sister
5,noun-grandma,sister
1,noun-monkey,sister
1,noun-mouse,sister
7,noun-neighbor,sister
5,noun-parent,sister
2,noun-pet,sister
1,noun-plane,sister
1,noun-princess,sister
1,noun-queen,sister
1,noun-rabbit,sister
177,noun-sister,sister
1,noun-train,sister
5,noun-wheel,sister
4,base,train
3,noun-bicycle,train
2,noun-boat,train
2,noun-brother,train
2,noun-bus,train
1,noun-dragon,train
2,noun-elephant,train
1,noun-grandma,train
1,noun-monkey,train
1,noun-parent,train
1,noun-pet,train
5,noun-plane,train
115,noun-train,train
1,noun-wheel,train
6,base,wheel
1,noun-bicycle,wheel
1,noun-boat,wheel
1,noun-brother,wheel
1,noun-bus,wheel
1,noun-cow,wheel
1,noun-dragon,wheel
2,noun-duck,wheel
2,noun-horse,wheel
1,noun-mouse,wheel
1,noun-neighbor,wheel
2,noun-parent,wheel
1,noun-plane,wheel
2,noun-sister,wheel
1,noun-train,wheel
114,noun-wheel,wheel
