active_adapter_bytes,active_adapter_count,address_candidate_count_including_base,amortized_optimizer_updates_per_arrival,archived_adapter_bytes,archived_adapter_count,arrival,carry_depth,cumulative_insertion_runtime_seconds,cumulative_optimizer_updates,insertion_optimizer_updates,insertion_runtime_seconds,order,source_shard_id,task_id
1188432,1,2,68.0,1188432,1,1,0,17.429685516282916,68,68,17.429685516282916,blocked,94abc64c88d25df632c558c605f8459bbb3c6a7bf9053a224c545509d01ea1af,mouse
2376864,2,3,68.0,2376864,2,2,0,20.896541215479374,136,68,3.466855699196458,blocked,440f2b6be6d650a05126b144d875c2fe7ab8543f8a04d8264d1f0f40ac2ba4b3,mouse
2376864,2,3,114.66666666666667,4753728,4,3,1,32.397397266700864,344,208,11.50085605122149,blocked,f362e69382cb038128c805ec1ed30c49ee92499692c664fe352e2fa1d2035b1e,mouse
3565296,3,4,104.0,5942160,5,4,0,36.10805444046855,416,72,3.710657173767686,blocked,1abbffd2f238749bd4ede0caf3b31f8ffb869d7901093e8cc9787c7d93c1e563,mouse
3565296,3,4,125.6,8319024,7,5,1,48.04439662024379,628,212,11.936342179775238,blocked,1c91a972241134605cdbb6f53e0659a4e29d4034d49e93a62815942f284b7f27,mouse
4753728,4,5,116.66666666666667,9507456,8,6,0,51.7670077662915,700,72,3.7226111460477114,blocked,3ee8733811daa266c474279c577b6d241b9e820b2d3d162d4f869d4585dc2099,mouse
3565296,3,4,169.14285714285714,13072752,11,7,2,79.32264093309641,1184,484,27.55563316680491,blocked,43895986e737db6818a50b7dbed0b82ad141d3ac4a65c9612a63eb5235f36bca,mouse
4753728,4,5,157.0,14261184,12,8,0,83.04102024249732,1256,72,3.718379309400916,blocked,3f76fbb6e66a64658d1e48bfaed97242b1694702d7d6d7d624a2463fd5d48c9c,mouse
4753728,4,5,162.66666666666666,16638048,14,9,1,94.47775685787201,1464,208,11.436736615374684,blocked,1a74cd760c0ddc9a491d319e4b31c1c46417495a0ed9f725e002ccfbd025f20a,rabbit
5942160,5,6,153.2,17826480,15,10,0,97.994129659608,1532,68,3.516372801735997,blocked,3206a11f96406153443dcad753ee677f9d2b009928e39dc0206c2dc4f5b1c6b3,rabbit
4753728,4,5,183.27272727272728,21391776,18,11,2,125.37917111441493,2016,484,27.385041454806924,blocked,f22aa6e8ef466aa7a9399cb859b4c8927e3c6ccc709544de94c5596709464fee,rabbit
5942160,5,6,174.0,22580208,19,12,0,129.03885122202337,2088,72,3.6596801076084375,blocked,bc0171c164e93cf318d855c3c1216b5a5f53ea185de4a9f52a1eea719e480912,rabbit
5942160,5,6,176.6153846153846,24957072,21,13,1,140.52926949597895,2296,208,11.490418273955584,blocked,53423bc8ecefb9c76deb91b259eec8a8e6a0e6f4e218588f96df2fc3574ea295,rabbit
7130592,6,7,169.14285714285714,26145504,22,14,0,144.23368632607162,2368,72,3.7044168300926685,blocked,09d246e059955678941d6e2bcdf23a49e990f8818ccb9f6140a3dc2938394498,rabbit
4753728,4,5,226.66666666666666,30899232,26,15,3,204.61793302930892,3400,1032,60.384246703237295,blocked,ab61b6bb2d9b671235a4be1d66f08cbe43d59b3ef26dba79256d2106aea5dd77,rabbit
5942160,5,6,216.75,32087664,27,16,0,208.17096579261124,3468,68,3.553032763302326,blocked,f1155a43825ec1ae8ef405dffa9a9e7322d0c94ad29b97b6245b6461e5cf57cc,rabbit
5942160,5,6,216.47058823529412,34464528,29,17,1,219.92735244520009,3680,212,11.756386652588844,blocked,082aebdfa30f54df76993a7ebbbb141f77dbe6894f5b0603c41ce78f3f402577,boat
7130592,6,7,208.44444444444446,35652960,30,18,0,223.83499724045396,3752,72,3.907644795253873,blocked,4ea2fc4ec0e15036509985ee5aa4b54b2eded94fa08fe61d9173fbcea48beac1,boat
