condition,count,route,selected_candidate_id,task_id
blocked_log_t,63,midpoint,base,mouse
blocked_log_t,271,midpoint,interval-001-064-l6,mouse
blocked_log_t,30,midpoint,interval-065-128-l6,mouse
blocked_log_t,16,midpoint,interval-129-160-l5,mouse
blocked_log_t,9,midpoint,interval-161-176-l4,mouse
blocked_log_t,12,midpoint,interval-177-184-l3,mouse
blocked_log_t,2,midpoint,interval-185-188-l2,mouse
blocked_log_t,1,midpoint,interval-192-192-l0,mouse
blocked_log_t,21,midpoint,base,rabbit
blocked_log_t,295,midpoint,interval-001-064-l6,rabbit
blocked_log_t,39,midpoint,interval-065-128-l6,rabbit
blocked_log_t,37,midpoint,interval-129-160-l5,rabbit
blocked_log_t,3,midpoint,interval-161-176-l4,rabbit
blocked_log_t,15,midpoint,interval-177-184-l3,rabbit
blocked_log_t,2,midpoint,interval-189-190-l1,rabbit
blocked_log_t,1,midpoint,interval-191-191-l0,rabbit
blocked_log_t,23,midpoint,base,boat
blocked_log_t,262,midpoint,interval-001-064-l6,boat
blocked_log_t,25,midpoint,interval-065-128-l6,boat
blocked_log_t,16,midpoint,interval-129-160-l5,boat
blocked_log_t,3,midpoint,interval-161-176-l4,boat
blocked_log_t,8,midpoint,interval-177-184-l3,boat
blocked_log_t,1,midpoint,interval-185-188-l2,boat
blocked_log_t,1,midpoint,interval-189-190-l1,boat
blocked_log_t,2,midpoint,interval-191-191-l0,boat
blocked_log_t,2,midpoint,interval-192-192-l0,boat
blocked_log_t,53,midpoint,base,brother
blocked_log_t,231,midpoint,interval-001-064-l6,brother
blocked_log_t,12,midpoint,interval-065-128-l6,brother
blocked_log_t,19,midpoint,interval-129-160-l5,brother
blocked_log_t,3,midpoint,interval-161-176-l4,brother
blocked_log_t,4,midpoint,interval-177-184-l3,brother
blocked_log_t,3,midpoint,interval-189-190-l1,brother
blocked_log_t,2,midpoint,interval-191-191-l0,brother
blocked_log_t,2,midpoint,interval-192-192-l0,brother
blocked_log_t,84,midpoint,base,parent
blocked_log_t,145,midpoint,interval-001-064-l6,parent
blocked_log_t,19,midpoint,interval-065-128-l6,parent
blocked_log_t,20,midpoint,interval-129-160-l5,parent
blocked_log_t,3,midpoint,interval-161-176-l4,parent
blocked_log_t,1,midpoint,interval-185-188-l2,parent
blocked_log_t,6,midpoint,interval-189-190-l1,parent
blocked_log_t,5,midpoint,interval-191-191-l0,parent
blocked_log_t,4,midpoint,interval-192-192-l0,parent
blocked_log_t,19,midpoint,base,duck
blocked_log_t,239,midpoint,interval-001-064-l6,duck
blocked_log_t,3,midpoint,interval-065-128-l6,duck
blocked_log_t,4,midpoint,interval-129-160-l5,duck
blocked_log_t,1,midpoint,interval-161-176-l4,duck
blocked_log_t,2,midpoint,interval-177-184-l3,duck
blocked_log_t,1,midpoint,interval-189-190-l1,duck
blocked_log_t,1,midpoint,interval-191-191-l0,duck
blocked_log_t,2,midpoint,interval-192-192-l0,duck
blocked_log_t,49,midpoint,base,sister
blocked_log_t,194,midpoint,interval-001-064-l6,sister
blocked_log_t,9,midpoint,interval-065-128-l6,sister
blocked_log_t,18,midpoint,interval-129-160-l5,sister
blocked_log_t,3,midpoint,interval-161-176-l4,sister
blocked_log_t,1,midpoint,interval-185-188-l2,sister
blocked_log_t,2,midpoint,interval-189-190-l1,sister
blocked_log_t,1,midpoint,interval-191-191-l0,sister
blocked_log_t,40,midpoint,base,pet
blocked_log_t,206,midpoint,interval-001-064-l6,pet
blocked_log_t,3,midpoint,interval-065-128-l6,pet
blocked_log_t,1,midpoint,interval-129-160-l5,pet
blocked_log_t,2,midpoint,interval-161-176-l4,pet
blocked_log_t,4,midpoint,interval-177-184-l3,pet
blocked_log_t,1,midpoint,interval-185-188-l2,pet
blocked_log_t,3,midpoint,interval-189-190-l1,pet
blocked_log_t,1,midpoint,interval-191-191-l0,pet
blocked_log_t,1,midpoint,interval-192-192-l0,pet
blocked_log_t,10,midpoint,base,bicycle
blocked_log_t,12,midpoint,interval-001-064-l6,bicycle
blocked_log_t,128,midpoint,interval-065-128-l6,bicycle
blocked_log_t,10,midpoint,interval-129-160-l5,bicycle
blocked_log_t,7,midpoint,interval-177-184-l3,bicycle
blocked_log_t,1,midpoint,interval-185-188-l2,bicycle
blocked_log_t,3,midpoint,interval-189-190-l1,bicycle
blocked_log_t,1,midpoint,interval-191-191-l0,bicycle
blocked_log_t,20,midpoint,base,grandma
blocked_log_t,18,midpoint,interval-001-064-l6,grandma
blocked_log_t,123,midpoint,interval-065-128-l6,grandma
blocked_log_t,5,midpoint,interval-129-160-l5,grandma
blocked_log_t,1,midpoint,interval-161-176-l4,grandma
blocked_log_t,1,midpoint,interval-177-184-l3,grandma
blocked_log_t,1,midpoint,interval-185-188-l2,grandma
blocked_log_t,16,midpoint,base,lion
blocked_log_t,6,midpoint,interval-001-064-l6,lion
blocked_log_t,114,midpoint,interval-065-128-l6,lion
blocked_log_t,14,midpoint,interval-129-160-l5,lion
blocked_log_t,2,midpoint,interval-161-176-l4,lion
blocked_log_t,5,midpoint,interval-177-184-l3,lion
blocked_log_t,3,midpoint,interval-191-191-l0,lion
blocked_log_t,57,midpoint,base,fairy
blocked_log_t,12,midpoint,interval-001-064-l6,fairy
blocked_log_t,72,midpoint,interval-065-128-l6,fairy
blocked_log_t,12,midpoint,interval-129-160-l5,fairy
blocked_log_t,10,midpoint,interval-161-176-l4,fairy
blocked_log_t,2,midpoint,interval-177-184-l3,fairy
blocked_log_t,1,midpoint,interval-185-188-l2,fairy
blocked_log_t,1,midpoint,interval-189-190-l1,fairy
blocked_log_t,1,midpoint,interval-191-191-l0,fairy
blocked_log_t,1,midpoint,interval-192-192-l0,fairy
blocked_log_t,6,midpoint,base,train
blocked_log_t,6,midpoint,interval-001-064-l6,train
blocked_log_t,113,midpoint,interval-065-128-l6,train
blocked_log_t,8,midpoint,interval-129-160-l5,train
blocked_log_t,2,midpoint,interval-161-176-l4,train
blocked_log_t,3,midpoint,interval-185-188-l2,train
blocked_log_t,1,midpoint,interval-189-190-l1,train
blocked_log_t,2,midpoint,interval-192-192-l0,train
blocked_log_t,4,midpoint,base,cow
blocked_log_t,4,midpoint,interval-001-064-l6,cow
blocked_log_t,107,midpoint,interval-065-128-l6,cow
blocked_log_t,1,midpoint,interval-129-160-l5,cow
blocked_log_t,1,midpoint,interval-177-184-l3,cow
blocked_log_t,12,midpoint,base,wheel
blocked_log_t,7,midpoint,interval-001-064-l6,wheel
blocked_log_t,109,midpoint,interval-065-128-l6,wheel
blocked_log_t,1,midpoint,interval-129-160-l5,wheel
blocked_log_t,1,midpoint,interval-161-176-l4,wheel
blocked_log_t,2,midpoint,interval-177-184-l3,wheel
blocked_log_t,2,midpoint,interval-185-188-l2,wheel
blocked_log_t,3,midpoint,interval-189-190-l1,wheel
blocked_log_t,1,midpoint,interval-191-191-l0,wheel
blocked_log_t,3,midpoint,base,monkey
blocked_log_t,9,midpoint,interval-001-064-l6,monkey
blocked_log_t,89,midpoint,interval-065-128-l6,monkey
blocked_log_t,10,midpoint,interval-129-160-l5,monkey
blocked_log_t,2,midpoint,interval-161-176-l4,monkey
blocked_log_t,1,midpoint,interval-177-184-l3,monkey
blocked_log_t,1,midpoint,interval-192-192-l0,monkey
blocked_log_t,4,midpoint,base,princess
blocked_log_t,3,midpoint,interval-001-064-l6,princess
blocked_log_t,5,midpoint,interval-065-128-l6,princess
blocked_log_t,45,midpoint,interval-129-160-l5,princess
blocked_log_t,22,midpoint,interval-161-176-l4,princess
blocked_log_t,1,midpoint,interval-177-184-l3,princess
blocked_log_t,1,midpoint,interval-185-188-l2,princess
blocked_log_t,1,midpoint,interval-189-190-l1,princess
blocked_log_t,3,midpoint,base,plane
blocked_log_t,4,midpoint,interval-001-064-l6,plane
blocked_log_t,7,midpoint,interval-065-128-l6,plane
blocked_log_t,79,midpoint,interval-129-160-l5,plane
blocked_log_t,1,midpoint,interval-189-190-l1,plane
blocked_log_t,11,midpoint,base,elephant
blocked_log_t,7,midpoint,interval-001-064-l6,elephant
blocked_log_t,9,midpoint,interval-065-128-l6,elephant
blocked_log_t,64,midpoint,interval-129-160-l5,elephant
blocked_log_t,5,midpoint,interval-177-184-l3,elephant
blocked_log_t,1,midpoint,interval-192-192-l0,elephant
blocked_log_t,22,midpoint,base,neighbor
blocked_log_t,14,midpoint,interval-001-064-l6,neighbor
blocked_log_t,3,midpoint,interval-065-128-l6,neighbor
blocked_log_t,44,midpoint,interval-129-160-l5,neighbor
blocked_log_t,2,midpoint,interval-161-176-l4,neighbor
blocked_log_t,1,midpoint,interval-185-188-l2,neighbor
blocked_log_t,1,midpoint,interval-189-190-l1,neighbor
blocked_log_t,1,midpoint,interval-191-191-l0,neighbor
blocked_log_t,16,midpoint,base,dragon
blocked_log_t,2,midpoint,interval-001-064-l6,dragon
blocked_log_t,1,midpoint,interval-129-160-l5,dragon
blocked_log_t,64,midpoint,interval-161-176-l4,dragon
blocked_log_t,1,midpoint,interval-191-191-l0,dragon
blocked_log_t,9,midpoint,base,queen
blocked_log_t,1,midpoint,interval-001-064-l6,queen
blocked_log_t,6,midpoint,interval-129-160-l5,queen
blocked_log_t,62,midpoint,interval-161-176-l4,queen
blocked_log_t,1,midpoint,interval-177-184-l3,queen
blocked_log_t,1,midpoint,interval-185-188-l2,queen
blocked_log_t,1,midpoint,interval-189-190-l1,queen
blocked_log_t,3,midpoint,base,horse
blocked_log_t,2,midpoint,interval-001-064-l6,horse
blocked_log_t,7,midpoint,interval-065-128-l6,horse
blocked_log_t,2,midpoint,interval-129-160-l5,horse
blocked_log_t,1,midpoint,interval-161-176-l4,horse
blocked_log_t,63,midpoint,interval-177-184-l3,horse
blocked_log_t,1,midpoint,interval-191-191-l0,horse
blocked_log_t,2,midpoint,base,bus
blocked_log_t,36,midpoint,interval-185-188-l2,bus
blocked_log_t,12,midpoint,interval-189-190-l1,bus
blocked_log_t,9,midpoint,interval-191-191-l0,bus
blocked_log_t,8,midpoint,interval-192-192-l0,bus
blocked_log_t,15,full,base,mouse
blocked_log_t,339,full,interval-001-064-l6,mouse
blocked_log_t,30,full,interval-065-128-l6,mouse
blocked_log_t,14,full,interval-129-160-l5,mouse
blocked_log_t,5,full,interval-177-184-l3,mouse
blocked_log_t,1,full,interval-191-191-l0,mouse
blocked_log_t,7,full,base,rabbit
blocked_log_t,297,full,interval-001-064-l6,rabbit
blocked_log_t,52,full,interval-065-128-l6,rabbit
blocked_log_t,41,full,interval-129-160-l5,rabbit
blocked_log_t,2,full,interval-161-176-l4,rabbit
blocked_log_t,11,full,interval-177-184-l3,rabbit
blocked_log_t,2,full,interval-191-191-l0,rabbit
blocked_log_t,1,full,interval-192-192-l0,rabbit
blocked_log_t,14,full,base,boat
blocked_log_t,281,full,interval-001-064-l6,boat
blocked_log_t,31,full,interval-065-128-l6,boat
blocked_log_t,14,full,interval-129-160-l5,boat
blocked_log_t,2,full,interval-177-184-l3,boat
blocked_log_t,1,full,interval-192-192-l0,boat
blocked_log_t,11,full,base,brother
blocked_log_t,296,full,interval-001-064-l6,brother
blocked_log_t,4,full,interval-065-128-l6,brother
blocked_log_t,13,full,interval-129-160-l5,brother
blocked_log_t,1,full,interval-161-176-l4,brother
blocked_log_t,3,full,interval-177-184-l3,brother
blocked_log_t,1,full,interval-189-190-l1,brother
blocked_log_t,23,full,base,parent
blocked_log_t,229,full,interval-001-064-l6,parent
blocked_log_t,11,full,interval-065-128-l6,parent
blocked_log_t,22,full,interval-129-160-l5,parent
blocked_log_t,1,full,interval-189-190-l1,parent
blocked_log_t,1,full,interval-192-192-l0,parent
blocked_log_t,4,full,base,duck
blocked_log_t,261,full,interval-001-064-l6,duck
blocked_log_t,3,full,interval-065-128-l6,duck
blocked_log_t,4,full,interval-129-160-l5,duck
blocked_log_t,8,full,base,sister
blocked_log_t,250,full,interval-001-064-l6,sister
blocked_log_t,7,full,interval-065-128-l6,sister
blocked_log_t,11,full,interval-129-160-l5,sister
blocked_log_t,1,full,interval-185-188-l2,sister
blocked_log_t,12,full,base,pet
blocked_log_t,247,full,interval-001-064-l6,pet
blocked_log_t,1,full,interval-065-128-l6,pet
blocked_log_t,1,full,interval-177-184-l3,pet
blocked_log_t,1,full,interval-189-190-l1,pet
blocked_log_t,6,full,base,bicycle
blocked_log_t,14,full,interval-001-064-l6,bicycle
blocked_log_t,136,full,interval-065-128-l6,bicycle
blocked_log_t,9,full,interval-129-160-l5,bicycle
blocked_log_t,5,full,interval-177-184-l3,bicycle
blocked_log_t,1,full,interval-185-188-l2,bicycle
blocked_log_t,1,full,interval-189-190-l1,bicycle
blocked_log_t,3,full,base,grandma
blocked_log_t,15,full,interval-001-064-l6,grandma
blocked_log_t,141,full,interval-065-128-l6,grandma
blocked_log_t,8,full,interval-129-160-l5,grandma
blocked_log_t,1,full,interval-161-176-l4,grandma
blocked_log_t,1,full,interval-177-184-l3,grandma
blocked_log_t,9,full,interval-001-064-l6,lion
blocked_log_t,136,full,interval-065-128-l6,lion
blocked_log_t,9,full,interval-129-160-l5,lion
blocked_log_t,1,full,interval-161-176-l4,lion
blocked_log_t,5,full,interval-177-184-l3,lion
blocked_log_t,10,full,base,fairy
blocked_log_t,8,full,interval-001-064-l6,fairy
blocked_log_t,138,full,interval-065-128-l6,fairy
blocked_log_t,10,full,interval-129-160-l5,fairy
blocked_log_t,3,full,interval-161-176-l4,fairy
blocked_log_t,5,full,base,train
blocked_log_t,6,full,interval-001-064-l6,train
blocked_log_t,117,full,interval-065-128-l6,train
blocked_log_t,12,full,interval-129-160-l5,train
blocked_log_t,1,full,interval-177-184-l3,train
blocked_log_t,1,full,base,cow
blocked_log_t,1,full,interval-001-064-l6,cow
blocked_log_t,114,full,interval-065-128-l6,cow
blocked_log_t,1,full,interval-177-184-l3,cow
blocked_log_t,10,full,base,wheel
blocked_log_t,5,full,interval-001-064-l6,wheel
blocked_log_t,120,full,interval-065-128-l6,wheel
blocked_log_t,1,full,interval-161-176-l4,wheel
blocked_log_t,1,full,interval-191-191-l0,wheel
blocked_log_t,1,full,interval-192-192-l0,wheel
blocked_log_t,4,full,base,monkey
blocked_log_t,9,full,interval-001-064-l6,monkey
blocked_log_t,86,full,interval-065-128-l6,monkey
blocked_log_t,16,full,interval-129-160-l5,monkey
blocked_log_t,5,full,base,princess
blocked_log_t,2,full,interval-001-064-l6,princess
blocked_log_t,7,full,interval-065-128-l6,princess
blocked_log_t,56,full,interval-129-160-l5,princess
blocked_log_t,12,full,interval-161-176-l4,princess
blocked_log_t,5,full,base,plane
blocked_log_t,7,full,interval-001-064-l6,plane
blocked_log_t,8,full,interval-065-128-l6,plane
blocked_log_t,72,full,interval-129-160-l5,plane
blocked_log_t,2,full,interval-177-184-l3,plane
blocked_log_t,1,full,base,elephant
blocked_log_t,10,full,interval-001-064-l6,elephant
blocked_log_t,11,full,interval-065-128-l6,elephant
blocked_log_t,72,full,interval-129-160-l5,elephant
blocked_log_t,3,full,interval-177-184-l3,elephant
blocked_log_t,8,full,base,neighbor
blocked_log_t,12,full,interval-001-064-l6,neighbor
blocked_log_t,3,full,interval-065-128-l6,neighbor
blocked_log_t,64,full,interval-129-160-l5,neighbor
blocked_log_t,1,full,interval-161-176-l4,neighbor
blocked_log_t,1,full,interval-129-160-l5,dragon
blocked_log_t,83,full,interval-161-176-l4,dragon
blocked_log_t,6,full,base,queen
blocked_log_t,1,full,interval-001-064-l6,queen
blocked_log_t,7,full,interval-129-160-l5,queen
blocked_log_t,67,full,interval-161-176-l4,queen
blocked_log_t,1,full,base,horse
blocked_log_t,3,full,interval-001-064-l6,horse
blocked_log_t,8,full,interval-065-128-l6,horse
blocked_log_t,3,full,interval-129-160-l5,horse
blocked_log_t,1,full,interval-161-176-l4,horse
blocked_log_t,62,full,interval-177-184-l3,horse
blocked_log_t,1,full,interval-192-192-l0,horse
blocked_log_t,37,full,interval-185-188-l2,bus
blocked_log_t,11,full,interval-189-190-l1,bus
blocked_log_t,6,full,interval-191-191-l0,bus
blocked_log_t,13,full,interval-192-192-l0,bus
round_robin_log_t,50,midpoint,base,mouse
round_robin_log_t,80,midpoint,interval-001-064-l6,mouse
round_robin_log_t,114,midpoint,interval-065-128-l6,mouse
round_robin_log_t,44,midpoint,interval-129-160-l5,mouse
round_robin_log_t,88,midpoint,interval-161-176-l4,mouse
round_robin_log_t,12,midpoint,interval-177-184-l3,mouse
round_robin_log_t,7,midpoint,interval-185-188-l2,mouse
round_robin_log_t,1,midpoint,interval-189-190-l1,mouse
round_robin_log_t,7,midpoint,interval-191-191-l0,mouse
round_robin_log_t,1,midpoint,interval-192-192-l0,mouse
round_robin_log_t,27,midpoint,base,rabbit
round_robin_log_t,107,midpoint,interval-001-064-l6,rabbit
round_robin_log_t,121,midpoint,interval-065-128-l6,rabbit
round_robin_log_t,41,midpoint,interval-129-160-l5,rabbit
round_robin_log_t,71,midpoint,interval-161-176-l4,rabbit
round_robin_log_t,11,midpoint,interval-177-184-l3,rabbit
round_robin_log_t,8,midpoint,interval-185-188-l2,rabbit
round_robin_log_t,3,midpoint,interval-189-190-l1,rabbit
round_robin_log_t,24,midpoint,interval-191-191-l0,rabbit
round_robin_log_t,25,midpoint,base,boat
round_robin_log_t,119,midpoint,interval-001-064-l6,boat
round_robin_log_t,99,midpoint,interval-065-128-l6,boat
round_robin_log_t,28,midpoint,interval-129-160-l5,boat
round_robin_log_t,55,midpoint,interval-161-176-l4,boat
round_robin_log_t,3,midpoint,interval-177-184-l3,boat
