condition,estimate,lower_95,metric,reference,upper_95
lora_embedding_rank_8,-0.17213922085550437,-0.17741420460097201,story_mean_nll,lora_rank_8,-0.16691349104124825
lora_embedding_rank_8,-0.15203787457903273,-0.15706974085287984,token_mean_nll,lora_rank_8,-0.1470340800012489
lora_embedding_rank_32,-0.17058457398281557,-0.17579245341240943,story_mean_nll,lora_rank_32,-0.16545912680826644
lora_embedding_rank_32,-0.15017871652946702,-0.15527501796701335,token_mean_nll,lora_rank_32,-0.14508412725922817
lora_embedding_rank_8,-0.016843149371678745,-0.01833560748094034,story_mean_nll,full_model,-0.01540048291519031
lora_embedding_rank_8,-0.013204929651896569,-0.014695124842818773,token_mean_nll,full_model,-0.011750372771698232
lora_embedding_rank_32,0.0001786693794390004,-0.0013604996425323921,story_mean_nll,full_model,0.0016719569087575547
lora_embedding_rank_32,0.003749717835880073,0.0022136354533419168,token_mean_nll,full_model,0.005266287675066039
lora_embedding_rank_32,0.017021818751117745,0.016219774644684253,story_mean_nll,lora_embedding_rank_8,0.01782557435953966
lora_embedding_rank_32,0.016954647487776642,0.01618158522481749,token_mean_nll,lora_embedding_rank_8,0.017725489127880835
