condition,label,rank,story_count,story_mean_nll,suffix_token_accuracy,task_id,token_count,token_mean_nll
full_model,Joint-IID full model,,404,1.2760496482902852,0.6446605028214163,mouse,37747,1.314966522052777
full_model,Joint-IID full model,,413,1.4314503978841484,0.6174584137247745,rabbit,38354,1.468338505377727
full_model,Joint-IID full model,,343,1.3709853335791622,0.624851886498285,boat,32070,1.4212937229327187
full_model,Joint-IID full model,,329,1.4177057167201053,0.6102770931361565,brother,40167,1.4654042592643282
full_model,Joint-IID full model,,287,1.7868610200931487,0.5571885958225339,parent,32795,1.7781916044746744
full_model,Joint-IID full model,,272,1.2877138590109507,0.640133085289067,duck,27952,1.3548468024852143
full_model,Joint-IID full model,,277,1.2978092538169084,0.6325838064127367,sister,31531,1.34759299667611
full_model,Joint-IID full model,,262,1.4370798008873389,0.6127944062806673,pet,32608,1.4817151547180192
full_model,Joint-IID full model,,172,1.383324132894724,0.6209845640383813,bicycle,19176,1.4459795026814983
full_model,Joint-IID full model,,169,1.5750075516182989,0.5856414801684023,grandma,22565,1.6049197703487668
full_model,Joint-IID full model,,160,1.3661033166061975,0.6241437327244321,lion,16642,1.4396207271007917
full_model,Joint-IID full model,,169,1.3987108264318702,0.6210680321872714,fairy,17771,1.43407986283631
full_model,Joint-IID full model,,141,1.3384562526391468,0.6300942519580512,train,15066,1.3834585840604259
full_model,Joint-IID full model,,117,1.270478395846412,0.6465419747716399,cow,11495,1.3318511191841413
full_model,Joint-IID full model,,138,1.3246777147580724,0.6279937066604511,wheel,17161,1.3880580768781932
full_model,Joint-IID full model,,115,1.2885034636135777,0.6420213227008754,monkey,11537,1.326755409607743
full_model,Joint-IID full model,,82,1.5427633937115213,0.5915331807780321,princess,9614,1.5772422935750892
full_model,Joint-IID full model,,94,1.4363672264177831,0.6157506311905224,plane,10298,1.461514402394342
full_model,Joint-IID full model,,97,1.2785824753961865,0.6471741261025808,elephant,9183,1.3048758823004707
full_model,Joint-IID full model,,88,1.4587609125006473,0.6048216007714561,neighbor,10370,1.5197570593285814
full_model,Joint-IID full model,,84,1.4535373078670877,0.6195293365988712,dragon,9391,1.4984113896138092
full_model,Joint-IID full model,,81,1.3331536379697628,0.6222748224741498,queen,8027,1.3932774363054765
full_model,Joint-IID full model,,79,1.3359506445463265,0.6271207900734364,horse,7898,1.594734199079087
full_model,Joint-IID full model,,67,1.3766540338625104,0.6297415747317515,bus,6617,1.4148663178804652
lora_rank_8,Projection LoRA rank 8,8,404,1.499972535803166,0.631785307441651,mouse,37747,1.530237510087023
lora_rank_8,Projection LoRA rank 8,8,413,1.6288090082651474,0.6104187307712364,rabbit,38354,1.6568855009741883
lora_rank_8,Projection LoRA rank 8,8,343,1.6465120680879632,0.6128157156220767,boat,32070,1.6724941004909828
lora_rank_8,Projection LoRA rank 8,8,329,1.4870785348539535,0.61075011825628,brother,40167,1.5239525592766061
lora_rank_8,Projection LoRA rank 8,8,287,1.8969460506286835,0.5528891599329167,parent,32795,1.8848924054516436
lora_rank_8,Projection LoRA rank 8,8,272,1.3740264489673457,0.6351960503720664,duck,27952,1.4484634585358718
lora_rank_8,Projection LoRA rank 8,8,277,1.3733997219041238,0.6289366020741493,sister,31531,1.4171619562125637
lora_rank_8,Projection LoRA rank 8,8,262,1.4542241805220721,0.6120890578999019,pet,32608,1.5052925382646658
lora_rank_8,Projection LoRA rank 8,8,172,1.5571948246456735,0.6113370880267001,bicycle,19176,1.6079321838340315
lora_rank_8,Projection LoRA rank 8,8,169,1.7022578346652535,0.577708841125637,grandma,22565,1.7277940711662347
lora_rank_8,Projection LoRA rank 8,8,160,1.6539661845268614,0.6129071025117173,lion,16642,1.6924694124544315
lora_rank_8,Projection LoRA rank 8,8,169,1.6547241638350054,0.6079567835237184,fairy,17771,1.6738119995001701
lora_rank_8,Projection LoRA rank 8,8,141,1.7068058605538028,0.6082570025222355,train,15066,1.6949553807449897
lora_rank_8,Projection LoRA rank 8,8,117,1.3096637812681842,0.6413223140495867,cow,11495,1.371493129524888
lora_rank_8,Projection LoRA rank 8,8,138,1.3907459656931067,0.6254880251733582,wheel,17161,1.4484495560360582
