condition,estimate,lower_95,metric,reference,upper_95
rank_4,0.15485355294574865,0.1493760130148713,story_mean_nll,full_model,0.16028230031746876
rank_4,0.1384400553481786,0.13325427834368656,token_mean_nll,full_model,0.14362194247070956
rank_4,-0.0004425185380769747,-0.0011182065316769295,story_mean_nll,rank_8,0.00022460467046527804
rank_4,-0.00039288957895755594,-0.0010374527299577883,token_mean_nll,rank_8,0.0002548288111729963
rank_8,0.15529607148382563,0.14990235900257134,story_mean_nll,full_model,0.16066132565231467
rank_8,0.13883294492713616,0.1336696406004207,token_mean_nll,full_model,0.14391793289580843
rank_16,0.1601744957993645,0.15474117186614783,story_mean_nll,full_model,0.1655407170656186
rank_16,0.143566730207066,0.13841575129532027,token_mean_nll,full_model,0.1486901321775269
rank_16,0.004878424315538865,0.004174361058132387,story_mean_nll,rank_8,0.0055923473694515944
rank_16,0.0047337852799298474,0.004056449232595505,token_mean_nll,rank_8,0.005404133785814762
rank_32,0.17076324336225457,0.1652833543206368,story_mean_nll,full_model,0.17618858239159832
rank_32,0.1539284343653471,0.14875676996773754,token_mean_nll,full_model,0.1590678067837187
rank_32,0.015467171878428942,0.014553803916994595,story_mean_nll,rank_8,0.01637957006479927
rank_32,0.01509548943821093,0.014198542305157274,token_mean_nll,rank_8,0.015980457230555873
