condition,label,rank,story_count,story_mean_nll,suffix_token_accuracy,task_id,token_count,token_mean_nll
full_model,Joint-IID full model,,404,1.2760496482902852,0.6446605028214163,mouse,37747,1.314966522052777
full_model,Joint-IID full model,,413,1.4314503978841484,0.6174584137247745,rabbit,38354,1.468338505377727
full_model,Joint-IID full model,,343,1.3709853335791622,0.624851886498285,boat,32070,1.4212937229327187
full_model,Joint-IID full model,,329,1.4177057167201053,0.6102770931361565,brother,40167,1.4654042592643282
full_model,Joint-IID full model,,287,1.7868610200931487,0.5571885958225339,parent,32795,1.7781916044746744
full_model,Joint-IID full model,,272,1.2877138590109507,0.640133085289067,duck,27952,1.3548468024852143
full_model,Joint-IID full model,,277,1.2978092538169084,0.6325838064127367,sister,31531,1.34759299667611
full_model,Joint-IID full model,,262,1.4370798008873389,0.6127944062806673,pet,32608,1.4817151547180192
full_model,Joint-IID full model,,172,1.383324132894724,0.6209845640383813,bicycle,19176,1.4459795026814983
full_model,Joint-IID full model,,169,1.5750075516182989,0.5856414801684023,grandma,22565,1.6049197703487668
full_model,Joint-IID full model,,160,1.3661033166061975,0.6241437327244321,lion,16642,1.4396207271007917
full_model,Joint-IID full model,,169,1.3987108264318702,0.6210680321872714,fairy,17771,1.43407986283631
full_model,Joint-IID full model,,141,1.3384562526391468,0.6300942519580512,train,15066,1.3834585840604259
full_model,Joint-IID full model,,117,1.270478395846412,0.6465419747716399,cow,11495,1.3318511191841413
full_model,Joint-IID full model,,138,1.3246777147580724,0.6279937066604511,wheel,17161,1.3880580768781932
full_model,Joint-IID full model,,115,1.2885034636135777,0.6420213227008754,monkey,11537,1.326755409607743
full_model,Joint-IID full model,,82,1.5427633937115213,0.5915331807780321,princess,9614,1.5772422935750892
full_model,Joint-IID full model,,94,1.4363672264177831,0.6157506311905224,plane,10298,1.461514402394342
full_model,Joint-IID full model,,97,1.2785824753961865,0.6471741261025808,elephant,9183,1.3048758823004707
full_model,Joint-IID full model,,88,1.4587609125006473,0.6048216007714561,neighbor,10370,1.5197570593285814
full_model,Joint-IID full model,,84,1.4535373078670877,0.6195293365988712,dragon,9391,1.4984113896138092
full_model,Joint-IID full model,,81,1.3331536379697628,0.6222748224741498,queen,8027,1.3932774363054765
full_model,Joint-IID full model,,79,1.3359506445463265,0.6271207900734364,horse,7898,1.594734199079087
full_model,Joint-IID full model,,67,1.3766540338625104,0.6297415747317515,bus,6617,1.4148663178804652
rank_4,Joint-IID LoRA rank 4,4,404,1.4969706709008876,0.6343020637401647,mouse,37747,1.5273126374965573
rank_4,Joint-IID LoRA rank 4,4,413,1.6242572741315324,0.6106273139698597,rabbit,38354,1.652214245160404
rank_4,Joint-IID LoRA rank 4,4,343,1.6450173917247028,0.6128157156220767,boat,32070,1.6705733753046144
rank_4,Joint-IID LoRA rank 4,4,329,1.4861441576373264,0.6122189857345582,brother,40167,1.5233133652332096
rank_4,Joint-IID LoRA rank 4,4,287,1.896719142111721,0.5528281750266809,parent,32795,1.8843172700035442
rank_4,Joint-IID LoRA rank 4,4,272,1.375582665627478,0.6352676016027475,duck,27952,1.450971418915985
rank_4,Joint-IID LoRA rank 4,4,277,1.372639173229982,0.6297611874028733,sister,31531,1.4164487447760121
rank_4,Joint-IID LoRA rank 4,4,262,1.4566168656211964,0.6123037291462218,pet,32608,1.5075918574240772
rank_4,Joint-IID LoRA rank 4,4,172,1.5582836902830766,0.6120150187734669,bicycle,19176,1.6091083214588349
rank_4,Joint-IID LoRA rank 4,4,169,1.7027739094462453,0.5781520053179703,grandma,22565,1.729116903512567
rank_4,Joint-IID LoRA rank 4,4,160,1.656897093301597,0.6130272803749549,lion,16642,1.6947560369674726
rank_4,Joint-IID LoRA rank 4,4,169,1.6597669185028714,0.60801305497721,fairy,17771,1.6781484577747157
rank_4,Joint-IID LoRA rank 4,4,141,1.7068999353189036,0.6109783618744192,train,15066,1.694940203929128
rank_4,Joint-IID LoRA rank 4,4,117,1.3133824778172,0.6419312744671596,cow,11495,1.375428215738689
rank_4,Joint-IID LoRA rank 4,4,138,1.3922578499017102,0.6243808635860381,wheel,17161,1.4494458129304417
