address_oracle_agreement,candidate_evaluations,dataset,exact_noun_route_accuracy,mean_oracle_regret,mean_prefix_entropy,mean_prefix_margin,method,model_forward_equivalent_prefix_tokens,noun_support_accuracy,oracle_story_mean_nll,order,stage,story_count,story_mean_nll,suffix_token_accuracy,task_id,token_count,token_mean_nll
1.0,172,macro,,0.0,,,base,18920,,1.6048625515800976,blocked,192,172,1.6048625515800976,0.6089382561535253,bicycle,19176,1.6533808850923777
1.0,343,macro,,0.0,,,base,31553,,1.7240843312145868,blocked,192,343,1.7240843312145868,0.6079825381976925,boat,32070,1.7415342279152592
1.0,329,macro,,0.0,,,base,39660,,1.5464053043815191,blocked,192,329,1.5464053043815191,0.609057186247417,brother,40167,1.5681570345587301
1.0,67,macro,,0.0,,,base,6517,,1.859241611173836,blocked,192,67,1.859241611173836,0.5895420885597703,bus,6617,1.8354419289136807
1.0,117,macro,,0.0,,,base,11321,,1.554766704090425,blocked,192,117,1.554766704090425,0.6259243149195303,cow,11495,1.5996321537329767
1.0,84,macro,,0.0,,,base,9267,,1.7423912320669364,blocked,192,84,1.7423912320669364,0.5920562240442977,dragon,9391,1.7530787921589082
1.0,272,macro,,0.0,,,base,27544,,1.470287359237089,blocked,192,272,1.470287359237089,0.626287922152261,duck,27952,1.540010192391527
1.0,97,macro,,0.0,,,base,9029,,1.5104704018711608,blocked,192,97,1.5104704018711608,0.6366111292605903,elephant,9183,1.5375564350459254
1.0,169,macro,,0.0,,,base,17514,,1.774398590162077,blocked,192,169,1.774398590162077,0.5968150357323729,fairy,17771,1.782679017920599
1.0,169,macro,,0.0,,,base,22299,,1.807399733870337,blocked,192,169,1.807399733870337,0.5709727454021715,grandma,22565,1.824138139183337
1.0,79,macro,,0.0,,,base,7787,,1.5334033774227696,blocked,192,79,1.5334033774227696,0.6154722714611294,horse,7898,1.749499242980138
1.0,160,macro,,0.0,,,base,16402,,1.7383042489762925,blocked,192,160,1.7383042489762925,0.6055762528542242,lion,16642,1.764959223152081
1.0,115,macro,,0.0,,,base,11365,,1.4603773328362861,blocked,192,115,1.4603773328362861,0.6346537228048886,monkey,11537,1.4973687981778045
1.0,404,macro,,0.0,,,base,37141,,1.5681111191538926,blocked,192,404,1.5681111191538926,0.6285002781678014,mouse,37747,1.5945090503507182
1.0,88,macro,,0.0,,,base,10232,,1.5944502812194352,blocked,192,88,1.5944502812194352,0.5990356798457088,neighbor,10370,1.6451501838496474
1.0,287,macro,,0.0,,,base,32357,,1.9735935034703833,blocked,192,287,1.9735935034703833,0.5477054429028816,parent,32795,1.9560653765039084
1.0,262,macro,,0.0,,,base,32208,,1.508625959699853,blocked,192,262,1.508625959699853,0.610279685966634,pet,32608,1.5513753285878307
1.0,94,macro,,0.0,,,base,10164,,1.7492415784668711,blocked,192,94,1.7492415784668711,0.6035152456787726,plane,10298,1.7291479272781287
1.0,82,macro,,0.0,,,base,9495,,1.7532519157718076,blocked,192,82,1.7532519157718076,0.5828999375910131,princess,9614,1.7363868905423163
1.0,81,macro,,0.0,,,base,7903,,1.578107030274406,blocked,192,81,1.578107030274406,0.6103151862464183,queen,8027,1.6110668232272538
1.0,413,macro,,0.0,,,base,37727,,1.6711864763961828,blocked,192,413,1.6711864763961828,0.6065338686968764,rabbit,38354,1.694859296007301
1.0,277,macro,,0.0,,,base,31123,,1.4434778862404802,blocked,192,277,1.4434778862404802,0.6256382607592528,sister,31531,1.4742031530831694
1.0,141,macro,,0.0,,,base,14853,,1.7906141760059076,blocked,192,141,1.7906141760059076,0.6060002654984734,train,15066,1.7664511054061915
1.0,138,macro,,0.0,,,base,16959,,1.5136834581354492,blocked,192,138,1.5136834581354492,0.6176213507371365,wheel,17161,1.537708886373669
0.436046511627907,1720,macro,,0.03686703211943525,2.298393030499303,0.08848286957241767,log_t,189200,0.7441860465116279,1.5363659833059018,blocked,192,172,1.5732330154253373,0.6090425531914894,bicycle,19176,1.624762517141709
0.42565597667638483,3430,macro,,0.03472002579388715,2.2970892006732284,0.0825204713699074,log_t,315530,0.7638483965014577,1.6284282372747336,blocked,192,343,1.6631482630686207,0.6095728094792641,boat,32070,1.6884494136269679
0.3069908814589666,3290,macro,,0.06192410542509842,2.299413602765208,0.07139091959115582,log_t,396600,0.7021276595744681,1.4633783812360421,blocked,192,329,1.52530248666114,0.6100779246645256,brother,40167,1.5535977590068346
0.26865671641791045,670,macro,,0.0575117834960678,2.197047192658951,0.03417089537008485,log_t,65170,0.9701492537313433,1.3636825571953428,blocked,192,67,1.4211943406914112,0.6150823636088862,bus,6617,1.4626530512809321
0.5811965811965812,1170,macro,,0.039328101514084585,2.2681269604935603,0.4388804201386933,log_t,113210,0.9145299145299145,1.2932658824638308,blocked,192,117,1.3325939839779155,0.6418442801217921,cow,11495,1.397202368796831
0.6547619047619048,840,macro,,0.09630310060711118,2.286128271193731,0.29905561960878824,log_t,92670,0.7619047619047619,1.4827669715498089,blocked,192,84,1.57907007215692,0.603450111809179,dragon,9391,1.6184319618118672
0.5992647058823529,2720,macro,,0.032158172036081234,2.294448403751149,0.20742183857980898,log_t,275440,0.8786764705882353,1.3513385564667628,blocked,192,272,1.3834967285028439,0.633514596451059,duck,27952,1.453577197512423
0.27835051546391754,970,macro,,0.05475305991945551,2.2972851782729946,0.10942836520598107,log_t,90290,0.6597938144329897,1.428757607185574,blocked,192,97,1.4835106671050298,0.6342153980180769,elephant,9183,1.5121604841959888
0.2781065088757396,1690,macro,,0.10509977750994969,2.3002988473903496,0.04282275917967396,log_t,175140,0.4260355029585799,1.6257851709612923,blocked,192,169,1.7308849484712414,0.6000225085813966,fairy,17771,1.7428948436776988
0.4911242603550296,1690,macro,,0.039716879895336836,2.2953109656565287,0.11455647867812208,log_t,222990,0.727810650887574,1.6849357789403083,blocked,192,169,1.7246526588356448,0.5765566142255706,grandma,22565,1.7471233331996006
0.3670886075949367,790,macro,,0.03757219909130547,2.296408903749683,0.11870402927640118,log_t,77870,0.7974683544303798,1.4578113387495826,blocked,192,79,1.4953835378408886,0.6139528994682198,horse,7898,1.7106675839659593
