age,count,level,order,selected_candidate_id,stage,task_id
1,5,-1,blocked,base,1,mouse
0,11,0,blocked,interval-001-001-l0,1,mouse
2,5,-1,blocked,base,2,mouse
0,4,0,blocked,interval-002-002-l0,2,mouse
1,7,0,blocked,interval-001-001-l0,2,mouse
3,4,-1,blocked,base,3,mouse
0,7,0,blocked,interval-003-003-l0,3,mouse
1,5,1,blocked,interval-001-002-l1,3,mouse
4,3,-1,blocked,base,4,mouse
0,5,0,blocked,interval-004-004-l0,4,mouse
1,5,0,blocked,interval-003-003-l0,4,mouse
2,3,1,blocked,interval-001-002-l1,4,mouse
5,3,-1,blocked,base,5,mouse
0,4,0,blocked,interval-005-005-l0,5,mouse
1,7,1,blocked,interval-003-004-l1,5,mouse
3,2,1,blocked,interval-001-002-l1,5,mouse
6,3,-1,blocked,base,6,mouse
0,4,0,blocked,interval-006-006-l0,6,mouse
1,2,0,blocked,interval-005-005-l0,6,mouse
2,6,1,blocked,interval-003-004-l1,6,mouse
4,1,1,blocked,interval-001-002-l1,6,mouse
7,4,-1,blocked,base,7,mouse
0,4,0,blocked,interval-007-007-l0,7,mouse
1,2,1,blocked,interval-005-006-l1,7,mouse
3,6,2,blocked,interval-001-004-l2,7,mouse
8,57,-1,blocked,base,8,mouse
0,86,0,blocked,interval-008-008-l0,8,mouse
1,59,0,blocked,interval-007-007-l0,8,mouse
2,80,1,blocked,interval-005-006-l1,8,mouse
4,138,2,blocked,interval-001-004-l2,8,mouse
9,4,-1,blocked,base,9,mouse
0,1,0,blocked,interval-009-009-l0,9,mouse
1,4,1,blocked,interval-007-008-l1,9,mouse
3,3,1,blocked,interval-005-006-l1,9,mouse
5,4,2,blocked,interval-001-004-l2,9,mouse
9,1,-1,blocked,base,9,rabbit
0,10,0,blocked,interval-009-009-l0,9,rabbit
3,4,1,blocked,interval-005-006-l1,9,rabbit
5,1,2,blocked,interval-001-004-l2,9,rabbit
10,4,-1,blocked,base,10,mouse
1,1,0,blocked,interval-009-009-l0,10,mouse
2,4,1,blocked,interval-007-008-l1,10,mouse
4,3,1,blocked,interval-005-006-l1,10,mouse
6,4,2,blocked,interval-001-004-l2,10,mouse
10,1,-1,blocked,base,10,rabbit
0,10,0,blocked,interval-010-010-l0,10,rabbit
1,2,0,blocked,interval-009-009-l0,10,rabbit
4,3,1,blocked,interval-005-006-l1,10,rabbit
11,4,-1,blocked,base,11,mouse
1,1,1,blocked,interval-009-010-l1,11,mouse
3,7,2,blocked,interval-005-008-l2,11,mouse
7,4,2,blocked,interval-001-004-l2,11,mouse
0,6,0,blocked,interval-011-011-l0,11,rabbit
1,8,1,blocked,interval-009-010-l1,11,rabbit
3,1,2,blocked,interval-005-008-l2,11,rabbit
7,1,2,blocked,interval-001-004-l2,11,rabbit
12,3,-1,blocked,base,12,mouse
0,1,0,blocked,interval-012-012-l0,12,mouse
2,1,1,blocked,interval-009-010-l1,12,mouse
4,7,2,blocked,interval-005-008-l2,12,mouse
8,4,2,blocked,interval-001-004-l2,12,mouse
0,7,0,blocked,interval-012-012-l0,12,rabbit
1,2,0,blocked,interval-011-011-l0,12,rabbit
2,5,1,blocked,interval-009-010-l1,12,rabbit
4,1,2,blocked,interval-005-008-l2,12,rabbit
8,1,2,blocked,interval-001-004-l2,12,rabbit
13,4,-1,blocked,base,13,mouse
3,1,1,blocked,interval-009-010-l1,13,mouse
5,7,2,blocked,interval-005-008-l2,13,mouse
9,4,2,blocked,interval-001-004-l2,13,mouse
0,4,0,blocked,interval-013-013-l0,13,rabbit
1,6,1,blocked,interval-011-012-l1,13,rabbit
3,4,1,blocked,interval-009-010-l1,13,rabbit
5,1,2,blocked,interval-005-008-l2,13,rabbit
9,1,2,blocked,interval-001-004-l2,13,rabbit
14,2,-1,blocked,base,14,mouse
0,3,0,blocked,interval-014-014-l0,14,mouse
4,1,1,blocked,interval-009-010-l1,14,mouse
6,6,2,blocked,interval-005-008-l2,14,mouse
10,4,2,blocked,interval-001-004-l2,14,mouse
0,3,0,blocked,interval-014-014-l0,14,rabbit
1,2,0,blocked,interval-013-013-l0,14,rabbit
2,5,1,blocked,interval-011-012-l1,14,rabbit
4,4,1,blocked,interval-009-010-l1,14,rabbit
6,1,2,blocked,interval-005-008-l2,14,rabbit
10,1,2,blocked,interval-001-004-l2,14,rabbit
15,4,-1,blocked,base,15,mouse
0,2,0,blocked,interval-015-015-l0,15,mouse
3,1,2,blocked,interval-009-012-l2,15,mouse
7,9,3,blocked,interval-001-008-l3,15,mouse
15,1,-1,blocked,base,15,rabbit
0,3,0,blocked,interval-015-015-l0,15,rabbit
1,5,1,blocked,interval-013-014-l1,15,rabbit
3,4,2,blocked,interval-009-012-l2,15,rabbit
7,3,3,blocked,interval-001-008-l3,15,rabbit
16,57,-1,blocked,base,16,mouse
0,23,0,blocked,interval-016-016-l0,16,mouse
1,18,0,blocked,interval-015-015-l0,16,mouse
2,16,1,blocked,interval-013-014-l1,16,mouse
4,33,2,blocked,interval-009-012-l2,16,mouse
8,273,3,blocked,interval-001-008-l3,16,mouse
16,32,-1,blocked,base,16,rabbit
0,72,0,blocked,interval-016-016-l0,16,rabbit
1,73,0,blocked,interval-015-015-l0,16,rabbit
2,92,1,blocked,interval-013-014-l1,16,rabbit
4,119,2,blocked,interval-009-012-l2,16,rabbit
8,41,3,blocked,interval-001-008-l3,16,rabbit
17,2,-1,blocked,base,17,boat
0,13,0,blocked,interval-017-017-l0,17,boat
1,1,1,blocked,interval-015-016-l1,17,boat
17,4,-1,blocked,base,17,mouse
1,1,1,blocked,interval-015-016-l1,17,mouse
5,1,2,blocked,interval-009-012-l2,17,mouse
9,10,3,blocked,interval-001-008-l3,17,mouse
17,1,-1,blocked,base,17,rabbit
1,6,1,blocked,interval-015-016-l1,17,rabbit
3,4,1,blocked,interval-013-014-l1,17,rabbit
5,3,2,blocked,interval-009-012-l2,17,rabbit
9,2,3,blocked,interval-001-008-l3,17,rabbit
18,1,-1,blocked,base,18,boat
0,5,0,blocked,interval-018-018-l0,18,boat
1,9,0,blocked,interval-017-017-l0,18,boat
2,1,1,blocked,interval-015-016-l1,18,boat
18,4,-1,blocked,base,18,mouse
2,1,1,blocked,interval-015-016-l1,18,mouse
6,1,2,blocked,interval-009-012-l2,18,mouse
10,10,3,blocked,interval-001-008-l3,18,mouse
18,1,-1,blocked,base,18,rabbit
2,6,1,blocked,interval-015-016-l1,18,rabbit
4,4,1,blocked,interval-013-014-l1,18,rabbit
6,3,2,blocked,interval-009-012-l2,18,rabbit
10,2,3,blocked,interval-001-008-l3,18,rabbit
19,2,-1,blocked,base,19,boat
0,9,0,blocked,interval-019-019-l0,19,boat
1,4,1,blocked,interval-017-018-l1,19,boat
3,1,2,blocked,interval-013-016-l2,19,boat
19,4,-1,blocked,base,19,mouse
7,1,2,blocked,interval-009-012-l2,19,mouse
11,11,3,blocked,interval-001-008-l3,19,mouse
1,1,1,blocked,interval-017-018-l1,19,rabbit
3,6,2,blocked,interval-013-016-l2,19,rabbit
7,7,2,blocked,interval-009-012-l2,19,rabbit
11,2,3,blocked,interval-001-008-l3,19,rabbit
20,2,-1,blocked,base,20,boat
0,2,0,blocked,interval-020-020-l0,20,boat
1,7,0,blocked,interval-019-019-l0,20,boat
2,4,1,blocked,interval-017-018-l1,20,boat
4,1,2,blocked,interval-013-016-l2,20,boat
20,3,-1,blocked,base,20,mouse
0,1,0,blocked,interval-020-020-l0,20,mouse
8,1,2,blocked,interval-009-012-l2,20,mouse
12,11,3,blocked,interval-001-008-l3,20,mouse
2,1,1,blocked,interval-017-018-l1,20,rabbit
4,6,2,blocked,interval-013-016-l2,20,rabbit
8,7,2,blocked,interval-009-012-l2,20,rabbit
12,2,3,blocked,interval-001-008-l3,20,rabbit
21,2,-1,blocked,base,21,boat
0,5,0,blocked,interval-021-021-l0,21,boat
