active_tokens,allocator_peak_bytes,candidate_count,candidate_evaluations,cold_seconds,contract_sha256,format,forward_equivalent_tokens,kind,node_count_including_base,physical_rows,prefix_width,previous_sha256,result_sha256,sequence,sequence_width,warm_max_seconds,warm_mean_seconds,warm_min_seconds,warm_repetitions
232,,1,16,3.333452681079507,3f4ef4a10fd471b418a32a8f7b45431602c1f6abc080c19a7822ea2c2dd839b4,tinyworlds-nouns-v2-temporal-consolidation-timing-row-v1,464,prefix,2,8,32,0000000000000000000000000000000000000000000000000000000000000000,fda85872495013e5842239f9067d9b01a4c4c6bc5d5fa6a17c5116d84b6606ed,0,32,0.001995714381337166,0.001807192713022232,0.001735800877213478,"[0.001995714381337166,0.0017988327890634537,0.0017593838274478912,0.0017462316900491714,0.001735800877213478]"
469,,1,16,4.302826683968306,3f4ef4a10fd471b418a32a8f7b45431602c1f6abc080c19a7822ea2c2dd839b4,tinyworlds-nouns-v2-temporal-consolidation-timing-row-v1,938,prefix,2,8,64,fda85872495013e5842239f9067d9b01a4c4c6bc5d5fa6a17c5116d84b6606ed,d4bd297bb0d26f51e94ccba825fb8d4272357a5c2f94822a13fca34a153c0b42,1,64,0.0027441084384918213,0.0025456253439188003,0.0024363454431295395,"[0.0027441084384918213,0.0024363454431295395,0.002468794584274292,0.0024592168629169464,0.0026196613907814026]"
625,,1,16,4.764603026211262,3f4ef4a10fd471b418a32a8f7b45431602c1f6abc080c19a7822ea2c2dd839b4,tinyworlds-nouns-v2-temporal-consolidation-timing-row-v1,1250,prefix,2,8,96,d4bd297bb0d26f51e94ccba825fb8d4272357a5c2f94822a13fca34a153c0b42,4f174461505322b2eac88ad06350a0356550c7a61e3fbf118e5872a421f499c7,2,96,0.0033767390996217728,0.00318831168115139,0.0030463319271802902,"[0.0033767390996217728,0.0031014475971460342,0.0032118763774633408,0.0030463319271802902,0.0032051634043455124]"
854,,1,16,5.074499782174826,3f4ef4a10fd471b418a32a8f7b45431602c1f6abc080c19a7822ea2c2dd839b4,tinyworlds-nouns-v2-temporal-consolidation-timing-row-v1,1708,prefix,2,8,128,4f174461505322b2eac88ad06350a0356550c7a61e3fbf118e5872a421f499c7,1fce3908e10b5e85976e11805cce7103c1d56f7a5ba6110511adbed38c2b703c,3,128,0.004854731261730194,0.004354198276996612,0.004116877913475037,"[0.004331883043050766,0.004854731261730194,0.0042488668113946915,0.004218632355332375,0.004116877913475037]"
1086,,1,16,5.378500884398818,3f4ef4a10fd471b418a32a8f7b45431602c1f6abc080c19a7822ea2c2dd839b4,tinyworlds-nouns-v2-temporal-consolidation-timing-row-v1,2172,prefix,2,8,160,1fce3908e10b5e85976e11805cce7103c1d56f7a5ba6110511adbed38c2b703c,5bd7ab85a532c1fc6786f55b2a9ef9c6a2ac97da2a2c905e9346734cdd93dfb3,4,160,0.005497943609952927,0.0049030851572751995,0.004661925137042999,"[0.004920216277241707,0.0047008078545331955,0.004661925137042999,0.004734532907605171,0.005497943609952927]"
1380,,1,16,5.44156101718545,3f4ef4a10fd471b418a32a8f7b45431602c1f6abc080c19a7822ea2c2dd839b4,tinyworlds-nouns-v2-temporal-consolidation-timing-row-v1,2760,prefix,2,8,192,5bd7ab85a532c1fc6786f55b2a9ef9c6a2ac97da2a2c905e9346734cdd93dfb3,dcfa5430230abb8228cd3cfaf2be5a10fe010b695f7a34ceba0ea0224c9dbe61,5,192,0.005783127620816231,0.005619501322507858,0.005569862201809883,"[0.005783127620816231,0.0055807214230299,0.005571391433477402,0.005569862201809883,0.005592403933405876]"
1637,,1,16,5.424732005223632,3f4ef4a10fd471b418a32a8f7b45431602c1f6abc080c19a7822ea2c2dd839b4,tinyworlds-nouns-v2-temporal-consolidation-timing-row-v1,3274,prefix,2,8,224,dcfa5430230abb8228cd3cfaf2be5a10fe010b695f7a34ceba0ea0224c9dbe61,a1c64e37af82c7eb4637344b0e5c1916be96a116f36405690e1a3797af01bae5,6,224,0.007439225912094116,0.006898700818419456,0.006689630448818207,"[0.006763137876987457,0.007439225912094116,0.006798103451728821,0.006689630448818207,0.006803406402468681]"
1944,,1,16,5.5728450901806355,3f4ef4a10fd471b418a32a8f7b45431602c1f6abc080c19a7822ea2c2dd839b4,tinyworlds-nouns-v2-temporal-consolidation-timing-row-v1,3888,prefix,2,8,256,a1c64e37af82c7eb4637344b0e5c1916be96a116f36405690e1a3797af01bae5,e8f723dd1857a24484fa144660d3f74f654fe91eda4d73e31d106e441cb16ddc,7,256,0.00834871456027031,0.008221110701560974,0.008061118423938751,"[0.00834871456027031,0.008245348930358887,0.008061118423938751,0.00828721933066845,0.008163152262568474]"
2166,,1,16,5.822512177750468,3f4ef4a10fd471b418a32a8f7b45431602c1f6abc080c19a7822ea2c2dd839b4,tinyworlds-nouns-v2-temporal-consolidation-timing-row-v1,4332,prefix,2,8,288,e8f723dd1857a24484fa144660d3f74f654fe91eda4d73e31d106e441cb16ddc,c35cfde89135a35afa4a7697a7466cd164d90e32abbfcaf3bd96850d3aa3929f,8,288,0.01188638061285019,0.010209916532039643,0.009549029171466827,"[0.009899033233523369,0.010088585317134857,0.009626554325222969,0.01188638061285019,0.009549029171466827]"
2435,,1,16,4.9765057768672705,3f4ef4a10fd471b418a32a8f7b45431602c1f6abc080c19a7822ea2c2dd839b4,tinyworlds-nouns-v2-temporal-consolidation-timing-row-v1,4870,prefix,2,8,320,c35cfde89135a35afa4a7697a7466cd164d90e32abbfcaf3bd96850d3aa3929f,d10a0b295cd98ffdbc29fa0167274832511521fed610b958f0ec91a0592c05f1,9,320,0.013844162225723267,0.011902594566345214,0.011269601061940193,"[0.01154748909175396,0.011494576930999756,0.011357143521308899,0.013844162225723267,0.011269601061940193]"
